match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
India Vs South Africa,South Africa,Wayne Parnell,4,0,25,1,6.25,10,3,0,1,0,T20I # 196
India Vs South Africa,South Africa,Makhaya Ntini,4,0,46,0,11.50,4,5,2,0,0,T20I # 196
India Vs South Africa,South Africa,Rusty Theron,4,0,39,2,9.75,6,3,2,1,0,T20I # 196
India Vs South Africa,South Africa,Robin Peterson,3,0,20,0,6.66,3,1,0,1,0,T20I # 196
India Vs South Africa,South Africa,Johan Botha,3,0,25,1,8.33,7,3,1,0,0,T20I # 196
India Vs South Africa,South Africa,Jean-Paul Duminy,2,0,12,1,6.00,4,1,0,0,0,T20I # 196
India Vs South Africa,India,Praveen Kumar,3,0,17,1,5.66,9,2,0,1,0,T20I # 196
India Vs South Africa,India,Ashish Nehra,4,0,22,2,5.50,11,1,1,0,0,T20I # 196
India Vs South Africa,India,Munaf Patel,2,0,26,1,13.00,5,3,2,0,0,T20I # 196
India Vs South Africa,India,Ravichandran Ashwin,4,0,33,1,8.25,8,1,2,2,0,T20I # 196
India Vs South Africa,India,Yuvraj Singh,4,0,20,1,5.00,12,2,0,0,0,T20I # 196
India Vs South Africa,India,Yusuf Pathan,3,0,22,2,7.33,8,0,2,0,0,T20I # 196
Australia Vs England,England,Chris Woakes,4,0,34,1,8.50,6,4,0,1,0,T20I # 197
Australia Vs England,England,Ajmal Shahzad,4,0,25,0,6.25,9,2,0,1,0,T20I # 197
Australia Vs England,England,Tim Bresnan,4,0,28,1,7.00,11,3,1,0,0,T20I # 197
Australia Vs England,England,Michael Yardy,4,0,28,2,7.00,10,4,0,0,0,T20I # 197
Australia Vs England,England,Graeme Swann,4,0,40,0,10.00,7,1,3,0,0,T20I # 197
Australia Vs England,Australia,Shaun Tait,4,0,40,1,10.00,12,5,2,1,0,T20I # 197
Australia Vs England,Australia,Brett Lee,4,0,41,1,10.25,9,6,1,0,0,T20I # 197
Australia Vs England,Australia,Mitchell Johnson,4,0,27,1,6.75,12,2,0,1,0,T20I # 197
Australia Vs England,Australia,Steve O'Keefe,2,0,16,1,8.00,7,2,1,0,0,T20I # 197
Australia Vs England,Australia,Shane Watson,4,0,15,4,3.75,11,0,0,0,0,T20I # 197
Australia Vs England,Australia,David Hussey,2,0,14,1,7.00,4,2,0,0,0,T20I # 197
Australia Vs England,England,Chris Woakes,3,0,29,1,9.66,6,1,2,1,0,T20I # 198
Australia Vs England,England,Ajmal Shahzad,3,0,34,1,11.33,7,3,2,0,0,T20I # 198
Australia Vs England,England,Tim Bresnan,4,0,27,1,6.75,6,1,0,0,0,T20I # 198
Australia Vs England,England,Graeme Swann,4,0,19,2,4.75,13,2,0,0,0,T20I # 198
Australia Vs England,England,Michael Yardy,4,0,19,2,4.75,9,0,0,0,0,T20I # 198
Australia Vs England,England,Kevin Pietersen,2,0,17,0,8.50,6,2,1,0,0,T20I # 198
Australia Vs England,Australia,Shaun Tait,4,0,39,1,9.75,8,3,0,1,1,T20I # 198
Australia Vs England,Australia,Brett Lee,4,0,29,0,7.25,6,0,1,0,1,T20I # 198
Australia Vs England,Australia,Shane Watson,4,0,17,2,4.25,12,1,0,0,0,T20I # 198
Australia Vs England,Australia,Mitchell Johnson,4,0,29,3,7.25,7,2,0,1,0,T20I # 198
Australia Vs England,Australia,David Hussey,3,0,18,0,6.00,4,0,0,0,0,T20I # 198
Australia Vs England,Australia,Steve O'Keefe,1,0,9,0,9.00,1,1,0,0,0,T20I # 198
West Indies Vs Pakistan,Pakistan,Junaid Khan,2,0,15,0,7.50,5,1,1,0,0,T20I # 199
West Indies Vs Pakistan,Pakistan,Abdur Rehman,4,0,22,2,5.50,14,2,1,1,0,T20I # 199
West Indies Vs Pakistan,Pakistan,Saeed Ajmal,4,0,35,2,8.75,7,2,2,0,0,T20I # 199
West Indies Vs Pakistan,Pakistan,Wahab Riaz,4,1,24,2,6.00,14,3,0,2,1,T20I # 199
West Indies Vs Pakistan,Pakistan,Shahid Afridi,3,0,30,0,10.00,4,3,1,0,0,T20I # 199
West Indies Vs Pakistan,Pakistan,Mohammad Hafeez,3,0,23,0,7.66,7,2,1,1,0,T20I # 199
West Indies Vs Pakistan,West Indies,Ravi Rampaul,4,0,31,3,7.75,10,2,0,0,4,T20I # 199
West Indies Vs Pakistan,West Indies,Daren Sammy,3,0,26,1,8.66,7,3,1,0,0,T20I # 199
West Indies Vs Pakistan,West Indies,Andre Russell,4,0,28,0,7.00,12,4,0,1,1,T20I # 199
West Indies Vs Pakistan,West Indies,Devendra Bishoo,4,0,17,4,4.25,15,1,0,0,1,T20I # 199
West Indies Vs Pakistan,West Indies,Chris Barnwell,1,0,7,0,7.00,0,0,0,0,0,T20I # 199
West Indies Vs Pakistan,West Indies,Ashley Nurse,4,0,33,0,8.25,3,2,0,0,0,T20I # 199
India Vs West Indies,West Indies,Ravi Rampaul,4,0,38,0,9.50,9,3,2,3,1,T20I # 200
India Vs West Indies,West Indies,Andre Russell,2,0,26,0,13.00,0,2,1,0,1,T20I # 200
India Vs West Indies,West Indies,Daren Sammy,4,0,16,4,4.00,11,1,0,0,0,T20I # 200
India Vs West Indies,West Indies,Ashley Nurse,4,0,23,0,5.75,9,2,0,1,0,T20I # 200
India Vs West Indies,West Indies,Devendra Bishoo,4,0,31,1,7.75,9,2,1,0,0,T20I # 200
India Vs West Indies,West Indies,Chris Barnwell,2,0,24,1,12.00,4,0,2,2,0,T20I # 200
India Vs West Indies,India,Praveen Kumar,4,1,27,1,6.75,9,3,0,0,0,T20I # 200
India Vs West Indies,India,Harbhajan Singh,4,0,25,2,6.25,9,2,0,2,0,T20I # 200
India Vs West Indies,India,Ravichandran Ashwin,4,0,30,1,7.50,16,1,3,1,0,T20I # 200
India Vs West Indies,India,Munaf Patel,4,0,35,1,8.75,11,5,1,0,0,T20I # 200
India Vs West Indies,India,Yusuf Pathan,4,0,22,0,5.50,10,1,1,0,0,T20I # 200
England Vs Sri Lanka,Sri Lanka,Nuwan Kulasekara,3,0,15,1,5.00,9,2,0,0,0,T20I # 201
England Vs Sri Lanka,Sri Lanka,Suranga Lakmal,4,0,26,2,6.50,9,2,1,0,0,T20I # 201
England Vs Sri Lanka,Sri Lanka,Lasith Malinga,4,0,15,2,3.75,13,1,0,0,0,T20I # 201
England Vs Sri Lanka,Sri Lanka,Thisara Perera,2,0,35,0,17.50,1,2,3,0,1,T20I # 201
England Vs Sri Lanka,Sri Lanka,Suraj Randiv,4,0,24,0,6.00,8,0,1,1,0,T20I # 201
England Vs Sri Lanka,Sri Lanka,Sanath Jayasuriya,3,0,18,2,6.00,7,1,0,1,0,T20I # 201
England Vs Sri Lanka,England,Chris Woakes,3,0,31,0,10.33,7,4,1,2,0,T20I # 201
England Vs Sri Lanka,England,Jade Dernbach,3,0,18,1,6.00,9,1,0,4,0,T20I # 201
England Vs Sri Lanka,England,Stuart Broad,3.2,0,29,0,8.70,4,3,0,0,0,T20I # 201
England Vs Sri Lanka,England,Samit Patel,2,0,18,0,9.00,3,3,0,0,0,T20I # 201
England Vs Sri Lanka,England,Graeme Swann,4,0,26,0,6.50,8,2,0,3,0,T20I # 201
England Vs Sri Lanka,England,Ravi Bopara,2,0,12,0,6.00,5,1,0,1,0,T20I # 201
Sri Lanka Vs Australia,Australia,Brett Lee,4,0,38,1,9.50,7,4,1,2,0,T20I # 202
Sri Lanka Vs Australia,Australia,Steve O'Keefe,3,0,18,0,6.00,7,2,0,1,0,T20I # 202
Sri Lanka Vs Australia,Australia,Mitchell Johnson,4,0,47,1,11.75,9,6,2,1,0,T20I # 202
Sri Lanka Vs Australia,Australia,John Hastings,3,0,34,0,11.33,5,6,0,2,0,T20I # 202
