match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
India Vs South Africa,India,1,Virat Kohli,28,19,5,0,147.36,out,T20I # 196
India Vs South Africa,India,2,Murali Vijay,14,12,3,0,116.66,out,T20I # 196
India Vs South Africa,India,3,Rohit Sharma,53,34,5,2,155.88,out,T20I # 196
India Vs South Africa,India,4,Yuvraj Singh,12,13,1,0,92.30,out,T20I # 196
India Vs South Africa,India,5,Yusuf Pathan,6,8,0,0,75.00,out,T20I # 196
India Vs South Africa,India,6,Suresh Raina,41,23,2,3,178.26,out,T20I # 196
India Vs South Africa,India,7,MS Dhoni,10,11,0,0,90.90,not_out,T20I # 196
India Vs South Africa,South Africa,1,Morne van Wyk,67,39,5,5,171.79,out,T20I # 196
India Vs South Africa,South Africa,2,Hashim Amla,1,3,0,0,33.33,out,T20I # 196
India Vs South Africa,South Africa,3,Colin Ingram,2,8,0,0,25.00,out,T20I # 196
India Vs South Africa,South Africa,4,AB de Villiers,14,10,2,0,140.00,out,T20I # 196
India Vs South Africa,South Africa,5,Jean-Paul Duminy,0,2,0,0,0.00,out,T20I # 196
India Vs South Africa,South Africa,6,David Miller,10,8,0,1,125.00,out,T20I # 196
India Vs South Africa,South Africa,7,Johan Botha,25,22,1,1,113.63,out,T20I # 196
India Vs South Africa,South Africa,8,Robin Peterson,2,6,0,0,33.33,out,T20I # 196
India Vs South Africa,South Africa,9,Wayne Parnell,14,16,1,0,87.50,out,T20I # 196
India Vs South Africa,South Africa,10,Rusty Theron,1,4,0,0,25.00,not_out,T20I # 196
India Vs South Africa,South Africa,11,Makhaya Ntini,1,2,0,0,50.00,not_out,T20I # 196
Australia Vs England,Australia,1,David Warner,30,28,5,0,107.14,out,T20I # 197
Australia Vs England,Australia,2,Shane Watson,59,31,6,3,190.32,out,T20I # 197
Australia Vs England,Australia,3,David Hussey,28,27,1,1,103.70,out,T20I # 197
Australia Vs England,Australia,4,Cameron White,6,9,0,0,66.66,out,T20I # 197
Australia Vs England,Australia,5,Aaron Finch,15,14,1,0,107.14,not_out,T20I # 197
Australia Vs England,Australia,6,Steven Smith,15,11,1,0,136.36,not_out,T20I # 197
Australia Vs England,England,1,Ian Bell,27,17,4,1,158.82,out,T20I # 197
Australia Vs England,England,2,Steven Davies,4,2,1,0,200.00,out,T20I # 197
Australia Vs England,England,3,Kevin Pietersen,25,11,3,1,227.27,out,T20I # 197
Australia Vs England,England,4,Paul Collingwood,16,20,2,0,80.00,out,T20I # 197
Australia Vs England,England,5,Eoin Morgan,43,33,5,1,130.30,out,T20I # 197
Australia Vs England,England,6,Luke Wright,0,2,0,0,0.00,out,T20I # 197
Australia Vs England,England,7,Tim Bresnan,11,11,1,0,100.00,out,T20I # 197
Australia Vs England,England,8,Michael Yardy,0,1,0,0,0.00,out,T20I # 197
Australia Vs England,England,9,Chris Woakes,19,15,1,1,126.66,not_out,T20I # 197
Australia Vs England,England,10,Graeme Swann,6,5,0,0,120.00,out,T20I # 197
Australia Vs England,England,11,Ajmal Shahzad,0,3,0,0,0.00,not_out,T20I # 197
Australia Vs England,Australia,1,David Warner,30,26,3,0,115.38,out,T20I # 198
Australia Vs England,Australia,2,Shane Watson,17,10,0,2,170.00,out,T20I # 198
Australia Vs England,Australia,3,Tim Paine,21,12,2,1,175.00,out,T20I # 198
Australia Vs England,Australia,4,David Hussey,8,16,0,0,50.00,out,T20I # 198
Australia Vs England,Australia,5,Cameron White,0,2,0,0,0.00,out,T20I # 198
Australia Vs England,Australia,6,Aaron Finch,53,33,4,2,160.60,not_out,T20I # 198
Australia Vs England,Australia,7,Steven Smith,13,18,0,0,72.22,out,T20I # 198
Australia Vs England,Australia,8,Steve O'Keefe,1,2,0,0,50.00,out,T20I # 198
Australia Vs England,Australia,9,Mitchell Johnson,1,1,0,0,100.00,not_out,T20I # 198
Australia Vs England,England,1,Ian Bell,39,30,3,0,130.00,out,T20I # 198
Australia Vs England,England,2,Steven Davies,29,26,2,0,111.53,out,T20I # 198
Australia Vs England,England,3,Kevin Pietersen,1,2,0,0,50.00,out,T20I # 198
Australia Vs England,England,4,Paul Collingwood,6,10,0,0,60.00,out,T20I # 198
Australia Vs England,England,5,Eoin Morgan,14,21,1,0,66.66,out,T20I # 198
Australia Vs England,England,6,Luke Wright,18,15,1,0,120.00,out,T20I # 198
Australia Vs England,England,7,Tim Bresnan,15,12,0,0,125.00,not_out,T20I # 198
Australia Vs England,England,8,Chris Woakes,11,6,0,1,183.33,not_out,T20I # 198
West Indies Vs Pakistan,West Indies,1,Lendl Simmons,65,44,7,2,147.72,out,T20I # 199
West Indies Vs Pakistan,West Indies,2,Andre Fletcher,1,5,0,0,20.00,out,T20I # 199
West Indies Vs Pakistan,West Indies,3,Darren Bravo,42,33,4,2,127.27,out,T20I # 199
West Indies Vs Pakistan,West Indies,4,Marlon Samuels,4,12,0,0,33.33,out,T20I # 199
West Indies Vs Pakistan,West Indies,5,Danza Hyatt,14,11,1,1,127.27,out,T20I # 199
West Indies Vs Pakistan,West Indies,6,Daren Sammy,1,2,0,0,50.00,out,T20I # 199
West Indies Vs Pakistan,West Indies,7,Chris Barnwell,11,8,0,1,137.50,not_out,T20I # 199
West Indies Vs Pakistan,West Indies,8,Andre Russell,0,3,0,0,0.00,out,T20I # 199
West Indies Vs Pakistan,West Indies,9,Ashley Nurse,6,3,1,0,200.00,not_out,T20I # 199
West Indies Vs Pakistan,Pakistan,1,Ahmed Shehzad,12,15,2,0,80.00,out,T20I # 199
West Indies Vs Pakistan,Pakistan,2,Mohammad Hafeez,3,4,0,0,75.00,out,T20I # 199
West Indies Vs Pakistan,Pakistan,3,Asad Shafiq,25,17,3,1,147.05,out,T20I # 199
West Indies Vs Pakistan,Pakistan,4,Umar Akmal,41,41,4,0,100.00,out,T20I # 199
West Indies Vs Pakistan,Pakistan,5,Misbah-ul-Haq,0,1,0,0,0.00,out,T20I # 199
West Indies Vs Pakistan,Pakistan,6,Shahid Afridi,12,10,1,0,120.00,out,T20I # 199
West Indies Vs Pakistan,Pakistan,7,Mohammad Salman,5,6,0,0,83.33,out,T20I # 199
West Indies Vs Pakistan,Pakistan,8,Abdur Rehman,7,8,0,0,87.50,out,T20I # 199
West Indies Vs Pakistan,Pakistan,9,Wahab Riaz,6,6,0,0,100.00,out,T20I # 199
West Indies Vs Pakistan,Pakistan,10,Saeed Ajmal,21,14,2,0,150.00,not_out,T20I # 199
West Indies Vs Pakistan,Pakistan,11,Junaid Khan,3,4,0,0,75.00,not_out,T20I # 199
India Vs West Indies,India,1,Parthiv Patel,26,20,2,1,130.00,out,T20I # 200
India Vs West Indies,India,2,Shikhar Dhawan,5,11,0,0,45.45,out,T20I # 200
India Vs West Indies,India,3,Virat Kohli,14,12,2,0,116.66,out,T20I # 200
India Vs West Indies,India,4,S Badrinath,43,37,5,0,116.21,out,T20I # 200
India Vs West Indies,India,5,Suresh Raina,2,6,0,0,33.33,out,T20I # 200
India Vs West Indies,India,6,Rohit Sharma,26,23,0,2,113.04,out,T20I # 200
