Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
South Africa,India,India,21 runs,Durban,"Jan 9, 2011",T20I # 196
Australia,England,England,1 wickets,Adelaide,"Jan 12, 2011",T20I # 197
Australia,England,Australia,4 runs,Melbourne,"Jan 14, 2011",T20I # 198
West Indies,Pakistan,West Indies,7 runs,Gros Islet,"Apr 21, 2011",T20I # 199
West Indies,India,India,16 runs,Port of Spain,"Jun 4, 2011",T20I # 200
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,"Jun 25, 2011",T20I # 201
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,"Aug 6, 2011",T20I # 202
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,"Aug 8, 2011",T20I # 203
England,India,England,6 wickets,Manchester,"Aug 31, 2011",T20I # 204
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,"Sep 16, 2011",T20I # 205
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,"Sep 18, 2011",T20I # 206
England,West Indies,England,10 wickets,The Oval,"Sep 23, 2011",T20I # 207
England,West Indies,West Indies,25 runs,The Oval,"Sep 25, 2011",T20I # 208
Bangladesh,West Indies,Bangladesh,3 wickets,Mirpur,"Oct 11, 2011",T20I # 209
South Africa,Australia,Australia,5 wickets,Cape Town,"Oct 13, 2011",T20I # 210
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Oct 15, 2011",T20I # 211
South Africa,Australia,South Africa,3 wickets,Johannesburg,"Oct 16, 2011",T20I # 212
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,"Oct 17, 2011",T20I # 213
India,England,England,6 wickets,Eden Gardens,"Oct 29, 2011",T20I # 214
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"Nov 25, 2011",T20I # 215
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Nov 29, 2011",T20I # 216
