Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
New Zealand,West Indies,New Zealand,81 runs,Auckland,"Jan 11, 2014",T20I # 352
New Zealand,West Indies,New Zealand,4 wickets,Wellington,"Jan 15, 2014",T20I # 353
Australia,England,Australia,13 runs,Hobart,"Jan 29, 2014",T20I # 354
Australia,England,Australia,8 wickets,Melbourne,"Jan 31, 2014",T20I # 355
Australia,England,Australia,84 runs,Sydney,"Feb 2, 2014",T20I # 356
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,"Feb 12, 2014",T20I # 357
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,"Feb 14, 2014",T20I # 358
West Indies,Ireland,Ireland,6 wickets,Kingston,"Feb 19, 2014",T20I # 359
West Indies,Ireland,West Indies,11 runs,Kingston,"Feb 21, 2014",T20I # 360
West Indies,England,West Indies,27 runs,Bridgetown,"Mar 9, 2014",T20I # 361
West Indies,England,West Indies,5 wickets,Bridgetown,"Mar 11, 2014",T20I # 362
South Africa,Australia,Australia,5 wickets,Durban,"Mar 12, 2014",T20I # 363
West Indies,England,England,5 runs,Bridgetown,"Mar 13, 2014",T20I # 364
South Africa,Australia,Australia,6 wickets,Centurion,"Mar 14, 2014",T20I # 365
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,"Mar 16, 2014",T20I # 366
Hong Kong,Nepal,Nepal,80 runs,Chattogram,"Mar 16, 2014",T20I # 367
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,"Mar 17, 2014",T20I # 368
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,"Mar 17, 2014",T20I # 369
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,"Mar 18, 2014",T20I # 370
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,"Mar 18, 2014",T20I # 371
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 19, 2014",T20I # 372
Ireland,U.A.E.,Ireland,21 runs,Sylhet,"Mar 19, 2014",T20I # 373
Afghanistan,Nepal,Nepal,9 runs,Chattogram,"Mar 20, 2014",T20I # 374
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,"Mar 20, 2014",T20I # 375
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 21, 2014",T20I # 376
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,"Mar 21, 2014",T20I # 377
India,Pakistan,India,7 wickets,Mirpur,"Mar 21, 2014",T20I # 378
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,"Mar 22, 2014",T20I # 379
England,New Zealand,New Zealand,9 runs,Chattogram,"Mar 22, 2014",T20I # 380
Australia,Pakistan,Pakistan,16 runs,Mirpur,"Mar 23, 2014",T20I # 381
India,West Indies,India,7 wickets,Mirpur,"Mar 23, 2014",T20I # 382
New Zealand,South Africa,South Africa,2 runs,Chattogram,"Mar 24, 2014",T20I # 383
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,"Mar 24, 2014",T20I # 384
Bangladesh,West Indies,West Indies,73 runs,Mirpur,"Mar 25, 2014",T20I # 385
Netherlands,South Africa,South Africa,6 runs,Chattogram,"Mar 27, 2014",T20I # 386
England,Sri Lanka,England,6 wickets,Chattogram,"Mar 27, 2014",T20I # 387
Australia,West Indies,West Indies,6 wickets,Mirpur,"Mar 28, 2014",T20I # 388
Bangladesh,India,India,8 wickets,Mirpur,"Mar 28, 2014",T20I # 389
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,"Mar 29, 2014",T20I # 390
England,South Africa,South Africa,3 runs,Chattogram,"Mar 29, 2014",T20I # 391
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Mar 30, 2014",T20I # 392
Australia,India,India,73 runs,Mirpur,"Mar 30, 2014",T20I # 393
England,Netherlands,Netherlands,45 runs,Chattogram,"Mar 31, 2014",T20I # 394
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,"Mar 31, 2014",T20I # 395
Bangladesh,Australia,Australia,7 wickets,Mirpur,"Apr 1, 2014",T20I # 396
Pakistan,West Indies,West Indies,84 runs,Mirpur,"Apr 1, 2014",T20I # 397
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,"Apr 3, 2014",T20I # 398
India,South Africa,India,6 wickets,Mirpur,"Apr 4, 2014",T20I # 399
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Apr 6, 2014",T20I # 400
England,Sri Lanka,Sri Lanka,9 runs,The Oval,"May 20, 2014",T20I # 401
West Indies,New Zealand,New Zealand,12 runs,Roseau,"Jul 5, 2014",T20I # 402
West Indies,New Zealand,West Indies,39 runs,Roseau,"Jul 6, 2014",T20I # 403
West Indies,Bangladesh,no result,-,Basseterre,"Aug 27, 2014",T20I # 404
England,India,England,3 runs,Birmingham,"Sep 7, 2014",T20I # 405
Australia,Pakistan,Australia,6 wickets,Dubai (DSC),"Oct 5, 2014",T20I # 406
Australia,South Africa,South Africa,7 wickets,Adelaide,"Nov 5, 2014",T20I # 407
Australia,South Africa,Australia,7 wickets,Melbourne,"Nov 7, 2014",T20I # 408
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 9, 2014",T20I # 409
Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),"Nov 24, 2014",T20I # 410
New Zealand,Pakistan,Pakistan,7 wickets,Dubai (DSC),"Dec 4, 2014",T20I # 411
New Zealand,Pakistan,New Zealand,17 runs,Dubai (DSC),"Dec 5, 2014",T20I # 412
