match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
New Zealand Vs West Indies,West Indies,Samuel Badree,4,0,25,0,6.25,8,2,0,1,0,T20I # 352
New Zealand Vs West Indies,West Indies,Tino Best,4,0,40,3,10.00,9,3,3,0,0,T20I # 352
New Zealand Vs West Indies,West Indies,Sunil Narine,4,0,46,0,11.50,7,4,3,0,1,T20I # 352
New Zealand Vs West Indies,West Indies,Nikita Miller,3,0,26,2,8.66,7,1,2,0,0,T20I # 352
New Zealand Vs West Indies,West Indies,Dwayne Bravo,4,0,24,0,6.00,5,1,0,0,0,T20I # 352
New Zealand Vs West Indies,West Indies,Andre Russell,1,0,23,0,23.00,1,1,3,0,0,T20I # 352
New Zealand Vs West Indies,New Zealand,Tim Southee,4,0,36,0,9.00,9,4,1,2,0,T20I # 352
New Zealand Vs West Indies,New Zealand,Adam Milne,4,0,15,1,3.75,13,1,0,0,0,T20I # 352
New Zealand Vs West Indies,New Zealand,James Neesham,4,0,16,3,4.00,15,0,0,5,0,T20I # 352
New Zealand Vs West Indies,New Zealand,Nathan McCullum,4,0,24,4,6.00,12,2,1,0,0,T20I # 352
New Zealand Vs West Indies,New Zealand,Corey Anderson,4,0,15,0,3.75,10,0,0,0,0,T20I # 352
West Indies Vs New Zealand,New Zealand,Mitchell McClenaghan,4,0,29,1,7.25,12,4,1,0,0,T20I # 353
West Indies Vs New Zealand,New Zealand,Adam Milne,4,0,22,2,5.50,13,3,0,0,0,T20I # 353
West Indies Vs New Zealand,New Zealand,James Neesham,4,0,39,0,9.75,7,2,2,2,0,T20I # 353
West Indies Vs New Zealand,New Zealand,Corey Anderson,4,0,50,0,12.50,6,4,3,2,0,T20I # 353
West Indies Vs New Zealand,New Zealand,Nathan McCullum,4,0,17,1,4.25,10,0,0,0,0,T20I # 353
West Indies Vs New Zealand,West Indies,Jason Holder,3,0,34,2,11.33,6,3,2,1,0,T20I # 353
West Indies Vs New Zealand,West Indies,Tino Best,3,0,37,0,12.33,8,5,2,1,0,T20I # 353
West Indies Vs New Zealand,West Indies,Dwayne Bravo,3,0,31,0,10.33,4,2,1,2,0,T20I # 353
West Indies Vs New Zealand,West Indies,Sunil Narine,4,0,18,2,4.50,11,1,0,0,0,T20I # 353
West Indies Vs New Zealand,West Indies,Nikita Miller,3,0,24,0,8.00,5,1,1,0,0,T20I # 353
West Indies Vs New Zealand,West Indies,Andre Russell,3,0,16,2,5.33,9,2,0,0,0,T20I # 353
Australia Vs England,England,Stuart Broad,4,0,25,1,6.25,10,1,1,0,0,T20I # 354
Australia Vs England,England,Jade Dernbach,4,0,50,1,12.50,9,4,3,0,1,T20I # 354
Australia Vs England,England,Tim Bresnan,4,0,40,0,10.00,6,1,3,2,0,T20I # 354
Australia Vs England,England,Ravi Bopara,3,0,26,1,8.66,7,1,2,1,0,T20I # 354
Australia Vs England,England,Danny Briggs,4,0,53,0,13.25,4,7,1,3,0,T20I # 354
Australia Vs England,England,Luke Wright,1,0,18,1,18.00,1,2,1,0,1,T20I # 354
Australia Vs England,Australia,Glenn Maxwell,3,0,30,1,10.00,4,5,0,0,0,T20I # 354
Australia Vs England,Australia,Nathan Coulter-Nile,4,0,31,4,7.75,15,5,1,0,0,T20I # 354
Australia Vs England,Australia,Josh Hazlewood,4,0,46,0,11.50,12,1,5,2,0,T20I # 354
Australia Vs England,Australia,Moises Henriques,3,0,35,2,11.66,4,2,3,0,0,T20I # 354
Australia Vs England,Australia,James Muirhead,4,0,34,1,8.50,4,0,2,1,0,T20I # 354
Australia Vs England,Australia,Dan Christian,2,0,21,0,10.50,3,4,0,0,0,T20I # 354
England Vs Australia,Australia,Brad Hodge,1,0,10,0,10.00,2,2,0,0,0,T20I # 355
England Vs Australia,Australia,Nathan Coulter-Nile,4,0,29,1,7.25,10,4,0,0,0,T20I # 355
England Vs Australia,Australia,Mitchell Starc,4,0,19,1,4.75,14,3,0,0,0,T20I # 355
England Vs Australia,Australia,Josh Hazlewood,4,0,30,4,7.50,14,4,0,2,0,T20I # 355
England Vs Australia,Australia,Glenn Maxwell,1,0,7,0,7.00,2,1,0,0,0,T20I # 355
England Vs Australia,Australia,James Muirhead,4,0,17,1,4.25,12,0,0,2,0,T20I # 355
England Vs Australia,Australia,Cameron White,2,0,14,0,7.00,1,1,0,0,0,T20I # 355
England Vs Australia,England,Stuart Broad,3,0,29,0,9.66,7,6,0,0,0,T20I # 355
England Vs Australia,England,Jade Dernbach,3,0,42,0,14.00,6,8,1,0,0,T20I # 355
England Vs Australia,England,Tim Bresnan,3,0,11,1,3.66,11,0,0,1,0,T20I # 355
England Vs Australia,England,James Tredwell,3.5,0,37,1,9.65,6,3,2,0,0,T20I # 355
England Vs Australia,England,Ravi Bopara,2,0,12,0,6.00,3,1,0,0,0,T20I # 355
Australia Vs England,England,Stuart Broad,4,0,30,3,7.50,12,2,2,0,0,T20I # 356
Australia Vs England,England,Chris Jordan,4,0,23,1,5.75,10,2,0,1,0,T20I # 356
Australia Vs England,England,Tim Bresnan,4,0,42,1,10.50,6,2,3,0,0,T20I # 356
Australia Vs England,England,Ben Stokes,3,0,36,0,12.00,9,0,5,1,0,T20I # 356
Australia Vs England,England,Jade Dernbach,4,0,49,0,12.25,5,5,2,2,0,T20I # 356
Australia Vs England,England,Joe Root,1,0,13,1,13.00,2,1,1,0,0,T20I # 356
Australia Vs England,Australia,Mitchell Starc,2.2,0,8,1,3.42,8,0,0,1,0,T20I # 356
Australia Vs England,Australia,Nathan Coulter-Nile,4,0,21,2,5.25,16,4,0,0,0,T20I # 356
Australia Vs England,Australia,Glenn Maxwell,4,0,31,2,7.75,10,3,1,0,0,T20I # 356
Australia Vs England,Australia,Ben Cutting,3,0,18,1,6.00,7,2,0,1,0,T20I # 356
Australia Vs England,Australia,Dan Christian,2,0,14,1,7.00,3,0,1,0,0,T20I # 356
Australia Vs England,Australia,James Muirhead,2,0,13,2,6.50,7,1,1,0,0,T20I # 356
Sri Lanka Vs Bangladesh,Bangladesh,Mashrafe Mortaza,4,0,43,2,10.75,7,4,2,0,0,T20I # 357
Sri Lanka Vs Bangladesh,Bangladesh,Sohag Gazi,3,0,29,0,9.66,5,5,0,0,0,T20I # 357
Sri Lanka Vs Bangladesh,Bangladesh,Rubel Hossain,4,0,27,0,6.75,10,2,0,1,0,T20I # 357
Sri Lanka Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,27,2,6.75,5,0,1,0,0,T20I # 357
Sri Lanka Vs Bangladesh,Bangladesh,Arafat Sunny,3,0,17,2,5.66,5,0,0,1,0,T20I # 357
Sri Lanka Vs Bangladesh,Bangladesh,Farhad Reza,2,0,18,0,9.00,2,0,1,1,0,T20I # 357
Sri Lanka Vs Bangladesh,Sri Lanka,Lasith Malinga,4,0,34,1,8.50,10,5,0,0,1,T20I # 357
Sri Lanka Vs Bangladesh,Sri Lanka,Nuwan Kulasekara,4,0,29,2,7.25,12,5,0,0,0,T20I # 357
Sri Lanka Vs Bangladesh,Sri Lanka,Sachithra Senanayake,3,0,21,0,7.00,9,3,0,1,0,T20I # 357
Sri Lanka Vs Bangladesh,Sri Lanka,Ajantha Mendis,4,0,29,1,7.25,9,3,1,0,0,T20I # 357
Sri Lanka Vs Bangladesh,Sri Lanka,Thisara Perera,4,0,42,2,10.50,4,4,1,0,0,T20I # 357
Sri Lanka Vs Bangladesh,Sri Lanka,Seekkuge Prasanna,1,0,6,0,6.00,1,0,0,0,0,T20I # 357
Bangladesh Vs Sri Lanka,Sri Lanka,Tillakaratne Dilshan,2,0,23,1,11.50,5,2,2,0,0,T20I # 358
Bangladesh Vs Sri Lanka,Sri Lanka,Nuwan Kulasekara,4,0,32,2,8.00,11,5,0,1,0,T20I # 358
Bangladesh Vs Sri Lanka,Sri Lanka,Sachithra Senanayake,4,0,11,2,2.75,15,0,0,0,0,T20I # 358
Bangladesh Vs Sri Lanka,Sri Lanka,Lasith Malinga,3.5,0,20,3,5.21,13,3,0,1,0,T20I # 358
Bangladesh Vs Sri Lanka,Sri Lanka,Angelo Mathews,2,0,9,0,4.50,7,1,0,0,0,T20I # 358
Bangladesh Vs Sri Lanka,Sri Lanka,Ajantha Mendis,4,0,21,1,5.25,14,2,0,1,0,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Arafat Sunny,2,0,8,1,4.00,9,0,1,0,0,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Mashrafe Mortaza,4,0,29,2,7.25,9,3,1,0,0,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Rubel Hossain,4,0,34,1,8.50,8,4,0,0,1,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Shakib Al Hasan,2,0,8,1,4.00,4,0,0,0,0,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Mahmudullah,4,0,16,1,4.00,11,0,0,1,0,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Nasir Hossain,2,0,11,0,5.50,4,0,0,1,0,T20I # 358
Bangladesh Vs Sri Lanka,Bangladesh,Farhad Reza,2,0,16,0,8.00,1,1,0,0,0,T20I # 358
West Indies Vs Ireland,Ireland,Paul Stirling,0,0,4,0,0,28,7.00,4,0,4,T20I # 359
West Indies Vs Ireland,Ireland,Max Sorensen,0,17,4.25,1,1,0,2,0,17,8.50,T20I # 359
West Indies Vs Ireland,Ireland,Tim Murtagh,0,0,4,2,0,15,3.75,0,0,4,T20I # 359
West Indies Vs Ireland,Ireland,Alex Cusack,4,1,0,2,100.00,0,2,0,0,0.00,T20I # 359
West Indies Vs Ireland,Ireland,Kevin O'Brien,40,49,2,2,0,81.63,18,18,3,0,T20I # 359
West Indies Vs Ireland,Ireland,George Dockrell,100.00,32,30,1,6,0,106.66,15,12,2,T20I # 359
West Indies Vs Ireland,Ireland,Max Sorensen,0,3,0,0,14,4.66,0,0,4,1,T20I # 360
West Indies Vs Ireland,Ireland,Tim Murtagh,11,2.75,0,1,0,1,0,9,9.00,1,T20I # 360
West Indies Vs Ireland,Ireland,George Dockrell,0,1,0,0,4,4.00,0,0,4,0,T20I # 360
West Indies Vs Ireland,Ireland,Alex Cusack,16,4.00,0,4,0,5,18,0,0,27.77,T20I # 360
West Indies Vs Ireland,Ireland,Stuart Thompson,2,5,0,1,0,40.00,10,14,1,0,T20I # 360
West Indies Vs Ireland,Ireland,Paul Stirling,71.42,35,39,0,4,0,89.74,2,5,0,T20I # 360
West Indies Vs Ireland,Ireland,Kevin O'Brien,0,40.00,3,1,5,0,0,60.00,7,8,T20I # 360
West Indies Vs England,England,Stuart Broad,2,0,26,0,13.00,4,4,1,0,1,T20I # 361
West Indies Vs England,England,Jade Dernbach,4,0,36,0,9.00,9,7,0,0,0,T20I # 361
West Indies Vs England,England,Tim Bresnan,4,0,36,0,9.00,11,6,1,0,0,T20I # 361
West Indies Vs England,England,Ben Stokes,2,0,30,0,15.00,3,3,2,0,0,T20I # 361
West Indies Vs England,England,Ravi Bopara,4,0,23,2,5.75,8,2,0,0,0,T20I # 361
West Indies Vs England,England,James Tredwell,4,0,16,1,4.00,15,0,1,0,0,T20I # 361
West Indies Vs England,West Indies,Samuel Badree,4,0,17,3,4.25,16,3,0,0,0,T20I # 361
West Indies Vs England,West Indies,Ravi Rampaul,3,0,31,0,10.33,6,6,0,0,0,T20I # 361
West Indies Vs England,West Indies,Sunil Narine,2,0,8,1,4.00,8,1,0,0,0,T20I # 361
West Indies Vs England,West Indies,Dwayne Bravo,4,0,30,1,7.50,10,5,0,0,0,T20I # 361
West Indies Vs England,West Indies,Marlon Samuels,4,0,21,2,5.25,6,0,0,0,0,T20I # 361
West Indies Vs England,West Indies,Daren Sammy,1,0,12,0,12.00,0,0,1,0,0,T20I # 361
West Indies Vs England,West Indies,Andre Russell,2,0,21,0,10.50,3,2,1,0,0,T20I # 361
England Vs West Indies,West Indies,Samuel Badree,4,0,16,1,4.00,12,1,0,0,0,T20I # 362
England Vs West Indies,West Indies,Krishmar Santokie,4,0,21,4,5.25,11,2,0,0,0,T20I # 362
England Vs West Indies,West Indies,Marlon Samuels,2,0,17,0,8.50,5,1,1,0,0,T20I # 362
England Vs West Indies,West Indies,Ravi Rampaul,3,0,30,0,10.00,3,1,2,1,0,T20I # 362
England Vs West Indies,West Indies,Daren Sammy,1,0,17,0,17.00,0,2,1,0,0,T20I # 362
England Vs West Indies,West Indies,Dwayne Bravo,4,0,34,2,8.50,5,1,2,0,0,T20I # 362
England Vs West Indies,West Indies,Andre Russell,2,0,13,0,6.50,2,1,0,0,0,T20I # 362
England Vs West Indies,England,Tim Bresnan,3.5,0,51,2,13.30,8,3,5,1,0,T20I # 362
England Vs West Indies,England,Jade Dernbach,3,0,30,1,10.00,5,2,2,1,0,T20I # 362
England Vs West Indies,England,James Tredwell,4,0,27,0,6.75,15,1,3,0,0,T20I # 362
England Vs West Indies,England,Ravi Bopara,4,0,10,1,2.50,14,0,0,0,0,T20I # 362
England Vs West Indies,England,Stephen Parry,2,0,17,0,8.50,2,2,0,0,0,T20I # 362
England Vs West Indies,England,Luke Wright,2,0,20,1,10.00,3,2,1,0,0,T20I # 362
South Africa Vs Australia,Australia,Mitchell Starc,2,0,24,0,12.00,7,1,2,2,0,T20I # 363
South Africa Vs Australia,Australia,Nathan Coulter-Nile,2,0,17,1,8.50,6,2,1,0,0,T20I # 363
South Africa Vs Australia,Australia,Brad Hogg,1,0,5,0,5.00,2,0,0,0,0,T20I # 363
South Africa Vs Australia,Australia,Shane Watson,1,0,14,0,14.00,1,1,1,0,0,T20I # 363
South Africa Vs Australia,Australia,Dan Christian,1,0,18,0,18.00,2,1,2,0,0,T20I # 363
South Africa Vs Australia,South Africa,Lonwabo Tsotsobe,1,0,21,0,21.00,0,3,1,0,0,T20I # 363
South Africa Vs Australia,South Africa,Kyle Abbott,1,0,5,1,5.00,4,1,0,0,0,T20I # 363
South Africa Vs Australia,South Africa,Beuran Hendricks,2,0,31,0,15.50,0,3,1,1,1,T20I # 363
