match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
New Zealand Vs West Indies,New Zealand,1,Martin Guptill,25,16,3,1,156.25,out,T20I # 352
New Zealand Vs West Indies,New Zealand,2,Jesse Ryder,22,14,3,0,157.14,out,T20I # 352
New Zealand Vs West Indies,New Zealand,3,Brendon McCullum,60,45,2,4,133.33,not_out,T20I # 352
New Zealand Vs West Indies,New Zealand,4,Ross Taylor,5,7,0,0,71.42,out,T20I # 352
New Zealand Vs West Indies,New Zealand,5,Colin Munro,22,12,1,2,183.33,out,T20I # 352
New Zealand Vs West Indies,New Zealand,6,Corey Anderson,0,2,0,0,0.00,out,T20I # 352
New Zealand Vs West Indies,New Zealand,7,Luke Ronchi,48,25,3,4,192.00,not_out,T20I # 352
New Zealand Vs West Indies,West Indies,1,Johnson Charles,16,14,3,0,114.28,out,T20I # 352
New Zealand Vs West Indies,West Indies,2,Lendl Simmons,0,4,0,0,0.00,out,T20I # 352
New Zealand Vs West Indies,West Indies,3,Andre Fletcher,23,25,0,1,92.00,out,T20I # 352
New Zealand Vs West Indies,West Indies,4,Kieran Powell,12,14,1,0,85.71,out,T20I # 352
New Zealand Vs West Indies,West Indies,5,Dwayne Bravo,10,11,1,0,90.90,out,T20I # 352
New Zealand Vs West Indies,West Indies,6,Andre Russell,0,2,0,0,0.00,out,T20I # 352
New Zealand Vs West Indies,West Indies,7,Chadwick Walton,9,8,0,1,112.50,out,T20I # 352
New Zealand Vs West Indies,West Indies,8,Nikita Miller,15,18,1,0,83.33,not_out,T20I # 352
New Zealand Vs West Indies,West Indies,9,Sunil Narine,0,2,0,0,0.00,out,T20I # 352
New Zealand Vs West Indies,West Indies,10,Samuel Badree,14,22,1,0,63.63,not_out,T20I # 352
West Indies Vs New Zealand,West Indies,1,Lendl Simmons,29,19,5,1,152.63,out,T20I # 353
West Indies Vs New Zealand,West Indies,2,Johnson Charles,7,12,1,0,58.33,out,T20I # 353
West Indies Vs New Zealand,West Indies,3,Andre Fletcher,40,36,3,1,111.11,out,T20I # 353
West Indies Vs New Zealand,West Indies,4,Dwayne Bravo,12,12,0,1,100.00,out,T20I # 353
West Indies Vs New Zealand,West Indies,5,Chadwick Walton,0,3,0,0,0.00,out,T20I # 353
West Indies Vs New Zealand,West Indies,6,Denesh Ramdin,55,31,3,3,177.41,not_out,T20I # 353
West Indies Vs New Zealand,West Indies,7,Andre Russell,10,7,1,0,142.85,not_out,T20I # 353
West Indies Vs New Zealand,New Zealand,1,Martin Guptill,1,4,0,0,25.00,out,T20I # 353
West Indies Vs New Zealand,New Zealand,2,Jesse Ryder,23,9,2,2,255.55,out,T20I # 353
West Indies Vs New Zealand,New Zealand,3,Brendon McCullum,17,11,2,1,154.54,out,T20I # 353
West Indies Vs New Zealand,New Zealand,4,Ross Taylor,39,41,3,0,95.12,out,T20I # 353
West Indies Vs New Zealand,New Zealand,5,Colin Munro,5,6,0,0,83.33,out,T20I # 353
West Indies Vs New Zealand,New Zealand,6,Corey Anderson,6,9,1,0,66.66,out,T20I # 353
West Indies Vs New Zealand,New Zealand,7,Luke Ronchi,51,28,4,2,182.14,not_out,T20I # 353
West Indies Vs New Zealand,New Zealand,8,James Neesham,14,6,2,1,233.33,not_out,T20I # 353
Australia Vs England,Australia,1,Cameron White,75,43,6,4,174.41,out,T20I # 354
Australia Vs England,Australia,2,Aaron Finch,52,31,5,3,167.74,out,T20I # 354
Australia Vs England,Australia,3,Glenn Maxwell,20,13,2,1,153.84,out,T20I # 354
Australia Vs England,Australia,4,George Bailey,14,14,1,0,100.00,out,T20I # 354
Australia Vs England,Australia,5,Chris Lynn,33,19,1,3,173.68,not_out,T20I # 354
