match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
New Zealand Vs Sri Lanka,New Zealand,1,Martin Guptill,58,34,4,4,170.58,out,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,2,Kane Williamson,53,42,5,1,126.19,out,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,3,Colin Munro,36,26,2,2,138.46,out,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,4,Corey Anderson,2,3,0,0,66.66,out,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,5,Ross Taylor,22,9,3,1,244.44,not_out,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,6,Grant Elliott,10,6,1,0,166.66,not_out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,1,Danushka Gunathilaka,46,29,3,2,158.62,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,2,Tillakaratne Dilshan,0,1,0,0,0.00,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,3,Dinesh Chandimal,7,7,1,0,100.00,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,4,Shehan Jayasuriya,4,3,0,0,133.33,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,5,Angelo Mathews,4,5,1,0,80.00,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,6,Milinda Siriwardana,42,31,2,2,135.48,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,7,Thisara Perera,28,19,3,1,147.36,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,8,Chamara Kapugedera,17,15,2,0,113.33,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,9,Nuwan Kulasekara,14,10,0,1,140.00,out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,10,Jeffrey Vandersay,4,1,1,0,400.00,not_out,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,11,Suranga Lakmal,1,1,0,0,100.00,not_out,T20I # 474
Afghanistan Vs Zimbabwe,Afghanistan,1,Mohammad Shahzad,33,17,3,194.11,42,out,T20I # 475
Afghanistan Vs Zimbabwe,Afghanistan,2,Usman Ghani,38,5,110.52,8,8,out,T20I # 475
