match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
New Zealand Vs Sri Lanka,Sri Lanka,Suranga Lakmal,3,0,39,0,13.00,4,5,2,0,0,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,Thisara Perera,3,0,39,0,13.00,4,3,3,1,0,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,Nuwan Kulasekara,4,0,26,2,6.50,8,1,1,0,0,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,Shehan Jayasuriya,4,0,28,0,7.00,8,2,1,0,0,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,Jeffrey Vandersay,4,0,30,1,7.50,6,3,0,0,0,T20I # 474
New Zealand Vs Sri Lanka,Sri Lanka,Tillakaratne Dilshan,2,0,20,0,10.00,0,1,1,0,0,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,Matt Henry,4,0,44,3,11.00,10,6,2,0,1,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,Trent Boult,4,0,21,3,5.25,10,1,0,0,0,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,Mitchell McClenaghan,4,0,40,0,10.00,6,1,2,4,1,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,Grant Elliott,2,0,18,1,9.00,3,1,1,0,0,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,Ish Sodhi,4,0,33,1,8.25,5,2,1,0,0,T20I # 474
New Zealand Vs Sri Lanka,New Zealand,Colin Munro,2,0,17,0,8.50,3,2,0,0,0,T20I # 474
Afghanistan Vs Zimbabwe,Zimbabwe,Donald Tiripano,4,0,48,0,12.00,9,1,5,1,0,T20I # 475
Afghanistan Vs Zimbabwe,Zimbabwe,Tendai Chisoro,3,0,40,1,13.33,4,3,3,1,0,T20I # 475
Afghanistan Vs Zimbabwe,Zimbabwe,Luke Jongwe,3,0,25,1,8.33,3,3,0,0,0,T20I # 475
Afghanistan Vs Zimbabwe,Zimbabwe,Chamu Chibhabha,4,0,17,0,4.25,16,1,1,1,0,T20I # 475
Afghanistan Vs Zimbabwe,Zimbabwe,Graeme Cremer,3,0,27,3,9.00,7,2,2,0,0,T20I # 475
Afghanistan Vs Zimbabwe,Zimbabwe,Sikandar Raza,2,3,0,1,0,66.66,33,24,3,2,T20I # 475
Afghanistan Vs Zimbabwe,Afghanistan,Dawlat Zadran,0,4,0,3,23,5.75,13,2,1,0,T20I # 475
Afghanistan Vs Zimbabwe,Afghanistan,Mirwais Ashraf,0,1,0,0,14,14.00,3,0,2,1,T20I # 475
Afghanistan Vs Zimbabwe,Afghanistan,Amir Hamza,0,3,0,1,28,9.33,6,3,1,2,T20I # 475
Afghanistan Vs Zimbabwe,Afghanistan,Karim Sadiq,0,4,0,0,28,7.00,9,0,2,0,T20I # 475
Afghanistan Vs Zimbabwe,Afghanistan,Gulbadin Naib,0,3,0,1,31,10.33,6,1,2,1,T20I # 475
Sri Lanka Vs New Zealand,New Zealand,Trent Boult,4,0,36,0,9.00,8,5,1,0,0,T20I # 476
Sri Lanka Vs New Zealand,New Zealand,Adam Milne,4,0,36,2,9.00,8,6,0,0,0,T20I # 476
Sri Lanka Vs New Zealand,New Zealand,Mitchell McClenaghan,4,0,22,0,5.50,11,0,1,2,0,T20I # 476
Sri Lanka Vs New Zealand,New Zealand,Mitchell Santner,4,0,24,2,6.00,13,0,2,1,0,T20I # 476
Sri Lanka Vs New Zealand,New Zealand,Grant Elliott,4,0,22,4,5.50,8,2,0,0,0,T20I # 476
Sri Lanka Vs New Zealand,Sri Lanka,Isuru Udana,3,0,34,0,11.33,4,2,2,1,0,T20I # 476
Sri Lanka Vs New Zealand,Sri Lanka,Dushmantha Chameera,3,0,46,0,15.33,2,4,3,1,0,T20I # 476
Sri Lanka Vs New Zealand,Sri Lanka,Jeffrey Vandersay,2,0,41,0,20.50,2,3,4,0,0,T20I # 476
Sri Lanka Vs New Zealand,Sri Lanka,Thisara Perera,2,0,26,1,13.00,5,1,3,0,0,T20I # 476
Afghanistan Vs Zimbabwe,Zimbabwe,Donald Tiripano,3,0,4,1,0,25,6.25,12,2,1,T20I # 477
Afghanistan Vs Zimbabwe,Zimbabwe,Tendai Chisoro,1,0,4,1,0,34,8.50,9,3,1,T20I # 477
Afghanistan Vs Zimbabwe,Zimbabwe,Luke Jongwe,1,0,4,1,0,56,14.00,5,5,4,T20I # 477
Afghanistan Vs Zimbabwe,Zimbabwe,Chamu Chibhabha,0,0,3,1,0,35,11.66,8,3,3,T20I # 477
Afghanistan Vs Zimbabwe,Zimbabwe,Graeme Cremer,1,0,1,1,0,17,17.00,0,0,2,T20I # 477
Afghanistan Vs Zimbabwe,Zimbabwe,Sikandar Raza,0,1,3,0,6,0,0,50.00,63,44,T20I # 477
Afghanistan Vs Zimbabwe,Afghanistan,Dawlat Zadran,4,0,31,2,7.75,8,2,1,3,0,T20I # 477
Afghanistan Vs Zimbabwe,Afghanistan,Amir Hamza,2,1,10,2,5.00,7,0,1,0,0,T20I # 477
Afghanistan Vs Zimbabwe,Afghanistan,Sayed Shirzad,4,0,22,2,5.50,10,2,0,0,0,T20I # 477
Afghanistan Vs Zimbabwe,Afghanistan,Mohammad Nabi,2,0,27,1,13.50,1,2,2,0,0,T20I # 477
Pakistan Vs New Zealand,New Zealand,Matt Henry,0,42,10.50,1,8,6,1,1,0,4,T20I # 478
Pakistan Vs New Zealand,New Zealand,Trent Boult,0,37,9.25,1,8,2,2,0,0,1,T20I # 478
Pakistan Vs New Zealand,New Zealand,Adam Milne,0,18,18.00,4,2,3,1,0,0,4,T20I # 478
Pakistan Vs New Zealand,New Zealand,Corey Anderson,0,14,3.50,0,11,0,0,0,0,3,T20I # 478
Pakistan Vs New Zealand,New Zealand,Mitchell Santner,0,28,9.33,2,4,1,2,0,0,2,T20I # 478
Pakistan Vs New Zealand,New Zealand,Todd Astle,3,0,0,0,66.66,70,60,6,1,116.66,T20I # 478
Pakistan Vs New Zealand,Pakistan,Mohammad Amir,9.50,10,3,1,3,0,0,4,1,26,T20I # 478
Pakistan Vs New Zealand,Pakistan,Imad Wasim,6.50,11,1,1,1,1,0,4,0,34,T20I # 478
Zimbabwe Vs Bangladesh,Bangladesh,Mashrafe Mortaza,0,4,0,0,24,6.00,12,2,1,0,T20I # 479
Zimbabwe Vs Bangladesh,Bangladesh,Al-Amin Hossain,0,4,0,2,45,11.25,5,2,3,2,T20I # 479
Zimbabwe Vs Bangladesh,Bangladesh,Shakib Al Hasan,0,4,0,1,18,4.50,11,1,0,0,T20I # 479
Zimbabwe Vs Bangladesh,Bangladesh,Mustafizur Rahman,0,2,0,2,20,10.00,3,2,1,0,T20I # 479
Zimbabwe Vs Bangladesh,Bangladesh,Mahmudullah,0,2,0,0,16,8.00,5,3,0,0,T20I # 479
Zimbabwe Vs Bangladesh,Bangladesh,Sabbir Rahman,0,29,24,0,3,1,120.83,7,5,1,T20I # 479
Zimbabwe Vs Bangladesh,Zimbabwe,Wellington Masakadza,2,0,1,1,0,12,12.00,3,1,1,T20I # 479
Zimbabwe Vs Bangladesh,Zimbabwe,Brian Vitori,0,0,3.4,0,0,45,12.27,6,5,1,T20I # 479
Zimbabwe Vs Bangladesh,Zimbabwe,Sikandar Raza,2,0,4,0,0,32,8.00,7,2,1,T20I # 479
Zimbabwe Vs Bangladesh,Zimbabwe,Luke Jongwe,0,0,3,1,0,22,7.33,5,2,0,T20I # 479
Pakistan Vs New Zealand,New Zealand,Mitchell Santner,3,0,29,1,9.66,9,1,3,2,0,T20I # 480
Pakistan Vs New Zealand,New Zealand,Corey Anderson,4,0,26,1,6.50,12,3,0,3,0,T20I # 480
Pakistan Vs New Zealand,New Zealand,Adam Milne,4,0,37,1,9.25,8,3,2,1,0,T20I # 480
