Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,"Jan 7, 2016",T20I # 474
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,"Jan 8, 2016",T20I # 475
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,"Jan 10, 2016",T20I # 476
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,"Jan 10, 2016",T20I # 477
New Zealand,Pakistan,Pakistan,16 runs,Auckland,"Jan 15, 2016",T20I # 478
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,"Jan 15, 2016",T20I # 479
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,"Jan 17, 2016",T20I # 480
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,"Jan 17, 2016",T20I # 481
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,"Jan 20, 2016",T20I # 482
New Zealand,Pakistan,New Zealand,95 runs,Wellington,"Jan 22, 2016",T20I # 483
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,"Jan 22, 2016",T20I # 484
Australia,India,India,37 runs,Adelaide,"Jan 26, 2016",T20I # 485
Australia,India,India,27 runs,Melbourne,"Jan 29, 2016",T20I # 486
Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok,"Jan 30, 2016",T20I # 487
Hong Kong,Scotland,Scotland,37 runs,Mong Kok,"Jan 31, 2016",T20I # 488
Australia,India,India,7 wickets,Sydney,"Jan 31, 2016",T20I # 489
U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai,"Feb 3, 2016",T20I # 490
U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai,"Feb 4, 2016",T20I # 491
Netherlands,Scotland,Scotland,37 runs,ICCA Dubai,"Feb 5, 2016",T20I # 492
Ireland,P.N.G.,Ireland,5 wickets,Townsville,"Feb 6, 2016",T20I # 493
Ireland,P.N.G.,Ireland,7 runs,Townsville,"Feb 7, 2016",T20I # 494
Ireland,P.N.G.,P.N.G.,11 runs,Townsville,"Feb 9, 2016",T20I # 495
India,Sri Lanka,Sri Lanka,5 wickets,Pune,"Feb 9, 2016",T20I # 496
India,Sri Lanka,India,69 runs,Ranchi,"Feb 12, 2016",T20I # 497
U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi,"Feb 14, 2016",T20I # 498
India,Sri Lanka,India,9 wickets,Visakhapatnam,"Feb 14, 2016",T20I # 499
U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi,"Feb 16, 2016",T20I # 500
Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah,"Feb 19, 2016",T20I # 501
Hong Kong,Oman,Oman,5 runs,Fatullah,"Feb 19, 2016",T20I # 502
South Africa,England,South Africa,3 wickets,Cape Town,"Feb 19, 2016",T20I # 503
Afghanistan,Oman,Afghanistan,3 wickets,Fatullah,"Feb 20, 2016",T20I # 504
Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah,"Feb 21, 2016",T20I # 505
South Africa,England,South Africa,9 wickets,Johannesburg,"Feb 21, 2016",T20I # 506
Afghanistan,Hong Kong,Afghanistan,66 runs,Mirpur,"Feb 22, 2016",T20I # 507
Oman,U.A.E.,U.A.E.,71 runs,Mirpur,"Feb 22, 2016",T20I # 508
Bangladesh,India,India,45 runs,Mirpur,"Feb 24, 2016",T20I # 509
Sri Lanka,U.A.E.,Sri Lanka,14 runs,Mirpur,"Feb 25, 2016",T20I # 510
Bangladesh,U.A.E.,Bangladesh,51 runs,Mirpur,"Feb 26, 2016",T20I # 511
India,Pakistan,India,5 wickets,Mirpur,"Feb 27, 2016",T20I # 512
Bangladesh,Sri Lanka,Bangladesh,23 runs,Mirpur,"Feb 28, 2016",T20I # 513
Pakistan,U.A.E.,Pakistan,7 wickets,Mirpur,"Feb 29, 2016",T20I # 514
India,Sri Lanka,India,5 wickets,Mirpur,"Mar 1, 2016",T20I # 515
Bangladesh,Pakistan,Bangladesh,5 wickets,Mirpur,"Mar 2, 2016",T20I # 516
India,U.A.E.,India,9 wickets,Mirpur,"Mar 3, 2016",T20I # 517
Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur,"Mar 4, 2016",T20I # 518
South Africa,Australia,South Africa,3 wickets,Durban,"Mar 4, 2016",T20I # 519
South Africa,Australia,Australia,5 wickets,Johannesburg,"Mar 6, 2016",T20I # 520
Bangladesh,India,India,8 wickets,Mirpur,"Mar 6, 2016",T20I # 521
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,"Mar 8, 2016",T20I # 522
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,"Mar 8, 2016",T20I # 523
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,"Mar 9, 2016",T20I # 524
Ireland,Oman,Oman,2 wickets,Dharamsala,"Mar 9, 2016",T20I # 525
South Africa,Australia,Australia,6 wickets,Cape Town,"Mar 9, 2016",T20I # 526
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,"Mar 10, 2016",T20I # 527
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,"Mar 10, 2016",T20I # 528
Netherlands,Oman,no result,-,Dharamsala,"Mar 11, 2016",T20I # 529
Bangladesh,Ireland,no result,-,Dharamsala,"Mar 11, 2016",T20I # 530
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,"Mar 12, 2016",T20I # 531
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,"Mar 12, 2016",T20I # 532
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,"Mar 13, 2016",T20I # 533
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,"Mar 13, 2016",T20I # 534
India,New Zealand,New Zealand,47 runs,Nagpur,"Mar 15, 2016",T20I # 535
Bangladesh,Pakistan,Pakistan,55 runs,Eden Gardens,"Mar 16, 2016",T20I # 536
England,West Indies,West Indies,6 wickets,Wankhede,"Mar 16, 2016",T20I # 537
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Eden Gardens,"Mar 17, 2016",T20I # 538
Australia,New Zealand,New Zealand,8 runs,Dharamsala,"Mar 18, 2016",T20I # 539
England,South Africa,England,2 wickets,Wankhede,"Mar 18, 2016",T20I # 540
India,Pakistan,India,6 wickets,Eden Gardens,"Mar 19, 2016",T20I # 541
Afghanistan,South Africa,South Africa,37 runs,Wankhede,"Mar 20, 2016",T20I # 542
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,"Mar 20, 2016",T20I # 543
Australia,Bangladesh,Australia,3 wickets,Bengaluru,"Mar 21, 2016",T20I # 544
New Zealand,Pakistan,New Zealand,22 runs,Mohali,"Mar 22, 2016",T20I # 545
Afghanistan,England,England,15 runs,Delhi,"Mar 23, 2016",T20I # 546
India,Bangladesh,India,1 runs,Bengaluru,"Mar 23, 2016",T20I # 547
Australia,Pakistan,Australia,21 runs,Mohali,"Mar 25, 2016",T20I # 548
South Africa,West Indies,West Indies,3 wickets,Nagpur,"Mar 25, 2016",T20I # 549
Bangladesh,New Zealand,New Zealand,75 runs,Eden Gardens,"Mar 26, 2016",T20I # 550
England,Sri Lanka,England,10 runs,Delhi,"Mar 26, 2016",T20I # 551
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,"Mar 27, 2016",T20I # 552
India,Australia,India,6 wickets,Mohali,"Mar 27, 2016",T20I # 553
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,"Mar 28, 2016",T20I # 554
England,New Zealand,England,7 wickets,Delhi,"Mar 30, 2016",T20I # 555
India,West Indies,West Indies,7 wickets,Wankhede,"Mar 31, 2016",T20I # 556
England,West Indies,West Indies,4 wickets,Eden Gardens,"Apr 3, 2016",T20I # 557
Zimbabwe,India,Zimbabwe,2 runs,Harare,"Jun 18, 2016",T20I # 558
Zimbabwe,India,India,10 wickets,Harare,"Jun 20, 2016",T20I # 559
Zimbabwe,India,India,3 runs,Harare,"Jun 22, 2016",T20I # 560
England,Sri Lanka,England,8 wickets,Southampton,"Jul 5, 2016",T20I # 561
India,West Indies,West Indies,1 runs,Lauderhill,"Aug 27, 2016",T20I # 562
India,West Indies,no result,-,Lauderhill,"Aug 28, 2016",T20I # 563
Ireland,Hong Kong,Hong Kong,40 runs,Bready,"Sep 5, 2016",T20I # 564
Sri Lanka,Australia,Australia,85 runs,Pallekele,"Sep 6, 2016",T20I # 565
England,Pakistan,Pakistan,9 wickets,Manchester,"Sep 7, 2016",T20I # 566
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Sep 9, 2016",T20I # 567
Pakistan,West Indies,Pakistan,9 wickets,Dubai (DSC),"Sep 23, 2016",T20I # 568
Pakistan,West Indies,Pakistan,16 runs,Dubai (DSC),"Sep 24, 2016",T20I # 569
Pakistan,West Indies,Pakistan,8 wickets,Abu Dhabi,"Sep 27, 2016",T20I # 570
U.A.E.,Afghanistan,Afghanistan,11 runs,ICCA Dubai,"Dec 14, 2016",T20I # 571
U.A.E.,Afghanistan,Afghanistan,5 wickets,Dubai (DSC),"Dec 16, 2016",T20I # 572
U.A.E.,Afghanistan,Afghanistan,44 runs,ICCA Dubai,"Dec 18, 2016",T20I # 573
