Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
India,Sri Lanka,no result,-,Guwahati,"Jan 5, 2020",T20I # 1025
India,Sri Lanka,India,7 wickets,Indore,"Jan 7, 2020",T20I # 1026
India,Sri Lanka,India,78 runs,Pune,"Jan 10, 2020",T20I # 1027
West Indies,Ireland,Ireland,4 runs,St George's,"Jan 15, 2020",T20I # 1028
West Indies,Ireland,no result,-,Basseterre,"Jan 18, 2020",T20I # 1029
West Indies,Ireland,West Indies,9 wickets,Basseterre,"Jan 19, 2020",T20I # 1030
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",T20I # 1031
Pakistan,Bangladesh,Pakistan,5 wickets,Lahore,"Jan 24, 2020",T20I # 1032
Pakistan,Bangladesh,Pakistan,9 wickets,Lahore,"Jan 25, 2020",T20I # 1033
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",T20I # 1034
New Zealand,India,tied,-,Hamilton,"Jan 29, 2020",T20I # 1035
New Zealand,India,tied,-,Wellington,"Jan 31, 2020",T20I # 1036
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",T20I # 1037
Qatar,Uganda,Qatar,40 runs,Doha,"Feb 12, 2020",T20I # 1038
South Africa,England,South Africa,1 runs,East London,"Feb 12, 2020",T20I # 1039
Qatar,Uganda,Qatar,28 runs,Doha,"Feb 13, 2020",T20I # 1040
South Africa,England,England,2 runs,Durban,"Feb 14, 2020",T20I # 1041
Qatar,Uganda,Uganda,18 runs,Doha,"Feb 15, 2020",T20I # 1042
South Africa,England,England,5 wickets,Centurion,"Feb 16, 2020",T20I # 1043
Malaysia,Hong Kong,Malaysia,21 runs,Kuala Lumpur,"Feb 20, 2020",T20I # 1044
Malaysia,Hong Kong,Malaysia,35 runs,Kuala Lumpur,"Feb 21, 2020",T20I # 1045
South Africa,Australia,Australia,107 runs,Johannesburg,"Feb 21, 2020",T20I # 1046
Iran,U.A.E.,U.A.E.,10 wickets,Al Amerat,"Feb 23, 2020",T20I # 1047
Maldives,Qatar,Qatar,106 runs,Al Amerat,"Feb 23, 2020",T20I # 1048
Kuwait,Saudi Arabia,Kuwait,9 wickets,Al Amerat,"Feb 23, 2020",T20I # 1049
Oman,Bahrain,Oman,8 wickets,Al Amerat,"Feb 23, 2020",T20I # 1050
Malaysia,Hong Kong,Malaysia,8 runs,Kuala Lumpur,"Feb 23, 2020",T20I # 1051
South Africa,Australia,South Africa,12 runs,Gqeberha,"Feb 23, 2020",T20I # 1052
Iran,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Feb 24, 2020",T20I # 1053
Oman,Qatar,Qatar,34 runs,Al Amerat,"Feb 24, 2020",T20I # 1054
Malaysia,Hong Kong,Malaysia,13 runs,Kuala Lumpur,"Feb 24, 2020",T20I # 1055
Bahrain,Maldives,Bahrain,65 runs,Al Amerat,"Feb 24, 2020",T20I # 1056
Kuwait,U.A.E.,U.A.E.,47 runs,Al Amerat,"Feb 24, 2020",T20I # 1057
Oman,Maldives,Oman,10 wickets,Al Amerat,"Feb 25, 2020",T20I # 1058
Saudi Arabia,U.A.E.,U.A.E.,12 runs,Al Amerat,"Feb 25, 2020",T20I # 1059
Bahrain,Qatar,Bahrain,6 wickets,Al Amerat,"Feb 25, 2020",T20I # 1060
Iran,Kuwait,Kuwait,8 wickets,Al Amerat,"Feb 25, 2020",T20I # 1061
