match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Sri Lanka Vs India,India,Jasprit Bumrah,23,5.75,12,1,3,0,1,0,4,0,T20I # 1026
Sri Lanka Vs India,India,Shardul Thakur,18,4.50,13,3,2,0,1,0,4,0,T20I # 1026
Sri Lanka Vs India,India,Navdeep Saini,29,7.25,6,2,2,1,0,0,4,0,T20I # 1026
Sri Lanka Vs India,India,Washington Sundar,38,9.50,6,1,2,2,0,0,45,32,T20I # 1026
Sri Lanka Vs India,India,Kuldeep Yadav,6,0,140.62,2,32,29,2,0,110.34,34,T20I # 1026
Sri Lanka Vs India,Sri Lanka,Lasith Malinga,0,0,2,0,0,15,7.50,2,1,0,T20I # 1026
Sri Lanka Vs India,Sri Lanka,Lahiru Kumara,0,0,4,1,0,26,6.50,6,2,0,T20I # 1026
Sri Lanka Vs India,Sri Lanka,Dhananjaya de Silva,0,0,4,0,0,30,7.50,6,2,1,T20I # 1026
India Vs Sri Lanka,Sri Lanka,Lasith Malinga,0,3,0,0,38,12.66,4,5,1,1,T20I # 1027
India Vs Sri Lanka,Sri Lanka,Angelo Mathews,0,1,0,0,13,13.00,1,1,1,0,T20I # 1027
India Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,0,4,0,0,46,11.50,4,6,1,1,T20I # 1027
India Vs Sri Lanka,Sri Lanka,Lahiru Kumara,0,4,0,1,27,6.75,7,1,1,0,T20I # 1027
India Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,0,4,0,1,35,8.75,5,3,1,0,T20I # 1027
India Vs Sri Lanka,Sri Lanka,Lakshan Sandakan,0,1,2,3,0,0,50.00,9,7,0,T20I # 1027
India Vs Sri Lanka,India,Jasprit Bumrah,0,28,7.30,1,13,5,0,2,0,4,T20I # 1027
India Vs Sri Lanka,India,Shardul Thakur,0,37,9.25,2,8,1,3,0,0,3,T20I # 1027
Ireland Vs West Indies,West Indies,Sheldon Cottrell,0,3,0,2,45,15.00,3,3,3,2,T20I # 1028
Ireland Vs West Indies,West Indies,Khary Pierre,0,3,0,2,48,16.00,2,3,4,1,T20I # 1028
Ireland Vs West Indies,West Indies,Kesrick Williams,1,4,0,0,28,7.00,11,1,2,1,T20I # 1028
Ireland Vs West Indies,West Indies,Dwayne Bravo,0,4,0,2,25,6.25,14,0,2,1,T20I # 1028
Ireland Vs West Indies,West Indies,Hayden Walsh,0,2,0,1,22,11.00,1,2,0,1,T20I # 1028
Ireland Vs West Indies,West Indies,Kieron Pollard,1,22,14,0,3,1,157.14,53,29,6,T20I # 1028
Ireland Vs West Indies,Ireland,Simi Singh,0,4,0,1,29,7.25,13,4,1,0,T20I # 1028
Ireland Vs West Indies,Ireland,Barry McCarthy,0,4,0,0,31,7.75,8,3,1,0,T20I # 1028
Ireland Vs West Indies,Ireland,Josh Little,0,4,0,3,51,12.75,7,0,6,3,T20I # 1028
Ireland Vs West Indies,West Indies,Sheldon Cottrell,0,38,9.50,2,6,3,2,0,0,2,T20I # 1029
Ireland Vs West Indies,West Indies,Romario Shepherd,0,21,10.50,1,3,2,1,0,0,2,T20I # 1029
Ireland Vs West Indies,West Indies,Khary Pierre,0,32,16.00,0,3,1,4,0,0,3,T20I # 1029
Ireland Vs West Indies,West Indies,Hayden Walsh,0,18,6.00,0,4,1,0,1,0,4,T20I # 1029
Ireland Vs West Indies,West Indies,Dwayne Bravo,0,25,6.25,0,8,0,1,0,0,10,T20I # 1029
Ireland Vs West Indies,West Indies,Kieron Pollard,5,1,1,4,200.00,2,3,0,0,66.66,T20I # 1029
Ireland Vs West Indies,Ireland,Paul Stirling,3,0,0,1,0,0,0.1,0,0,0.00,T20I # 1029
Ireland Vs West Indies,West Indies,Sheldon Cottrell,37,9.25,8,0,3,2,1,0,4,0,T20I # 1030
Ireland Vs West Indies,West Indies,Romario Shepherd,17,4.25,13,1,1,0,0,0,3.1,0,T20I # 1030
Ireland Vs West Indies,West Indies,Kieron Pollard,19,6.00,7,3,2,0,0,0,1,0,T20I # 1030
Ireland Vs West Indies,West Indies,Dwayne Bravo,6,6.00,1,3,0,0,0,0,3,0,T20I # 1030
Ireland Vs West Indies,West Indies,Hayden Walsh,21,7.00,6,0,1,1,0,0,91,40,T20I # 1030
Ireland Vs West Indies,West Indies,Sherfane Rutherford,5,10,227.50,1,46,25,4,3,184.00,1,T20I # 1030
Ireland Vs West Indies,Ireland,Paul Stirling,3,3,1,0,0,3,0,41,13.66,5,T20I # 1030
Ireland Vs West Indies,Ireland,Barry McCarthy,2,4,0,0,0,2,0,25,12.50,4,T20I # 1030
Ireland Vs West Indies,Ireland,Simi Singh,2,2,1,1,0,2,0,22,11.00,3,T20I # 1030
Ireland Vs West Indies,Ireland,Josh Little,1,2,0,0,0,1,0,16,16.00,3,T20I # 1030
New Zealand Vs India,India,Jasprit Bumrah,2,0,3,1,0,44,14.66,5,3,4,T20I # 1031
New Zealand Vs India,India,Shardul Thakur,0,0,4,1,0,53,13.25,6,5,3,T20I # 1031
New Zealand Vs India,India,Mohammed Shami,3,0,4,0,0,32,8.00,8,5,0,T20I # 1031
New Zealand Vs India,India,Yuzvendra Chahal,0,0,3,1,0,24,8.00,7,1,2,T20I # 1031
New Zealand Vs India,India,Shivam Dube,0,0,2,1,0,18,9.00,2,1,1,T20I # 1031
New Zealand Vs India,India,Ravindra Jadeja,0,0,7,1,6,0,1,116.66,56,27,T20I # 1031
New Zealand Vs India,New Zealand,Tim Southee,5,4,3,0,2,0,4,0,36,9.00,T20I # 1031
New Zealand Vs India,New Zealand,Mitchell Santner,3,4,0,1,1,0,3,0,34,11.33,T20I # 1031
New Zealand Vs India,New Zealand,Hamish Bennett,4,1,2,0,1,1,4,0,36,9.00,T20I # 1031
Bangladesh Vs Pakistan,Pakistan,Imad Wasim,1,0,4,0,0,23,5.75,11,3,0,T20I # 1032
Bangladesh Vs Pakistan,Pakistan,Shaheen Shah Afridi,0,0,4,1,0,36,9.00,6,4,1,T20I # 1032
Bangladesh Vs Pakistan,Pakistan,Mohammad Hasnain,0,0,4,0,0,32,8.00,6,4,0,T20I # 1032
Bangladesh Vs Pakistan,Pakistan,Haris Rauf,1,0,1,1,0,6,6.00,1,0,0,T20I # 1032
Bangladesh Vs Pakistan,Pakistan,Shoaib Malik,0,0,4,0,0,26,6.50,10,0,2,T20I # 1032
Bangladesh Vs Pakistan,Pakistan,Shadab Khan,2,0,0,1,2,0,0,0.00,36,32,T20I # 1032
Bangladesh Vs Pakistan,Bangladesh,Shafiul Islam,6,0,1,2,0,4,0,18,4.50,11,T20I # 1032
Bangladesh Vs Pakistan,Bangladesh,Mustafizur Rahman,1,0,0,1,0,2.3,0,22,8.80,1,T20I # 1032
Bangladesh Vs Pakistan,Bangladesh,Al-Amin Hossain,2,0,0,1,0,4,0,28,7.00,2,T20I # 1032
Bangladesh Vs Pakistan,Bangladesh,Soumya Sarkar,2,0,0,0,0,1,0,6,6.00,0,T20I # 1032
Bangladesh Vs Pakistan,Pakistan,Imad Wasim,0,4,0,0,22,5.50,8,1,0,1,T20I # 1033
Bangladesh Vs Pakistan,Pakistan,Shaheen Shah Afridi,0,4,0,1,20,5.00,12,2,0,1,T20I # 1033
Bangladesh Vs Pakistan,Pakistan,Mohammad Hasnain,1,4,0,2,27,6.75,11,4,0,1,T20I # 1033
Bangladesh Vs Pakistan,Pakistan,Haris Rauf,0,3,0,1,28,9.33,7,4,1,0,T20I # 1033
Bangladesh Vs Pakistan,Pakistan,Shadab Khan,0,2,0,1,9,4.50,3,0,0,0,T20I # 1033
Bangladesh Vs Pakistan,Pakistan,Shoaib Malik,0,1,0,0,12,12.00,0,0,1,0,T20I # 1033
Bangladesh Vs Pakistan,Pakistan,Iftikhar Ahmed,0,66,44,0,7,1,150.00,0,7,0,T20I # 1033
Bangladesh Vs Pakistan,Bangladesh,Mahedi Hasan,27,9.00,8,0,5,0,1,0,3,0,T20I # 1033
Bangladesh Vs Pakistan,Bangladesh,Shafiul Islam,17,5.66,9,1,2,0,1,0,3,0,T20I # 1033
Bangladesh Vs Pakistan,Bangladesh,Al-Amin Hossain,29,9.66,4,0,2,1,1,0,2,0,T20I # 1033
Bangladesh Vs Pakistan,Bangladesh,Mustafizur Rahman,16,8.00,2,0,2,0,0,0,1,0,T20I # 1033
Bangladesh Vs Pakistan,Bangladesh,Aminul Islam,16,16.00,1,0,2,1,0,0,0.4,0,T20I # 1033
New Zealand Vs India,India,Shardul Thakur,2,0,21,1,10.50,8,2,2,1,0,T20I # 1034
New Zealand Vs India,India,Mohammed Shami,4,0,22,0,5.50,11,2,0,0,0,T20I # 1034
New Zealand Vs India,India,Jasprit Bumrah,4,0,21,1,5.25,9,0,1,0,0,T20I # 1034
New Zealand Vs India,India,Yuzvendra Chahal,4,0,33,0,8.25,5,2,1,0,0,T20I # 1034
