match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs Sri Lanka,Australia,1,David Warner,90,62,5,3,145.16,not_out,T20I # 299
Australia Vs Sri Lanka,Australia,2,Aaron Finch,1,3,0,0,33.33,out,T20I # 299
Australia Vs Sri Lanka,Australia,3,Shaun Marsh,6,17,0,0,35.29,out,T20I # 299
Australia Vs Sri Lanka,Australia,4,George Bailey,11,9,0,1,122.22,out,T20I # 299
Australia Vs Sri Lanka,Australia,5,Adam Voges,25,29,0,0,86.20,not_out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,1,Kusal Perera,33,22,2,1,150.00,out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,2,Tillakaratne Dilshan,16,21,0,1,76.19,out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,3,Mahela Jayawardene,8,10,1,0,80.00,out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,4,Dinesh Chandimal,5,6,0,0,83.33,out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,5,Angelo Mathews,35,27,3,1,129.62,not_out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,6,Lahiru Thirimanne,20,15,2,0,133.33,out,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,7,Thisara Perera,19,12,0,2,158.33,not_out,T20I # 299
Sri Lanka Vs Australia,Sri Lanka,1,Tillakaratne Dilshan,6,10,0,0,60.00,out,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,2,Kusal Perera,15,17,3,0,88.23,out,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,3,Dinesh Chandimal,5,9,1,0,55.55,out,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,4,Mahela Jayawardene,61,45,5,2,135.55,not_out,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,5,Jeevan Mendis,25,24,3,0,104.16,out,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,6,Thisara Perera,35,15,3,2,233.33,not_out,T20I # 300
Sri Lanka Vs Australia,Australia,1,Aaron Finch,7,6,1,0,116.66,out,T20I # 300
Sri Lanka Vs Australia,Australia,2,David Warner,7,6,1,0,116.66,out,T20I # 300
Sri Lanka Vs Australia,Australia,3,Shaun Marsh,47,40,2,2,117.50,not_out,T20I # 300
Sri Lanka Vs Australia,Australia,4,George Bailey,45,36,4,0,125.00,out,T20I # 300
Sri Lanka Vs Australia,Australia,5,Glenn Maxwell,8,3,2,0,266.66,not_out,T20I # 300
England Vs New Zealand,England,1,Michael Lumb,22,15,1,2,146.66,out,T20I # 301
England Vs New Zealand,England,2,Alex Hales,21,16,2,1,131.25,out,T20I # 301
England Vs New Zealand,England,3,Luke Wright,42,20,3,4,210.00,out,T20I # 301
England Vs New Zealand,England,4,Eoin Morgan,46,26,4,3,176.92,out,T20I # 301
England Vs New Zealand,England,5,Jonny Bairstow,38,22,3,2,172.72,out,T20I # 301
England Vs New Zealand,England,6,Jos Buttler,32,16,2,3,200.00,not_out,T20I # 301
England Vs New Zealand,England,7,Samit Patel,2,3,0,0,66.66,out,T20I # 301
England Vs New Zealand,England,8,Stuart Broad,4,3,1,0,133.33,out,T20I # 301
England Vs New Zealand,England,9,James Tredwell,0,0,0,0,-,not_out,T20I # 301
England Vs New Zealand,New Zealand,1,Hamish Rutherford,13,14,1,0,92.85,out,T20I # 301
England Vs New Zealand,New Zealand,2,Martin Guptill,28,19,0,3,147.36,out,T20I # 301
England Vs New Zealand,New Zealand,3,Brendon McCullum,8,5,0,1,160.00,out,T20I # 301
England Vs New Zealand,New Zealand,4,Ross Taylor,3,6,0,0,50.00,out,T20I # 301
England Vs New Zealand,New Zealand,5,Colin Munro,4,5,0,0,80.00,out,T20I # 301
England Vs New Zealand,New Zealand,6,James Franklin,20,11,2,1,181.81,out,T20I # 301
England Vs New Zealand,New Zealand,7,Nathan McCullum,4,6,0,0,66.66,out,T20I # 301
England Vs New Zealand,New Zealand,8,Andrew Ellis,6,7,1,0,85.71,out,T20I # 301
England Vs New Zealand,New Zealand,9,Ronnie Hira,4,0,9.75,1,0,not_out,T20I # 301
England Vs New Zealand,New Zealand,10,Trent Boult,4,0,6.00,0,0,out,T20I # 301
England Vs New Zealand,New Zealand,11,Mitchell McClenaghan,4,0,8.25,0,1,not_out,T20I # 301
New Zealand Vs England,New Zealand,1,Martin Guptill,47,31,4,2,151.61,out,T20I # 302
New Zealand Vs England,New Zealand,2,Hamish Rutherford,40,27,1,3,148.14,out,T20I # 302
New Zealand Vs England,New Zealand,3,Brendon McCullum,74,38,6,5,194.73,out,T20I # 302
New Zealand Vs England,New Zealand,4,Ross Taylor,4,6,0,0,66.66,out,T20I # 302
New Zealand Vs England,New Zealand,5,Colin Munro,7,8,1,0,87.50,out,T20I # 302
New Zealand Vs England,New Zealand,6,Grant Elliott,4,6,0,0,66.66,out,T20I # 302
New Zealand Vs England,New Zealand,7,James Franklin,6,4,1,0,150.00,not_out,T20I # 302
New Zealand Vs England,New Zealand,8,Nathan McCullum,0,0,0,0,-,not_out,T20I # 302
New Zealand Vs England,England,1,Michael Lumb,8,9,2,0,88.88,out,T20I # 302
New Zealand Vs England,England,2,Alex Hales,13,22,2,0,59.09,out,T20I # 302
New Zealand Vs England,England,3,Luke Wright,54,30,9,1,180.00,out,T20I # 302
New Zealand Vs England,England,4,Jonny Bairstow,6,7,1,0,85.71,out,T20I # 302
New Zealand Vs England,England,5,Eoin Morgan,1,3,0,0,33.33,out,T20I # 302
New Zealand Vs England,England,6,Jos Buttler,22,11,3,1,200.00,out,T20I # 302
New Zealand Vs England,England,7,Samit Patel,5,6,0,0,83.33,out,T20I # 302
New Zealand Vs England,England,8,Stuart Broad,0,1,0,0,0.00,out,T20I # 302
New Zealand Vs England,England,9,James Tredwell,4,0,10.00,2,0,out,T20I # 302
New Zealand Vs England,England,10,Steven Finn,4,0,6.00,0,0,not_out,T20I # 302
