match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Australia Vs Sri Lanka,Sri Lanka,Angelo Mathews,4,0,39,0,9.75,9,4,1,1,0,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,Nuwan Kulasekara,4,0,21,1,5.25,8,1,0,0,0,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,Lasith Malinga,4,0,19,0,4.75,7,0,0,0,0,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,Thisara Perera,4,0,29,1,7.25,9,0,2,0,0,T20I # 299
Australia Vs Sri Lanka,Sri Lanka,Ajantha Mendis,4,0,26,0,6.50,5,0,1,0,0,T20I # 299
Australia Vs Sri Lanka,Australia,Xavier Doherty,4,0,21,2,5.25,9,0,0,0,0,T20I # 299
Australia Vs Sri Lanka,Australia,Mitchell Starc,4,0,19,1,4.75,14,0,1,1,0,T20I # 299
Australia Vs Sri Lanka,Australia,Ben Cutting,3,0,27,0,9.00,4,1,1,0,0,T20I # 299
Australia Vs Sri Lanka,Australia,Ben Laughlin,3.5,0,46,0,12.00,6,4,3,0,0,T20I # 299
Australia Vs Sri Lanka,Australia,Glenn Maxwell,3,0,15,2,5.00,7,1,0,0,0,T20I # 299
Australia Vs Sri Lanka,Australia,Aaron Finch,1,0,9,0,9.00,3,2,0,0,0,T20I # 299
Sri Lanka Vs Australia,Australia,Glenn Maxwell,4,0,23,1,5.75,10,0,1,1,0,T20I # 300
Sri Lanka Vs Australia,Australia,Mitchell Starc,4,0,35,0,8.75,10,5,0,4,0,T20I # 300
Sri Lanka Vs Australia,Australia,James Faulkner,4,0,24,1,6.00,10,1,1,0,0,T20I # 300
Sri Lanka Vs Australia,Australia,Ben Laughlin,4,0,40,1,10.00,9,5,2,0,0,T20I # 300
Sri Lanka Vs Australia,Australia,Xavier Doherty,4,0,30,1,7.50,8,4,0,0,0,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,Tillakaratne Dilshan,2,0,10,0,5.00,6,1,0,0,0,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,Nuwan Kulasekara,3,0,18,1,6.00,8,2,0,1,0,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,Ajantha Mendis,3,0,25,1,8.33,6,1,1,0,0,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,Lasith Malinga,3,0,26,0,8.66,4,3,0,0,0,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,Akila Dananjaya,1,0,12,0,12.00,2,1,1,0,0,T20I # 300
Sri Lanka Vs Australia,Sri Lanka,Thisara Perera,3,0,25,1,8.33,5,2,0,0,1,T20I # 300
England Vs New Zealand,New Zealand,Mitchell McClenaghan,4,0,29,1,7.25,0,0,4,0,40,T20I # 301
