match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
India Vs Sri Lanka,India,1,Ishan Kishan,37,29,3,2,127.58,out,T20I # 1984
India Vs Sri Lanka,India,2,Shubman Gill,7,5,1,0,140.00,out,T20I # 1984
India Vs Sri Lanka,India,3,Suryakumar Yadav,7,10,1,0,70.00,out,T20I # 1984
India Vs Sri Lanka,India,4,Sanju Samson,5,6,0,0,83.33,out,T20I # 1984
India Vs Sri Lanka,India,5,Hardik Pandya,29,27,4,0,107.40,out,T20I # 1984
India Vs Sri Lanka,India,6,Deepak Hooda,41,23,1,4,178.26,not_out,T20I # 1984
India Vs Sri Lanka,India,7,Axar Patel,31,20,3,1,155.00,not_out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,1,3,0,0,33.33,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,2,Kusal Mendis,28,25,5,0,112.00,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,8,6,2,0,133.33,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,12,15,1,1,80.00,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,10,11,1,0,90.90,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka,45,27,3,3,166.66,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga,21,10,1,2,210.00,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,23,16,0,2,143.75,not_out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,1,4,0,0,25.00,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha,5,4,0,0,125.00,out,T20I # 1984
India Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,0,0,0,0,-,out,T20I # 1984
Sri Lanka Vs India,Sri Lanka,1,Pathum Nissanka,33,35,4,0,94.28,out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,2,Kusal Mendis,52,31,3,4,167.74,out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,3,Bhanuka Rajapaksa,2,3,0,0,66.66,out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,4,Charith Asalanka,37,19,0,4,194.73,out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,5,Dhananjaya de Silva,3,6,0,0,50.00,out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,6,Dasun Shanaka,56,22,2,6,254.54,not_out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,7,Wanindu Hasaranga,0,1,0,0,0.00,out,T20I # 1985
Sri Lanka Vs India,Sri Lanka,8,Chamika Karunaratne,11,10,1,0,110.00,not_out,T20I # 1985
Sri Lanka Vs India,India,1,Ishan Kishan,2,5,0,0,40.00,out,T20I # 1985
Sri Lanka Vs India,India,2,Shubman Gill,5,3,1,0,166.66,out,T20I # 1985
Sri Lanka Vs India,India,3,Rahul Tripathi,5,5,1,0,100.00,out,T20I # 1985
Sri Lanka Vs India,India,4,Suryakumar Yadav,51,36,3,3,141.66,out,T20I # 1985
Sri Lanka Vs India,India,5,Hardik Pandya,12,12,1,1,100.00,out,T20I # 1985
