Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
India,Sri Lanka,India,2 runs,Wankhede,"Jan 3, 2023",T20I # 1984
India,Sri Lanka,Sri Lanka,16 runs,Pune,"Jan 5, 2023",T20I # 1985
India,Sri Lanka,India,91 runs,Rajkot,"Jan 7, 2023",T20I # 1986
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Jan 12, 2023",T20I # 1987
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Jan 14, 2023",T20I # 1988
Zimbabwe,Ireland,Zimbabwe,4 wickets,Harare,"Jan 15, 2023",T20I # 1989
India,New Zealand,New Zealand,21 runs,Ranchi,"Jan 27, 2023",T20I # 1990
India,New Zealand,India,6 wickets,Lucknow,"Jan 29, 2023",T20I # 1991
India,New Zealand,India,168 runs,Ahmedabad,"Feb 1, 2023",T20I # 1992
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Feb 16, 2023",T20I # 1993
U.A.E.,Afghanistan,U.A.E.,9 wickets,Abu Dhabi,"Feb 18, 2023",T20I # 1994
U.A.E.,Afghanistan,Afghanistan,6 wickets,Abu Dhabi,"Feb 19, 2023",T20I # 1995
Argentina,Bermuda,Bermuda,6 wickets,Buenos Aires,"Feb 21, 2023",T20I # 1996
Argentina,Bermuda,Bermuda,107 runs,Buenos Aires,"Feb 22, 2023",T20I # 1997
Spain,Isle of Man,Spain,81 runs,Cartagena,"Feb 24, 2023",T20I # 1998
Spain,Isle of Man,no result,-,Cartagena,"Feb 24, 2023",T20I # 1999
Spain,Isle of Man,Spain,8 wickets,Cartagena,"Feb 25, 2023",T20I # 2000
Spain,Isle of Man,Spain,6 wickets,Cartagena,"Feb 25, 2023",T20I # 2001
Argentina,Panama,Panama,53 runs,Buenos Aires,"Feb 25, 2023",T20I # 2002
Bermuda,Cayman Is,Bermuda,96 runs,Buenos Aires,"Feb 25, 2023",T20I # 2003
Spain,Isle of Man,Spain,7 wickets,Cartagena,"Feb 26, 2023",T20I # 2004
Spain,Isle of Man,Spain,10 wickets,Cartagena,"Feb 26, 2023",T20I # 2005
Bahamas,Panama,Bahamas,4 wickets,Buenos Aires,"Feb 26, 2023",T20I # 2006
Argentina,Bermuda,Bermuda,110 runs,Buenos Aires,"Feb 26, 2023",T20I # 2007
Bahamas,Cayman Is,Cayman Is,31 runs,Buenos Aires,"Feb 28, 2023",T20I # 2008
Bermuda,Panama,Bermuda,60 runs,Buenos Aires,"Feb 28, 2023",T20I # 2009
Cayman Is,Panama,Cayman Is,12 runs,Buenos Aires,"Mar 2, 2023",T20I # 2010
Argentina,Bahamas,Argentina,43 runs,Buenos Aires,"Mar 2, 2023",T20I # 2011
Bahamas,Bermuda,Bermuda,9 wickets,Buenos Aires,"Mar 4, 2023",T20I # 2012
Argentina,Cayman Is,Cayman Is,3 wickets,Buenos Aires,"Mar 4, 2023",T20I # 2013
Kuwait,Malaysia,Malaysia,3 wickets,Mong Kok,"Mar 8, 2023",T20I # 2014
Hong Kong,Bahrain,Hong Kong,15 runs,Mong Kok,"Mar 8, 2023",T20I # 2015
Bahrain,Malaysia,Malaysia,53 runs,Mong Kok,"Mar 9, 2023",T20I # 2016
Hong Kong,Kuwait,Hong Kong,11 runs,Mong Kok,"Mar 9, 2023",T20I # 2017
Bangladesh,England,Bangladesh,6 wickets,Chattogram,"Mar 9, 2023",T20I # 2018
Bahrain,Kuwait,Bahrain,4 wickets,Mong Kok,"Mar 11, 2023",T20I # 2019
Hong Kong,Malaysia,Hong Kong,4 wickets,Mong Kok,"Mar 11, 2023",T20I # 2020
Bahrain,Kuwait,Kuwait,6 wickets,Mong Kok,"Mar 12, 2023",T20I # 2021
Hong Kong,Malaysia,Hong Kong,39 runs,Mong Kok,"Mar 12, 2023",T20I # 2022
Bangladesh,England,Bangladesh,4 wickets,Mirpur,"Mar 12, 2023",T20I # 2023
Samoa,Vanuatu,Vanuatu,17 runs,Suva,"Mar 13, 2023",T20I # 2024
Fiji,Samoa,Fiji,66 runs,Suva,"Mar 14, 2023",T20I # 2025
Bangladesh,England,Bangladesh,16 runs,Mirpur,"Mar 14, 2023",T20I # 2026
Fiji,Vanuatu,Vanuatu,102 runs,Suva,"Mar 16, 2023",T20I # 2027
Fiji,Vanuatu,Vanuatu,26 runs,Suva,"Mar 17, 2023",T20I # 2028
Fiji,Samoa,Fiji,22 runs,Suva,"Mar 18, 2023",T20I # 2029
Afghanistan,Pakistan,Afghanistan,6 wickets,Sharjah,"Mar 24, 2023",T20I # 2030
South Africa,West Indies,West Indies,3 wickets,Centurion,"Mar 25, 2023",T20I # 2031
South Africa,West Indies,South Africa,6 wickets,Centurion,"Mar 26, 2023",T20I # 2032
Afghanistan,Pakistan,Afghanistan,7 wickets,Sharjah,"Mar 26, 2023",T20I # 2033
Bangladesh,Ireland,Bangladesh,22 runs,Chattogram,"Mar 27, 2023",T20I # 2034
Afghanistan,Pakistan,Pakistan,66 runs,Sharjah,"Mar 27, 2023",T20I # 2035
South Africa,West Indies,West Indies,7 runs,Johannesburg,"Mar 28, 2023",T20I # 2036
Bangladesh,Ireland,Bangladesh,77 runs,Chattogram,"Mar 29, 2023",T20I # 2037
Bangladesh,Ireland,Ireland,7 wickets,Chattogram,"Mar 31, 2023",T20I # 2038
New Zealand,Sri Lanka,tied,-,Auckland,"Apr 2, 2023",T20I # 2039
New Zealand,Sri Lanka,New Zealand,9 wickets,Dunedin,"Apr 5, 2023",T20I # 2040
New Zealand,Sri Lanka,New Zealand,4 wickets,Queenstown,"Apr 8, 2023",T20I # 2041
Portugal,Gibraltar,Portugal,124 runs,Albergaria,"Apr 10, 2023",T20I # 2042
Portugal,Gibraltar,Portugal,5 wickets,Albergaria,"Apr 11, 2023",T20I # 2043
Portugal,Gibraltar,Portugal,5 wickets,Albergaria,"Apr 11, 2023",T20I # 2044
Pakistan,New Zealand,Pakistan,88 runs,Lahore,"Apr 14, 2023",T20I # 2045
Pakistan,New Zealand,Pakistan,38 runs,Lahore,"Apr 15, 2023",T20I # 2046
Pakistan,New Zealand,New Zealand,4 runs,Lahore,"Apr 17, 2023",T20I # 2047
Pakistan,New Zealand,no result,-,Rawalpindi,"Apr 20, 2023",T20I # 2048
Pakistan,New Zealand,New Zealand,6 wickets,Rawalpindi,"Apr 24, 2023",T20I # 2049
Indonesia,Thailand,Indonesia,32 runs,Phnom Penh,"May 1, 2023",T20I # 2050
Indonesia,Malaysia,Malaysia,94 runs,Phnom Penh,"May 2, 2023",T20I # 2051
Philippines,Singapore,Singapore,87 runs,Phnom Penh,"May 3, 2023",T20I # 2052
Malaysia,Thailand,Malaysia,8 wickets,Phnom Penh,"May 4, 2023",T20I # 2053
Cambodia,Singapore,Cambodia,15 runs,Phnom Penh,"May 4, 2023",T20I # 2054
Malta,Portugal,Portugal,84 runs,Gibraltar,"May 4, 2023",T20I # 2055
Gibraltar,Portugal,Portugal,7 wickets,Gibraltar,"May 4, 2023",T20I # 2056
Malta,Portugal,Portugal,17 runs,Gibraltar,"May 5, 2023",T20I # 2057
Gibraltar,Malta,Gibraltar,43 runs,Gibraltar,"May 5, 2023",T20I # 2058
Gibraltar,Malta,Gibraltar,80 runs,Gibraltar,"May 6, 2023",T20I # 2059
Gibraltar,Portugal,Portugal,9 wickets,Gibraltar,"May 6, 2023",T20I # 2060
Malta,Portugal,Portugal,7 wickets,Gibraltar,"May 6, 2023",T20I # 2061
Gibraltar,Portugal,Portugal,1 wickets,Gibraltar,"May 7, 2023",T20I # 2062
Gibraltar,Malta,Malta,1 runs,Gibraltar,"May 7, 2023",T20I # 2063
Cambodia,Philippines,Cambodia,8 runs,Phnom Penh,"May 10, 2023",T20I # 2064
Indonesia,Singapore,Singapore,15 runs,Phnom Penh,"May 11, 2023",T20I # 2065
Cambodia,Malaysia,Cambodia,12 runs,Phnom Penh,"May 11, 2023",T20I # 2066
