match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Australia Vs England,England,Andrew Flintoff,4,0,36,0,9.00,11,3,1,2,0,T20I # 13
Australia Vs England,England,James Anderson,4,0,64,1,16.00,5,4,6,0,0,T20I # 13
Australia Vs England,England,Monty Panesar,4,0,40,2,10.00,7,1,3,0,0,T20I # 13
Australia Vs England,England,Jon Lewis,3,0,31,0,10.33,6,2,2,0,0,T20I # 13
Australia Vs England,England,Jamie Dalrymple,1,0,12,0,12.00,2,1,1,0,0,T20I # 13
Australia Vs England,England,Paul Collingwood,4,0,36,1,9.00,6,3,1,0,0,T20I # 13
Australia Vs England,Australia,Nathan Bracken,3,0,20,1,6.66,8,3,0,1,0,T20I # 13
Australia Vs England,Australia,Shane Harwood,4,0,44,1,11.00,8,7,1,1,0,T20I # 13
Australia Vs England,Australia,Ben Hilfenhaus,4,0,16,2,4.00,13,0,0,1,1,T20I # 13
Australia Vs England,Australia,Andrew Symonds,4,0,24,2,6.00,7,0,0,3,0,T20I # 13
Australia Vs England,Australia,Brad Hogg,3,0,24,0,8.00,5,2,0,0,0,T20I # 13
Australia Vs England,Australia,Cameron White,2,0,11,1,5.50,5,1,0,0,0,T20I # 13
Pakistan Vs South Africa,South Africa,Shaun Pollock,4,0,26,1,6.50,0,0,4,0,25,T20I # 14
Pakistan Vs South Africa,South Africa,Alfonso Thomas,6.25,2,0,3,4,0,22,5.50,2,0,T20I # 14
Pakistan Vs South Africa,South Africa,Roger Telemachus,3,0,23,1,7.66,1,0,4,1,16,T20I # 14
Pakistan Vs South Africa,South Africa,Johan van der Wath,4.00,1,0,1,1,0,5,5.00,1,0,T20I # 14
Pakistan Vs South Africa,South Africa,Albie Morkel,71,40,49,1,9,4,177.50,53,32,49,T20I # 14
Pakistan Vs South Africa,South Africa,Justin Kemp,5,2,165.62,0,3,0,29,9.66,0,1,T20I # 14
Pakistan Vs South Africa,Pakistan,Naved-ul-Hasan,3,0,36,0,12.00,2,0,1.3,0,19,T20I # 14
West Indies Vs England,England,Ryan Sidebottom,4,0,42,1,10.50,10,6,2,0,0,T20I # 15
West Indies Vs England,England,James Anderson,4,0,37,2,9.25,10,7,0,1,0,T20I # 15
West Indies Vs England,England,Stuart Broad,3,0,32,1,10.66,7,2,2,1,0,T20I # 15
West Indies Vs England,England,Michael Yardy,4,0,35,1,8.75,10,3,0,3,0,T20I # 15
West Indies Vs England,England,Dimitri Mascarenhas,4,0,39,2,9.75,7,2,2,0,1,T20I # 15
West Indies Vs England,England,Paul Collingwood,1,0,17,0,17.00,1,0,2,0,0,T20I # 15
West Indies Vs England,West Indies,Daren Powell,3,0,39,0,13.00,5,5,1,2,0,T20I # 15
West Indies Vs England,West Indies,Ravi Rampaul,4,0,26,0,6.50,11,2,0,0,0,T20I # 15
West Indies Vs England,West Indies,Dwayne Smith,4,0,24,3,6.00,9,1,1,0,0,T20I # 15
West Indies Vs England,West Indies,Daren Sammy,4,0,37,2,9.25,5,3,1,0,0,T20I # 15
West Indies Vs England,West Indies,Marlon Samuels,4,0,52,0,13.00,1,3,3,1,0,T20I # 15
West Indies Vs England,West Indies,Dwayne Bravo,1,0,6,0,6.00,1,0,0,0,0,T20I # 15
West Indies Vs England,England,Ryan Sidebottom,4,0,25,2,6.25,12,3,0,0,0,T20I # 16
West Indies Vs England,England,James Anderson,4,0,27,1,6.75,14,4,0,2,0,T20I # 16
