match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan,104,64,6,7,162.50,not_out,T20I # 1120
Pakistan Vs South Africa,Pakistan,2,Babar Azam,0,1,0,0,0.00,out,T20I # 1120
Pakistan Vs South Africa,Pakistan,3,Haider Ali,21,16,0,3,131.25,out,T20I # 1120
Pakistan Vs South Africa,Pakistan,4,Hussain Talat,15,11,2,0,136.36,out,T20I # 1120
Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed,4,8,0,0,50.00,out,T20I # 1120
Pakistan Vs South Africa,Pakistan,6,Khushdil Shah,12,12,0,1,100.00,out,T20I # 1120
Pakistan Vs South Africa,Pakistan,7,Faheem Ashraf,4,5,0,0,80.00,out,T20I # 1120
Pakistan Vs South Africa,Pakistan,8,Mohammad Nawaz,3,3,0,0,100.00,not_out,T20I # 1120
Pakistan Vs South Africa,South Africa,1,Janneman Malan,44,29,8,1,151.72,out,T20I # 1120
Pakistan Vs South Africa,South Africa,2,Reeza Hendricks,54,42,8,0,128.57,out,T20I # 1120
Pakistan Vs South Africa,South Africa,3,Jacques Snyman,2,6,0,0,33.33,out,T20I # 1120
Pakistan Vs South Africa,South Africa,4,David Miller,6,10,0,0,60.00,out,T20I # 1120
Pakistan Vs South Africa,South Africa,5,Heinrich Klaasen,12,10,2,0,120.00,out,T20I # 1120
Pakistan Vs South Africa,South Africa,6,Andile Phehlukwayo,14,8,1,1,175.00,out,T20I # 1120
Pakistan Vs South Africa,South Africa,7,Dwaine Pretorius,15,6,1,1,250.00,not_out,T20I # 1120
Pakistan Vs South Africa,South Africa,8,Bjorn Fortuin,17,9,3,0,188.88,not_out,T20I # 1120
Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan,51,41,6,1,124.39,out,T20I # 1121
Pakistan Vs South Africa,Pakistan,2,Babar Azam,5,4,1,0,125.00,out,T20I # 1121
Pakistan Vs South Africa,Pakistan,3,Haider Ali,10,11,2,0,90.90,out,T20I # 1121
Pakistan Vs South Africa,Pakistan,4,Hussain Talat,3,7,0,0,42.85,out,T20I # 1121
Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed,20,21,2,0,95.23,out,T20I # 1121
Pakistan Vs South Africa,Pakistan,6,Khushdil Shah,15,18,2,0,83.33,out,T20I # 1121
Pakistan Vs South Africa,Pakistan,7,Faheem Ashraf,30,12,2,2,250.00,not_out,T20I # 1121
