match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Pakistan Vs South Africa,South Africa,Bjorn Fortuin,3,0,25,1,8.33,8,1,2,0,0,T20I # 1120
Pakistan Vs South Africa,South Africa,Dwaine Pretorius,2,0,13,0,6.50,4,0,1,0,0,T20I # 1120
Pakistan Vs South Africa,South Africa,Andile Phehlukwayo,4,0,33,2,8.25,10,2,2,0,0,T20I # 1120
Pakistan Vs South Africa,South Africa,Lutho Sipamla,4,0,37,1,9.25,5,1,3,0,0,T20I # 1120
Pakistan Vs South Africa,South Africa,Jacques Snyman,1,0,12,0,12.00,0,2,0,0,0,T20I # 1120
Pakistan Vs South Africa,South Africa,Junior Dala,2,0,25,0,12.50,4,0,3,1,0,T20I # 1120
Pakistan Vs South Africa,South Africa,Tabraiz Shamsi,4,0,20,1,5.00,11,2,0,1,0,T20I # 1120
Pakistan Vs South Africa,Pakistan,Mohammad Nawaz,4,0,21,0,5.25,10,2,0,1,0,T20I # 1120
Pakistan Vs South Africa,Pakistan,Haris Rauf,4,0,44,2,11.00,6,8,0,1,0,T20I # 1120
Pakistan Vs South Africa,Pakistan,Shaheen Shah Afridi,4,0,37,0,9.25,13,5,2,0,0,T20I # 1120
Pakistan Vs South Africa,Pakistan,Usman Qadir,4,0,21,2,5.25,12,3,0,0,0,T20I # 1120
Pakistan Vs South Africa,Pakistan,Khushdil Shah,1,0,6,0,6.00,3,1,0,0,0,T20I # 1120
Pakistan Vs South Africa,Pakistan,Faheem Ashraf,3,0,37,1,12.33,1,4,1,0,0,T20I # 1120
Pakistan Vs South Africa,South Africa,JJ Smuts,4,0,20,0,5.00,10,2,0,0,0,T20I # 1121
Pakistan Vs South Africa,South Africa,Dwaine Pretorius,4,0,17,5,4.25,10,1,0,0,0,T20I # 1121
Pakistan Vs South Africa,South Africa,Glenton Stuurman,2,0,28,0,14.00,4,4,1,2,0,T20I # 1121
Pakistan Vs South Africa,South Africa,Lutho Sipamla,3,0,29,0,9.66,7,6,0,0,0,T20I # 1121
Pakistan Vs South Africa,South Africa,Andile Phehlukwayo,3,0,31,1,10.33,5,2,2,0,0,T20I # 1121
Pakistan Vs South Africa,South Africa,Tabraiz Shamsi,4,0,16,1,4.00,10,0,0,1,0,T20I # 1121
Pakistan Vs South Africa,Pakistan,Shaheen Shah Afridi,3,1,18,2,6.00,12,3,0,0,1,T20I # 1121
Pakistan Vs South Africa,Pakistan,Haris Rauf,2,0,26,0,13.00,2,3,0,1,0,T20I # 1121
Pakistan Vs South Africa,Pakistan,Mohammad Nawaz,4,0,27,1,6.75,9,2,1,0,0,T20I # 1121
Pakistan Vs South Africa,Pakistan,Faheem Ashraf,2,0,17,0,8.50,6,2,1,0,0,T20I # 1121
Pakistan Vs South Africa,Pakistan,Usman Qadir,4,0,43,1,10.75,9,2,3,1,1,T20I # 1121
Pakistan Vs South Africa,Pakistan,Iftikhar Ahmed,1.2,0,14,0,10.50,2,1,1,0,0,T20I # 1121
South Africa Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,28,0,7.00,10,4,0,0,0,T20I # 1122
South Africa Vs Pakistan,Pakistan,Mohammad Nawaz,2,0,13,2,6.50,7,1,1,0,0,T20I # 1122
South Africa Vs Pakistan,Pakistan,Faheem Ashraf,3,0,38,0,12.66,7,2,4,1,0,T20I # 1122
South Africa Vs Pakistan,Pakistan,Hasan Ali,4,0,29,2,7.25,11,3,1,0,0,T20I # 1122
South Africa Vs Pakistan,Pakistan,Zahid Mahmood,4,0,40,3,10.00,8,2,3,1,0,T20I # 1122
South Africa Vs Pakistan,Pakistan,Usman Qadir,3,0,12,1,4.00,12,2,0,0,0,T20I # 1122
South Africa Vs Pakistan,South Africa,Bjorn Fortuin,4,0,30,1,7.50,8,2,1,1,0,T20I # 1122
South Africa Vs Pakistan,South Africa,Dwaine Pretorius,3,0,33,1,11.00,6,6,0,1,0,T20I # 1122
South Africa Vs Pakistan,South Africa,JJ Smuts,3,0,20,0,6.66,6,1,1,0,0,T20I # 1122
South Africa Vs Pakistan,South Africa,Andile Phehlukwayo,2.4,0,37,0,13.87,7,1,4,2,1,T20I # 1122
South Africa Vs Pakistan,South Africa,Lutho Sipamla,2,0,23,0,11.50,3,3,1,0,0,T20I # 1122
South Africa Vs Pakistan,South Africa,Tabraiz Shamsi,4,0,25,4,6.25,11,1,1,2,0,T20I # 1122
New Zealand Vs Australia,Australia,Daniel Sams,4,0,40,2,10.00,10,5,1,1,0,T20I # 1123
New Zealand Vs Australia,Australia,Adam Zampa,3,0,20,0,6.66,8,0,2,0,0,T20I # 1123
New Zealand Vs Australia,Australia,Jhye Richardson,4,0,31,2,7.75,10,1,2,1,0,T20I # 1123
New Zealand Vs Australia,Australia,Kane Richardson,4,0,42,0,10.50,6,6,1,0,0,T20I # 1123
New Zealand Vs Australia,Australia,Ashton Agar,2,0,20,0,10.00,3,3,0,0,0,T20I # 1123
New Zealand Vs Australia,Australia,Marcus Stoinis,2,0,17,1,8.50,2,1,0,0,0,T20I # 1123
New Zealand Vs Australia,Australia,Glenn Maxwell,1,0,9,0,9.00,1,0,0,2,0,T20I # 1123
New Zealand Vs Australia,New Zealand,Tim Southee,3,0,10,2,3.33,12,1,0,1,0,T20I # 1123
New Zealand Vs Australia,New Zealand,Trent Boult,3,0,22,2,7.33,10,1,1,2,0,T20I # 1123
New Zealand Vs Australia,New Zealand,Kyle Jamieson,3,0,32,1,10.66,6,3,2,1,0,T20I # 1123
New Zealand Vs Australia,New Zealand,James Neesham,1,0,9,0,9.00,1,1,0,0,0,T20I # 1123
New Zealand Vs Australia,New Zealand,Ish Sodhi,4,0,28,4,7.00,13,3,1,0,1,T20I # 1123
New Zealand Vs Australia,New Zealand,Mitchell Santner,3.3,0,29,1,8.28,5,1,1,2,0,T20I # 1123
New Zealand Vs Australia,Australia,Daniel Sams,4,0,46,1,11.50,7,2,4,1,0,T20I # 1124
New Zealand Vs Australia,Australia,Ashton Agar,3,0,30,0,10.00,5,2,2,0,0,T20I # 1124
New Zealand Vs Australia,Australia,Jhye Richardson,4,0,39,1,9.75,8,4,2,1,0,T20I # 1124
New Zealand Vs Australia,Australia,Kane Richardson,4,0,43,3,10.75,10,2,4,1,0,T20I # 1124
New Zealand Vs Australia,Australia,Adam Zampa,4,0,43,1,10.75,5,0,4,1,0,T20I # 1124
New Zealand Vs Australia,Australia,Marcus Stoinis,1,0,17,0,17.00,0,0,2,0,0,T20I # 1124
New Zealand Vs Australia,New Zealand,Tim Southee,4,0,47,1,11.75,8,3,4,1,0,T20I # 1124
New Zealand Vs Australia,New Zealand,Trent Boult,4,0,30,0,7.50,6,3,0,2,0,T20I # 1124
New Zealand Vs Australia,New Zealand,Kyle Jamieson,4,0,56,0,14.00,6,4,4,1,1,T20I # 1124
New Zealand Vs Australia,New Zealand,Mitchell Santner,4,0,31,4,7.75,6,2,1,1,0,T20I # 1124
New Zealand Vs Australia,New Zealand,Ish Sodhi,3,0,41,1,13.66,5,3,3,2,0,T20I # 1124
New Zealand Vs Australia,New Zealand,James Neesham,1,0,10,2,10.00,4,1,1,0,0,T20I # 1124
Australia Vs New Zealand,New Zealand,Tim Southee,4,0,37,1,9.25,12,4,2,2,0,T20I # 1125
Australia Vs New Zealand,New Zealand,Trent Boult,4,0,39,1,9.75,9,5,1,0,0,T20I # 1125
Australia Vs New Zealand,New Zealand,James Neesham,4,0,60,0,15.00,8,8,3,0,1,T20I # 1125
Australia Vs New Zealand,New Zealand,Kyle Jamieson,4,0,38,0,9.50,4,4,0,0,0,T20I # 1125
Australia Vs New Zealand,New Zealand,Ish Sodhi,4,0,32,2,8.00,7,0,2,0,1,T20I # 1125
Australia Vs New Zealand,Australia,Jhye Richardson,3,0,34,0,11.33,6,3,2,0,0,T20I # 1125
