Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
Pakistan,South Africa,Pakistan,3 runs,Lahore,"Feb 11, 2021",T20I # 1120
Pakistan,South Africa,South Africa,6 wickets,Lahore,"Feb 13, 2021",T20I # 1121
Pakistan,South Africa,Pakistan,4 wickets,Lahore,"Feb 14, 2021",T20I # 1122
New Zealand,Australia,New Zealand,53 runs,Christchurch,"Feb 22, 2021",T20I # 1123
New Zealand,Australia,New Zealand,4 runs,Dunedin,"Feb 25, 2021",T20I # 1124
New Zealand,Australia,Australia,64 runs,Wellington,"Mar 3, 2021",T20I # 1125
West Indies,Sri Lanka,West Indies,4 wickets,Coolidge,"Mar 3, 2021",T20I # 1126
New Zealand,Australia,Australia,50 runs,Wellington,"Mar 5, 2021",T20I # 1127
West Indies,Sri Lanka,Sri Lanka,43 runs,Coolidge,"Mar 5, 2021",T20I # 1128
New Zealand,Australia,New Zealand,7 wickets,Wellington,"Mar 7, 2021",T20I # 1129
West Indies,Sri Lanka,West Indies,3 wickets,Coolidge,"Mar 7, 2021",T20I # 1130
India,England,England,8 wickets,Ahmedabad,"Mar 12, 2021",T20I # 1131
India,England,India,7 wickets,Ahmedabad,"Mar 14, 2021",T20I # 1132
India,England,England,8 wickets,Ahmedabad,"Mar 16, 2021",T20I # 1133
Afghanistan,Zimbabwe,Afghanistan,48 runs,Abu Dhabi,"Mar 17, 2021",T20I # 1134
India,England,India,8 runs,Ahmedabad,"Mar 18, 2021",T20I # 1135
Afghanistan,Zimbabwe,Afghanistan,45 runs,Abu Dhabi,"Mar 19, 2021",T20I # 1136
Afghanistan,Zimbabwe,Afghanistan,47 runs,Abu Dhabi,"Mar 20, 2021",T20I # 1137
India,England,India,36 runs,Ahmedabad,"Mar 20, 2021",T20I # 1138
New Zealand,Bangladesh,New Zealand,66 runs,Hamilton,"Mar 28, 2021",T20I # 1139
New Zealand,Bangladesh,New Zealand,28 runs,Napier,"Mar 30, 2021",T20I # 1140
New Zealand,Bangladesh,New Zealand,65 runs,Auckland,"Apr 1, 2021",T20I # 1141
Namibia,Uganda,Namibia,7 wickets,Windhoek,"Apr 3, 2021",T20I # 1142
Namibia,Uganda,Namibia,20 runs,Windhoek,"Apr 5, 2021",T20I # 1143
Namibia,Uganda,Namibia,65 runs,Windhoek,"Apr 5, 2021",T20I # 1144
South Africa,Pakistan,Pakistan,4 wickets,Johannesburg,"Apr 10, 2021",T20I # 1145
South Africa,Pakistan,South Africa,6 wickets,Johannesburg,"Apr 12, 2021",T20I # 1146
South Africa,Pakistan,Pakistan,9 wickets,Centurion,"Apr 14, 2021",T20I # 1147
South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 16, 2021",T20I # 1148
Nepal,Netherlands,Nepal,9 wickets,Kirtipur,"Apr 17, 2021",T20I # 1149
Malaysia,Netherlands,Netherlands,15 runs,Kirtipur,"Apr 18, 2021",T20I # 1150
Nepal,Malaysia,Nepal,9 wickets,Kirtipur,"Apr 19, 2021",T20I # 1151
Nepal,Netherlands,Netherlands,3 wickets,Kirtipur,"Apr 20, 2021",T20I # 1152
Malaysia,Netherlands,tied,-,Kirtipur,"Apr 21, 2021",T20I # 1153
Zimbabwe,Pakistan,Pakistan,11 runs,Harare,"Apr 21, 2021",T20I # 1154
Nepal,Malaysia,Nepal,69 runs,Kirtipur,"Apr 22, 2021",T20I # 1155
Zimbabwe,Pakistan,Zimbabwe,19 runs,Harare,"Apr 23, 2021",T20I # 1156
Nepal,Netherlands,Nepal,142 runs,Kirtipur,"Apr 24, 2021",T20I # 1157
Zimbabwe,Pakistan,Pakistan,24 runs,Harare,"Apr 25, 2021",T20I # 1158
Czech Rep.,Luxembourg,Czech Rep.,9 wickets,Vinor,"May 21, 2021",T20I # 1159
Austria,Luxembourg,Austria,5 runs,Vinor,"May 21, 2021",T20I # 1160
Czech Rep.,Austria,Austria,78 runs,Vinor,"May 22, 2021",T20I # 1161
Czech Rep.,Luxembourg,Luxembourg,6 wickets,Vinor,"May 22, 2021",T20I # 1162
Austria,Luxembourg,Luxembourg,5 wickets,Vinor,"May 23, 2021",T20I # 1163
Czech Rep.,Austria,Austria,4 wickets,Vinor,"May 23, 2021",T20I # 1164
England,Sri Lanka,England,8 wickets,Cardiff,"Jun 23, 2021",T20I # 1165
Bulgaria,Serbia,Bulgaria,61 runs,Sofia,"Jun 24, 2021",T20I # 1166
Greece,Romania,Romania,3 wickets,Sofia,"Jun 24, 2021",T20I # 1167
England,Sri Lanka,England,5 wickets,Cardiff,"Jun 24, 2021",T20I # 1168
Greece,Serbia,Greece,5 wickets,Sofia,"Jun 25, 2021",T20I # 1169
Bulgaria,Romania,Romania,7 wickets,Sofia,"Jun 25, 2021",T20I # 1170
Romania,Serbia,Romania,91 runs,Sofia,"Jun 25, 2021",T20I # 1171
Bulgaria,Greece,Bulgaria,64 runs,Sofia,"Jun 26, 2021",T20I # 1172
Romania,Serbia,Romania,10 wickets,Sofia,"Jun 26, 2021",T20I # 1173
England,Sri Lanka,England,89 runs,Southampton,"Jun 26, 2021",T20I # 1174
Bulgaria,Greece,no result,-,Sofia,"Jun 26, 2021",T20I # 1175
West Indies,South Africa,West Indies,8 wickets,St George's,"Jun 26, 2021",T20I # 1176
Bulgaria,Romania,Romania,7 wickets,Sofia,"Jun 27, 2021",T20I # 1177
West Indies,South Africa,South Africa,16 runs,St George's,"Jun 27, 2021",T20I # 1178
West Indies,South Africa,South Africa,1 runs,St George's,"Jun 29, 2021",T20I # 1179
West Indies,South Africa,West Indies,21 runs,St George's,"Jul 1, 2021",T20I # 1180
West Indies,South Africa,South Africa,25 runs,St George's,"Jul 3, 2021",T20I # 1181
Malta,Belgium,Malta,6 wickets,Marsa,"Jul 8, 2021",T20I # 1182
Malta,Belgium,Belgium,10 wickets,Marsa,"Jul 8, 2021",T20I # 1183
Malta,Belgium,Belgium,4 wickets,Marsa,"Jul 9, 2021",T20I # 1184
West Indies,Australia,West Indies,18 runs,Gros Islet,"Jul 9, 2021",T20I # 1185
Malta,Belgium,Malta,-,Marsa,"Jul 10, 2021",T20I # 1186
Malta,Belgium,Belgium,39 runs,Marsa,"Jul 10, 2021",T20I # 1187
West Indies,Australia,West Indies,56 runs,Gros Islet,"Jul 10, 2021",T20I # 1188
West Indies,Australia,West Indies,6 wickets,Gros Islet,"Jul 12, 2021",T20I # 1189
West Indies,Australia,Australia,4 runs,Gros Islet,"Jul 14, 2021",T20I # 1190
England,Pakistan,Pakistan,31 runs,Nottingham,"Jul 16, 2021",T20I # 1191
West Indies,Australia,West Indies,16 runs,Gros Islet,"Jul 16, 2021",T20I # 1192
England,Pakistan,England,45 runs,Leeds,"Jul 18, 2021",T20I # 1193
Ireland,South Africa,South Africa,33 runs,Dublin (Malahide),"Jul 19, 2021",T20I # 1194
England,Pakistan,England,3 wickets,Manchester,"Jul 20, 2021",T20I # 1195
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Jul 22, 2021",T20I # 1196
Ireland,South Africa,South Africa,42 runs,Belfast,"Jul 22, 2021",T20I # 1197
Zimbabwe,Bangladesh,Zimbabwe,23 runs,Harare,"Jul 23, 2021",T20I # 1198
Belgium,Austria,Belgium,7 wickets,Waterloo,"Jul 24, 2021",T20I # 1199
Belgium,Austria,Belgium,12 runs,Waterloo,"Jul 24, 2021",T20I # 1200
Ireland,South Africa,South Africa,49 runs,Belfast,"Jul 24, 2021",T20I # 1201
Belgium,Austria,Austria,6 wickets,Waterloo,"Jul 25, 2021",T20I # 1202
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 25, 2021",T20I # 1203
Sri Lanka,India,India,38 runs,Colombo (RPS),"Jul 25, 2021",T20I # 1204
West Indies,Pakistan,no result,-,Bridgetown,"Jul 28, 2021",T20I # 1205
Sri Lanka,India,Sri Lanka,4 wickets,Colombo (RPS),"Jul 28, 2021",T20I # 1206
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Jul 29, 2021",T20I # 1207
West Indies,Pakistan,Pakistan,7 runs,Providence,"Jul 31, 2021",T20I # 1208
West Indies,Pakistan,no result,-,Providence,"Aug 1, 2021",T20I # 1209
Bangladesh,Australia,Bangladesh,23 runs,Mirpur,"Aug 3, 2021",T20I # 1210
West Indies,Pakistan,no result,-,Providence,"Aug 3, 2021",T20I # 1211
Bangladesh,Australia,Bangladesh,5 wickets,Mirpur,"Aug 4, 2021",T20I # 1212
Germany,Norway,Germany,5 wickets,Krefeld,"Aug 5, 2021",T20I # 1213
France,Norway,France,4 wickets,Krefeld,"Aug 5, 2021",T20I # 1214
Germany,France,Germany,2 wickets,Krefeld,"Aug 6, 2021",T20I # 1215
Bangladesh,Australia,Bangladesh,10 runs,Mirpur,"Aug 6, 2021",T20I # 1216
Germany,France,Germany,48 runs,Krefeld,"Aug 7, 2021",T20I # 1217
Bangladesh,Australia,Australia,3 wickets,Mirpur,"Aug 7, 2021",T20I # 1218
France,Norway,Norway,3 runs,Krefeld,"Aug 7, 2021",T20I # 1219
Germany,Norway,Norway,51 runs,Krefeld,"Aug 8, 2021",T20I # 1220
Germany,Norway,Germany,6 wickets,Krefeld,"Aug 8, 2021",T20I # 1221
Bangladesh,Australia,Bangladesh,60 runs,Mirpur,"Aug 9, 2021",T20I # 1222
Denmark,Sweden,Denmark,8 runs,Brondby,"Aug 14, 2021",T20I # 1223
Denmark,Sweden,Sweden,3 wickets,Brondby,"Aug 14, 2021",T20I # 1224
Denmark,Sweden,Denmark,6 wickets,Brondby,"Aug 15, 2021",T20I # 1225
Rwanda,Ghana,Rwanda,1 wickets,Rwanda,"Aug 18, 2021",T20I # 1226
Rwanda,Ghana,Ghana,2 wickets,Rwanda,"Aug 18, 2021",T20I # 1227
Portugal,Malta,Portugal,6 wickets,Albergaria,"Aug 19, 2021",T20I # 1228
Rwanda,Ghana,Rwanda,57 runs,Rwanda,"Aug 20, 2021",T20I # 1229
Gibraltar,Malta,Malta,8 wickets,Albergaria,"Aug 20, 2021",T20I # 1230
Rwanda,Ghana,Ghana,-,Rwanda,"Aug 20, 2021",T20I # 1231
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1232
Portugal,Gibraltar,Portugal,96 runs,Albergaria,"Aug 21, 2021",T20I # 1233
Rwanda,Ghana,Ghana,7 wickets,Rwanda,"Aug 21, 2021",T20I # 1234
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1235
Gibraltar,Malta,Malta,4 runs,Albergaria,"Aug 21, 2021",T20I # 1236
Finland,Sweden,Sweden,3 wickets,Kerava,"Aug 22, 2021",T20I # 1237
Portugal,Gibraltar,Portugal,110 runs,Albergaria,"Aug 22, 2021",T20I # 1238
Finland,Sweden,Sweden,6 wickets,Kerava,"Aug 22, 2021",T20I # 1239
Portugal,Malta,Portugal,3 wickets,Albergaria,"Aug 22, 2021",T20I # 1240
Ireland,Zimbabwe,Zimbabwe,3 runs,Dublin,"Aug 27, 2021",T20I # 1241
Ireland,Zimbabwe,Ireland,7 wickets,Dublin,"Aug 29, 2021",T20I # 1242
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,"Sep 1, 2021",T20I # 1243
Ireland,Zimbabwe,Ireland,40 runs,Bready,"Sep 1, 2021",T20I # 1244
Bulgaria,Luxembourg,Luxembourg,62 runs,Ilfov County,"Sep 2, 2021",T20I # 1245
Czech Rep.,Hungary,Hungary,5 runs,Ilfov County,"Sep 2, 2021",T20I # 1246
Luxembourg,Malta,Luxembourg,4 wickets,Ilfov County,"Sep 2, 2021",T20I # 1247
Ireland,Zimbabwe,Ireland,64 runs,Bready,"Sep 2, 2021",T20I # 1248
Romania,Czech Rep.,Romania,35 runs,Ilfov County,"Sep 3, 2021",T20I # 1249
Bulgaria,Malta,Malta,7 wickets,Ilfov County,"Sep 3, 2021",T20I # 1250
Bangladesh,New Zealand,Bangladesh,4 runs,Mirpur,"Sep 3, 2021",T20I # 1251
Romania,Hungary,Romania,8 runs,Ilfov County,"Sep 3, 2021",T20I # 1252
Bulgaria,Czech Rep.,Czech Rep.,7 wickets,Ilfov County,"Sep 4, 2021",T20I # 1253
Hungary,Luxembourg,Luxembourg,2 runs,Ilfov County,"Sep 4, 2021",T20I # 1254
Romania,Malta,Romania,36 runs,Ilfov County,"Sep 4, 2021",T20I # 1255
Ireland,Zimbabwe,Zimbabwe,5 runs,Bready,"Sep 4, 2021",T20I # 1256
Romania,Luxembourg,Romania,33 runs,Ilfov County,"Sep 5, 2021",T20I # 1257
Bangladesh,New Zealand,New Zealand,52 runs,Mirpur,"Sep 5, 2021",T20I # 1258
Hungary,Malta,Hungary,8 wickets,Ilfov County,"Sep 5, 2021",T20I # 1259
Bangladesh,New Zealand,Bangladesh,6 wickets,Mirpur,"Sep 8, 2021",T20I # 1260
Uganda,Kenya,no result,-,Entebbe,"Sep 10, 2021",T20I # 1261
Spain,Germany,Germany,7 wickets,Almeria,"Sep 10, 2021",T20I # 1262
Bangladesh,New Zealand,New Zealand,27 runs,Mirpur,"Sep 10, 2021",T20I # 1263
Uganda,Kenya,Kenya,22 runs,Entebbe,"Sep 10, 2021",T20I # 1264
Sri Lanka,South Africa,South Africa,28 runs,Colombo (RPS),"Sep 10, 2021",T20I # 1265
Kenya,Nigeria,Kenya,8 wickets,Entebbe,"Sep 11, 2021",T20I # 1266
Spain,Germany,Spain,5 wickets,Almeria,"Sep 11, 2021",T20I # 1267
Uganda,Nigeria,Uganda,56 runs,Entebbe,"Sep 11, 2021",T20I # 1268
Spain,Germany,Spain,1 wickets,Almeria,"Sep 11, 2021",T20I # 1269
Sri Lanka,South Africa,South Africa,9 wickets,Colombo (RPS),"Sep 12, 2021",T20I # 1270
Uganda,Nigeria,Uganda,8 wickets,Entebbe,"Sep 13, 2021",T20I # 1271
Kenya,Nigeria,Kenya,61 runs,Entebbe,"Sep 13, 2021",T20I # 1272
Sri Lanka,South Africa,South Africa,10 wickets,Colombo (RPS),"Sep 14, 2021",T20I # 1273
