match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
South Africa Vs West Indies,South Africa,1,Reeza Hendricks,12,12,1,0,100.00,out,T20I # 413
South Africa Vs West Indies,South Africa,2,Morne van Wyk,17,15,2,1,113.33,out,T20I # 413
South Africa Vs West Indies,South Africa,3,Faf du Plessis,38,20,5,2,190.00,out,T20I # 413
South Africa Vs West Indies,South Africa,4,Rilee Rossouw,51,40,5,0,127.50,not_out,T20I # 413
South Africa Vs West Indies,South Africa,5,David Miller,24,21,1,0,114.28,out,T20I # 413
South Africa Vs West Indies,South Africa,6,Farhaan Behardien,18,12,0,1,150.00,not_out,T20I # 413
South Africa Vs West Indies,West Indies,1,Dwayne Smith,20,20,3,0,100.00,out,T20I # 413
South Africa Vs West Indies,West Indies,2,Chris Gayle,77,31,5,8,248.38,out,T20I # 413
South Africa Vs West Indies,West Indies,3,Marlon Samuels,41,32,5,1,128.12,out,T20I # 413
South Africa Vs West Indies,West Indies,4,Dwayne Bravo,8,13,0,0,61.53,out,T20I # 413
South Africa Vs West Indies,West Indies,5,Kieron Pollard,8,9,1,0,88.88,not_out,T20I # 413
South Africa Vs West Indies,West Indies,6,Andre Russell,6,6,1,0,100.00,out,T20I # 413
South Africa Vs West Indies,West Indies,7,Denesh Ramdin,2,5,0,0,40.00,out,T20I # 413
South Africa Vs West Indies,West Indies,8,Daren Sammy,0,0,0,0,-,not_out,T20I # 413
South Africa Vs West Indies,South Africa,1,Rilee Rossouw,15,9,0,2,166.66,out,T20I # 414
South Africa Vs West Indies,South Africa,2,Morne van Wyk,4,3,1,0,133.33,out,T20I # 414
South Africa Vs West Indies,South Africa,3,Faf du Plessis,119,56,11,5,212.50,out,T20I # 414
South Africa Vs West Indies,South Africa,4,David Miller,47,26,4,3,180.76,out,T20I # 414
South Africa Vs West Indies,South Africa,5,Justin Ontong,19,12,2,1,158.33,out,T20I # 414
South Africa Vs West Indies,South Africa,6,Farhaan Behardien,8,12,0,0,66.66,not_out,T20I # 414
South Africa Vs West Indies,South Africa,7,David Wiese,6,2,0,1,300.00,out,T20I # 414
South Africa Vs West Indies,South Africa,8,Kyle Abbott,2,2,0,0,100.00,out,T20I # 414
South Africa Vs West Indies,West Indies,1,Dwayne Smith,17,9,4,0,188.88,out,T20I # 414
South Africa Vs West Indies,West Indies,2,Chris Gayle,90,41,9,7,219.51,out,T20I # 414
South Africa Vs West Indies,West Indies,3,Marlon Samuels,60,39,7,2,153.84,out,T20I # 414
South Africa Vs West Indies,West Indies,4,Kieron Pollard,7,5,1,0,140.00,out,T20I # 414
South Africa Vs West Indies,West Indies,5,Andre Russell,14,6,1,1,233.33,out,T20I # 414
South Africa Vs West Indies,West Indies,6,Dwayne Bravo,10,5,1,1,200.00,out,T20I # 414
South Africa Vs West Indies,West Indies,7,Daren Sammy,20,7,2,1,285.71,not_out,T20I # 414
South Africa Vs West Indies,West Indies,8,Denesh Ramdin,7,4,1,0,175.00,not_out,T20I # 414
South Africa Vs West Indies,South Africa,1,Morne van Wyk,114,70,9,7,162.85,not_out,T20I # 415
South Africa Vs West Indies,South Africa,2,Reeza Hendricks,42,32,5,1,131.25,out,T20I # 415
South Africa Vs West Indies,South Africa,3,David Wiese,21,16,2,0,131.25,out,T20I # 415
South Africa Vs West Indies,South Africa,4,Rilee Rossouw,0,1,0,0,0.00,out,T20I # 415
South Africa Vs West Indies,South Africa,5,Jean-Paul Duminy,7,2,0,1,350.00,not_out,T20I # 415
South Africa Vs West Indies,West Indies,1,Dwayne Smith,5,10,0,0,50.00,out,T20I # 415
South Africa Vs West Indies,West Indies,2,Lendl Simmons,49,31,6,2,158.06,out,T20I # 415
South Africa Vs West Indies,West Indies,3,Marlon Samuels,6,8,1,0,75.00,out,T20I # 415
South Africa Vs West Indies,West Indies,4,Andre Fletcher,2,6,0,0,33.33,out,T20I # 415
South Africa Vs West Indies,West Indies,5,Dwayne Bravo,12,13,0,0,92.30,out,T20I # 415
South Africa Vs West Indies,West Indies,6,Kieron Pollard,20,23,0,0,86.95,not_out,T20I # 415
South Africa Vs West Indies,West Indies,7,Andre Russell,12,6,1,1,200.00,out,T20I # 415
South Africa Vs West Indies,West Indies,8,Daren Sammy,8,9,0,0,88.88,out,T20I # 415
South Africa Vs West Indies,West Indies,9,Carlos Brathwaite,1,2,0,0,50.00,out,T20I # 415
South Africa Vs West Indies,West Indies,10,Ashley Nurse,3,5,0,0,60.00,out,T20I # 415
South Africa Vs West Indies,West Indies,11,Sheldon Cottrell,0,1,0,0,0.00,out,T20I # 415
Pakistan Vs Bangladesh,Pakistan,1,Mukhtar Ahmed,37,30,5,1,123.33,out,T20I # 416
Pakistan Vs Bangladesh,Pakistan,2,Ahmed Shehzad,17,31,2,0,54.83,out,T20I # 416
Pakistan Vs Bangladesh,Pakistan,3,Shahid Afridi,12,9,0,1,133.33,out,T20I # 416
Pakistan Vs Bangladesh,Pakistan,4,Haris Sohail,30,24,0,1,125.00,not_out,T20I # 416
Pakistan Vs Bangladesh,Pakistan,5,Mohammad Hafeez,26,18,4,0,144.44,out,T20I # 416
Pakistan Vs Bangladesh,Pakistan,6,Sohail Tanvir,8,8,0,0,100.00,out,T20I # 416
Pakistan Vs Bangladesh,Bangladesh,1,Tamim Iqbal,14,10,2,1,140.00,out,T20I # 416
