match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
South Africa Vs West Indies,West Indies,Sheldon Cottrell,4,0,33,2,8.25,11,3,1,2,0,T20I # 413
South Africa Vs West Indies,West Indies,Jason Holder,4,0,20,1,5.00,14,3,0,0,0,T20I # 413
South Africa Vs West Indies,West Indies,Andre Russell,4,0,43,1,10.75,6,3,2,1,0,T20I # 413
South Africa Vs West Indies,West Indies,Ashley Nurse,3,0,24,0,8.00,5,2,1,0,0,T20I # 413
South Africa Vs West Indies,West Indies,Dwayne Bravo,3,0,26,0,8.66,2,2,0,0,0,T20I # 413
South Africa Vs West Indies,West Indies,Daren Sammy,2,0,17,0,8.50,2,1,0,0,0,T20I # 413
South Africa Vs West Indies,South Africa,Kyle Abbott,4,0,30,0,7.50,9,1,2,0,0,T20I # 413
South Africa Vs West Indies,South Africa,Kagiso Rabada,4,0,38,0,9.50,11,3,3,0,0,T20I # 413
South Africa Vs West Indies,South Africa,David Wiese,2.2,0,20,1,8.57,6,4,0,0,0,T20I # 413
South Africa Vs West Indies,South Africa,Wayne Parnell,4,0,39,2,9.75,8,6,1,0,0,T20I # 413
South Africa Vs West Indies,South Africa,Imran Tahir,4,0,28,3,7.00,13,0,3,1,0,T20I # 413
South Africa Vs West Indies,South Africa,Farhaan Behardien,1,0,8,0,8.00,1,1,0,0,0,T20I # 413
South Africa Vs West Indies,West Indies,Sulieman Benn,3,0,42,1,14.00,6,4,3,0,0,T20I # 414
South Africa Vs West Indies,West Indies,Sheldon Cottrell,3,0,47,0,15.66,5,4,3,0,1,T20I # 414
South Africa Vs West Indies,West Indies,Jason Holder,4,0,40,2,10.00,5,4,1,2,0,T20I # 414
South Africa Vs West Indies,West Indies,Andre Russell,4,0,39,0,9.75,10,4,1,4,1,T20I # 414
South Africa Vs West Indies,West Indies,Dwayne Bravo,4,0,32,2,8.00,8,1,2,1,0,T20I # 414
South Africa Vs West Indies,West Indies,Daren Sammy,1,0,17,0,17.00,0,0,2,0,0,T20I # 414
South Africa Vs West Indies,West Indies,Kieron Pollard,1,0,12,0,12.00,0,1,0,0,0,T20I # 414
South Africa Vs West Indies,South Africa,Kyle Abbott,4,0,68,1,17.00,6,12,2,1,0,T20I # 414
South Africa Vs West Indies,South Africa,Marchant de Lange,3.2,0,42,1,12.60,6,5,2,2,0,T20I # 414
South Africa Vs West Indies,South Africa,David Wiese,4,0,43,3,10.75,10,5,2,3,0,T20I # 414
South Africa Vs West Indies,South Africa,Aaron Phangiso,3,0,33,1,11.00,6,2,3,0,0,T20I # 414
South Africa Vs West Indies,South Africa,Imran Tahir,4,0,29,0,7.25,8,0,2,1,0,T20I # 414
South Africa Vs West Indies,South Africa,Justin Ontong,1,0,17,0,17.00,0,2,1,0,0,T20I # 414
South Africa Vs West Indies,West Indies,Sheldon Cottrell,4,0,33,1,8.25,9,2,1,0,0,T20I # 415
South Africa Vs West Indies,West Indies,Carlos Brathwaite,3,0,42,0,14.00,7,3,3,3,0,T20I # 415
South Africa Vs West Indies,West Indies,Andre Russell,2,0,24,0,12.00,4,2,2,0,0,T20I # 415
South Africa Vs West Indies,West Indies,Ashley Nurse,2,0,22,0,11.00,5,5,0,0,0,T20I # 415
South Africa Vs West Indies,West Indies,Dwayne Bravo,4,0,38,1,9.50,7,1,3,1,1,T20I # 415
South Africa Vs West Indies,West Indies,Marlon Samuels,3,0,22,0,7.33,3,2,0,0,0,T20I # 415
South Africa Vs West Indies,West Indies,Kieron Pollard,2,0,13,1,6.50,3,1,0,1,0,T20I # 415
South Africa Vs West Indies,South Africa,Kyle Abbott,3,0,14,0,4.66,8,0,0,1,0,T20I # 415
South Africa Vs West Indies,South Africa,Marchant de Lange,4,0,26,2,6.50,9,1,1,2,0,T20I # 415
South Africa Vs West Indies,South Africa,Wayne Parnell,3,0,33,2,11.00,7,5,1,2,0,T20I # 415
South Africa Vs West Indies,South Africa,Aaron Phangiso,4,0,23,1,5.75,8,2,0,0,0,T20I # 415
South Africa Vs West Indies,South Africa,David Wiese,4,0,23,5,5.75,10,0,1,2,0,T20I # 415
South Africa Vs West Indies,South Africa,Jean-Paul Duminy,1,0,6,0,6.00,2,0,0,0,0,T20I # 415
Pakistan Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,20,2,5.00,16,0,1,2,0,T20I # 416
Pakistan Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,17,0,4.25,13,1,0,0,0,T20I # 416
