match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
England Vs West Indies,West Indies,Sheldon Cottrell,4,1,30,2,7.50,16,2,3,0,0,T20I # 1453
England Vs West Indies,West Indies,Jason Holder,3.4,1,7,4,1.90,18,1,0,0,0,T20I # 1453
England Vs West Indies,West Indies,Akeal Hosein,4,0,16,1,4.00,16,0,1,1,0,T20I # 1453
England Vs West Indies,West Indies,Romario Shepherd,3,0,25,1,8.33,9,1,2,2,0,T20I # 1453
England Vs West Indies,West Indies,Odean Smith,1,0,4,0,4.00,3,0,0,0,0,T20I # 1453
England Vs West Indies,West Indies,Kieron Pollard,2,0,11,0,5.50,5,1,0,0,0,T20I # 1453
England Vs West Indies,West Indies,Fabian Allen,2,0,10,1,5.00,5,1,0,0,0,T20I # 1453
England Vs West Indies,England,Saqib Mahmood,3,0,24,0,8.00,7,4,0,0,0,T20I # 1453
England Vs West Indies,England,Chris Jordan,2,0,15,0,7.50,4,2,0,0,0,T20I # 1453
England Vs West Indies,England,Adil Rashid,4,0,21,1,5.25,11,0,1,0,0,T20I # 1453
England Vs West Indies,England,Liam Dawson,4,0,12,0,3.00,13,0,0,0,0,T20I # 1453
England Vs West Indies,England,Tymal Mills,3.1,0,20,0,6.31,6,2,0,0,0,T20I # 1453
England Vs West Indies,England,Moeen Ali,1,0,7,0,7.00,0,0,0,0,0,T20I # 1453
England Vs West Indies,West Indies,Sheldon Cottrell,3,0,23,1,7.66,8,3,0,1,0,T20I # 1454
England Vs West Indies,West Indies,Jason Holder,4,0,25,2,6.25,14,4,0,2,0,T20I # 1454
England Vs West Indies,West Indies,Akeal Hosein,3,0,15,1,5.00,8,0,1,0,0,T20I # 1454
England Vs West Indies,West Indies,Fabian Allen,4,0,50,2,12.50,9,8,2,0,0,T20I # 1454
England Vs West Indies,West Indies,Kieron Pollard,4,0,32,1,8.00,6,1,1,4,0,T20I # 1454
England Vs West Indies,West Indies,Romario Shepherd,2,0,26,1,13.00,5,4,1,1,0,T20I # 1454
England Vs West Indies,England,Reece Topley,4,0,18,1,4.50,16,2,0,1,0,T20I # 1454
England Vs West Indies,England,Saqib Mahmood,4,0,45,0,11.25,10,4,3,2,0,T20I # 1454
England Vs West Indies,England,Chris Jordan,3,0,39,1,13.00,5,1,4,1,0,T20I # 1454
England Vs West Indies,England,Adil Rashid,4,1,24,2,6.00,13,1,2,0,0,T20I # 1454
England Vs West Indies,England,Moeen Ali,4,0,24,3,6.00,11,0,2,0,0,T20I # 1454
England Vs West Indies,England,Liam Dawson,1,0,13,0,13.00,3,0,2,0,0,T20I # 1454
West Indies Vs England,England,Reece Topley,4,0,30,1,7.50,10,0,2,1,0,T20I # 1455
West Indies Vs England,England,George Garton,4,0,57,1,14.25,7,4,5,0,1,T20I # 1455
West Indies Vs England,England,Tymal Mills,4,0,52,1,13.00,5,5,3,1,1,T20I # 1455
West Indies Vs England,England,Liam Livingstone,3,0,42,1,14.00,7,2,4,1,0,T20I # 1455
West Indies Vs England,England,Adil Rashid,4,0,25,1,6.25,10,0,1,0,0,T20I # 1455
West Indies Vs England,England,Moeen Ali,1,0,14,0,14.00,1,1,1,0,0,T20I # 1455
West Indies Vs England,West Indies,Sheldon Cottrell,4,0,28,1,7.00,11,1,2,1,0,T20I # 1455
West Indies Vs England,West Indies,Jason Holder,4,0,41,1,10.25,6,3,1,1,0,T20I # 1455
West Indies Vs England,West Indies,Romario Shepherd,4,0,59,3,14.75,4,1,6,3,0,T20I # 1455
West Indies Vs England,West Indies,Akeal Hosein,3,0,36,1,12.00,5,1,4,0,0,T20I # 1455
West Indies Vs England,West Indies,Kieron Pollard,4,0,31,2,7.75,7,1,1,2,0,T20I # 1455
West Indies Vs England,West Indies,Rovman Powell,1,0,9,0,9.00,2,0,1,0,0,T20I # 1455
England Vs West Indies,West Indies,Sheldon Cottrell,4,0,34,0,8.50,11,4,1,1,0,T20I # 1456
England Vs West Indies,West Indies,Jason Holder,4,0,44,3,11.00,13,0,6,0,0,T20I # 1456
England Vs West Indies,West Indies,Romario Shepherd,3,0,40,1,13.33,6,2,3,5,0,T20I # 1456
England Vs West Indies,West Indies,Dominic Drakes,2,0,26,0,13.00,4,1,3,0,0,T20I # 1456
England Vs West Indies,West Indies,Akeal Hosein,3,0,23,1,7.66,8,2,1,1,0,T20I # 1456
England Vs West Indies,West Indies,Kieron Pollard,4,0,23,1,5.75,9,0,1,1,0,T20I # 1456
England Vs West Indies,England,Reece Topley,4,0,21,1,5.25,12,3,0,0,0,T20I # 1456
England Vs West Indies,England,Moeen Ali,4,0,28,2,7.00,12,0,2,1,0,T20I # 1456
