Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
West Indies,England,West Indies,9 wickets,Bridgetown,Jan 22 2022,T20I # 1453
West Indies,England,England,1 runs,Bridgetown,Jan 23 2022,T20I # 1454
West Indies,England,West Indies,20 runs,Bridgetown,Jan 26 2022,T20I # 1455
West Indies,England,England,34 runs,Bridgetown,Jan 29 2022,T20I # 1456
West Indies,England,West Indies,17 runs,Bridgetown,Jan 30 2022,T20I # 1457
Australia,Sri Lanka,Australia,20 runs,Sydney,Feb 11 2022,T20I # 1458
Oman,Nepal,Nepal,6 wickets,Al Amerat,Feb 11 2022,T20I # 1459
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,Feb 12 2022,T20I # 1460
Oman,Ireland,Ireland,9 wickets,Al Amerat,Feb 12 2022,T20I # 1461
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,Feb 13 2022,T20I # 1462
Australia,Sri Lanka,tied,-,Sydney,Feb 13 2022,T20I # 1463
Oman,U.A.E.,Oman,7 wickets,Al Amerat,Feb 14 2022,T20I # 1464
Ireland,Nepal,Ireland,16 runs,Al Amerat,Feb 14 2022,T20I # 1465
Australia,Sri Lanka,Australia,6 wickets,Canberra,Feb 15 2022,T20I # 1466
India,West Indies,India,6 wickets,Eden Gardens,Feb 16 2022,T20I # 1467
Canada,Philippines,Canada,118 runs,Al Amerat,Feb 18 2022,T20I # 1468
Oman,Nepal,Nepal,39 runs,Al Amerat,Feb 18 2022,T20I # 1469
Australia,Sri Lanka,Australia,6 wickets,Melbourne,Feb 18 2022,T20I # 1470
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,Feb 18 2022,T20I # 1471
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,Feb 18 2022,T20I # 1472
India,West Indies,India,8 runs,Eden Gardens,Feb 18 2022,T20I # 1473
Nepal,Philippines,Nepal,136 runs,Al Amerat,Feb 19 2022,T20I # 1474
Oman,Canada,Oman,9 wickets,Al Amerat,Feb 19 2022,T20I # 1475
Bahrain,Ireland,Ireland,21 runs,Al Amerat,Feb 19 2022,T20I # 1476
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,Feb 19 2022,T20I # 1477
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,Feb 20 2022,T20I # 1478
India,West Indies,India,17 runs,Eden Gardens,Feb 20 2022,T20I # 1479
Bahrain,U.A.E.,Bahrain,2 runs,Al Amerat,Feb 21 2022,T20I # 1480
Germany,Ireland,Ireland,7 wickets,Al Amerat,Feb 21 2022,T20I # 1481
Canada,Nepal,Nepal,8 wickets,Al Amerat,Feb 21 2022,T20I # 1482
Oman,Philippines,Oman,9 wickets,Al Amerat,Feb 21 2022,T20I # 1483
Bahrain,Philippines,Bahrain,91 runs,Al Amerat,Feb 22 2022,T20I # 1484
Canada,Germany,Canada,6 wickets,Al Amerat,Feb 22 2022,T20I # 1485
Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,Feb 22 2022,T20I # 1486
Oman,Ireland,Ireland,56 runs,Al Amerat,Feb 22 2022,T20I # 1487
Bahrain,Canada,Canada,7 wickets,Al Amerat,Feb 24 2022,T20I # 1488
Germany,Philippines,Germany,9 wickets,Al Amerat,Feb 24 2022,T20I # 1489
Ireland,U.A.E.,U.A.E.,7 wickets,Al Amerat,Feb 24 2022,T20I # 1490
Oman,Nepal,Nepal,9 wickets,Al Amerat,Feb 24 2022,T20I # 1491
India,Sri Lanka,India,62 runs,Lucknow,Feb 24 2022,T20I # 1492
India,Sri Lanka,India,7 wickets,Dharamsala,Feb 26 2022,T20I # 1493
India,Sri Lanka,India,6 wickets,Dharamsala,Feb 27 2022,T20I # 1494
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,Mar 3 2022,T20I # 1495
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,Mar 5 2022,T20I # 1496
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,Mar 28 2022,T20I # 1497
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,Mar 29 2022,T20I # 1498
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,Mar 30 2022,T20I # 1499
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,Mar 31 2022,T20I # 1500
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,Apr 1 2022,T20I # 1501
Nepal,Malaysia,Nepal,85 runs,Kirtipur,Apr 2 2022,T20I # 1502
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,Apr 4 2022,T20I # 1503
Pakistan,Australia,Australia,3 wickets,Lahore,Apr 5 2022,T20I # 1504
Namibia,Uganda,Namibia,8 wickets,Windhoek,Apr 8 2022,T20I # 1505
Namibia,Uganda,Uganda,7 wickets,Windhoek,Apr 9 2022,T20I # 1506
Namibia,Uganda,Namibia,52 runs,Windhoek,Apr 10 2022,T20I # 1507
Cayman Is,Bahamas,Cayman Is,8 wickets,George Town,Apr 13 2022,T20I # 1508
Cayman Is,Bahamas,Cayman Is,15 runs,George Town,Apr 14 2022,T20I # 1509
Cayman Is,Bahamas,Cayman Is,7 wickets,George Town,Apr 16 2022,T20I # 1510
Cayman Is,Bahamas,Cayman Is,65 runs,George Town,Apr 16 2022,T20I # 1511
