match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs South Africa,Australia,1,James Hopes,17,20,2,0,85.00,out,T20I # 4
Australia Vs South Africa,Australia,2,Damien Martyn,96,56,7,5,171.42,out,T20I # 4
Australia Vs South Africa,Australia,3,Ricky Ponting,27,18,2,2,150.00,out,T20I # 4
Australia Vs South Africa,Australia,4,Andrew Symonds,54,26,6,2,207.69,not_out,T20I # 4
Australia Vs South Africa,Australia,5,Michael Clarke,0,0,0,0,-,not_out,T20I # 4
Australia Vs South Africa,South Africa,1,Graeme Smith,22,26,3,0,84.61,out,T20I # 4
Australia Vs South Africa,South Africa,2,Boeta Dippenaar,1,5,0,0,20.00,out,T20I # 4
Australia Vs South Africa,South Africa,3,Herschelle Gibbs,0,2,0,0,0.00,out,T20I # 4
Australia Vs South Africa,South Africa,4,Mark Boucher,29,21,5,0,138.09,out,T20I # 4
Australia Vs South Africa,South Africa,5,Shaun Pollock,24,17,2,1,141.17,out,T20I # 4
Australia Vs South Africa,South Africa,6,Jacques Kallis,15,13,1,1,115.38,out,T20I # 4
Australia Vs South Africa,South Africa,7,Jacques Rudolph,6,7,0,0,85.71,not_out,T20I # 4
Australia Vs South Africa,South Africa,8,Andrew Hall,11,10,1,0,110.00,out,T20I # 4
Australia Vs South Africa,South Africa,9,Johan Botha,2,4,0,0,50.00,out,T20I # 4
Australia Vs South Africa,South Africa,10,Garnett Kruger,3,5,0,0,60.00,out,T20I # 4
Australia Vs South Africa,South Africa,11,Monde Zondeki,0,1,0,0,0.00,out,T20I # 4
West Indies Vs New Zealand,West Indies,1,Chris Gayle,10,12,2,0,83.33,out,T20I # 5
West Indies Vs New Zealand,West Indies,2,Daren Ganga,26,31,3,1,83.87,out,T20I # 5
West Indies Vs New Zealand,West Indies,3,Runako Morton,4,9,0,0,44.44,out,T20I # 5
West Indies Vs New Zealand,West Indies,4,Dwayne Smith,8,4,1,0,200.00,out,T20I # 5
West Indies Vs New Zealand,West Indies,5,Wavell Hinds,14,18,1,0,77.77,out,T20I # 5
West Indies Vs New Zealand,West Indies,6,Shivnarine Chanderpaul,26,27,2,0,96.29,out,T20I # 5
West Indies Vs New Zealand,West Indies,7,Dwayne Bravo,19,16,2,0,118.75,not_out,T20I # 5
West Indies Vs New Zealand,West Indies,8,Denesh Ramdin,9,4,2,0,225.00,out,T20I # 5
West Indies Vs New Zealand,West Indies,9,Ian Bradshaw,0,0,0,0,-,not_out,T20I # 5
West Indies Vs New Zealand,New Zealand,1,Lou Vincent,42,37,5,1,113.51,out,T20I # 5
West Indies Vs New Zealand,New Zealand,2,Stephen Fleming,6,7,1,0,85.71,out,T20I # 5
West Indies Vs New Zealand,New Zealand,3,Nathan Astle,5,7,1,0,71.42,out,T20I # 5
West Indies Vs New Zealand,New Zealand,4,Scott Styris,19,16,2,1,118.75,out,T20I # 5
West Indies Vs New Zealand,New Zealand,5,Chris Cairns,2,9,0,0,22.22,out,T20I # 5
West Indies Vs New Zealand,New Zealand,6,Peter Fulton,16,17,0,0,94.11,out,T20I # 5
West Indies Vs New Zealand,New Zealand,7,Hamish Marshall,1,4,0,0,25.00,out,T20I # 5
West Indies Vs New Zealand,New Zealand,8,Brendon McCullum,4,10,0,0,40.00,out,T20I # 5
West Indies Vs New Zealand,New Zealand,9,James Franklin,13,9,0,1,144.44,not_out,T20I # 5
West Indies Vs New Zealand,New Zealand,10,Shane Bond,8,4,1,0,200.00,not_out,T20I # 5
South Africa Vs Australia,South Africa,1,Graeme Smith,89,58,11,1,153.44,not_out,T20I # 6
South Africa Vs Australia,South Africa,2,Loots Bosman,23,18,3,1,127.77,out,T20I # 6
