match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Australia Vs South Africa,South Africa,Shaun Pollock,4,0,34,1,8.50,12,3,2,2,0,T20I # 4
Australia Vs South Africa,South Africa,Garnett Kruger,4,0,29,0,7.25,7,3,0,2,0,T20I # 4
Australia Vs South Africa,South Africa,Monde Zondeki,3,0,41,1,13.66,7,1,3,3,0,T20I # 4
Australia Vs South Africa,South Africa,Andrew Hall,4,0,38,0,9.50,5,2,1,0,0,T20I # 4
Australia Vs South Africa,South Africa,Johan Botha,4,0,43,1,10.75,4,3,2,0,0,T20I # 4
Australia Vs South Africa,South Africa,Jacques Kallis,1,0,17,0,17.00,1,3,0,0,0,T20I # 4
Australia Vs South Africa,Australia,Nathan Bracken,3,0,9,2,3.00,13,1,0,0,0,T20I # 4
Australia Vs South Africa,Australia,Mick Lewis,3.3,0,18,2,5.14,11,2,0,0,0,T20I # 4
Australia Vs South Africa,Australia,Stuart Clark,4,0,35,1,8.75,11,5,1,0,0,T20I # 4
Australia Vs South Africa,Australia,James Hopes,4,0,26,2,6.50,7,3,0,0,0,T20I # 4
Australia Vs South Africa,Australia,Andrew Symonds,4,0,26,2,6.50,11,1,1,1,0,T20I # 4
West Indies Vs New Zealand,New Zealand,James Franklin,4,0,21,0,5.25,14,2,0,1,0,T20I # 5
West Indies Vs New Zealand,New Zealand,Shane Bond,4,0,15,2,3.75,17,1,0,1,1,T20I # 5
West Indies Vs New Zealand,New Zealand,Scott Styris,4,0,33,2,8.25,9,4,1,0,0,T20I # 5
West Indies Vs New Zealand,New Zealand,Chris Cairns,4,0,24,0,6.00,7,2,0,0,0,T20I # 5
West Indies Vs New Zealand,New Zealand,Jeetan Patel,4,0,27,1,6.75,8,3,0,0,0,T20I # 5
West Indies Vs New Zealand,West Indies,Ian Bradshaw,4,0,22,0,5.50,12,1,1,1,0,T20I # 5
West Indies Vs New Zealand,West Indies,Jerome Taylor,3,0,30,2,10.00,7,4,1,1,0,T20I # 5
West Indies Vs New Zealand,West Indies,Deighton Butler,3,0,22,0,7.33,9,4,0,1,0,T20I # 5
West Indies Vs New Zealand,West Indies,Dwayne Bravo,2.4,0,16,2,6.00,10,1,1,2,0,T20I # 5
West Indies Vs New Zealand,West Indies,Dwayne Smith,3.2,0,9,2,2.70,11,0,0,0,0,T20I # 5
West Indies Vs New Zealand,West Indies,Chris Gayle,4,0,22,2,5.50,7,0,0,0,0,T20I # 5
South Africa Vs Australia,Australia,Brett Lee,3,0,15,0,5.00,9,2,0,0,0,T20I # 6
South Africa Vs Australia,Australia,Nathan Bracken,4,0,44,1,11.00,8,6,1,2,0,T20I # 6
South Africa Vs Australia,Australia,Mick Lewis,4,0,31,2,7.75,8,2,1,0,0,T20I # 6
South Africa Vs Australia,Australia,Stuart Clark,4,0,25,0,6.25,11,3,0,0,0,T20I # 6
South Africa Vs Australia,Australia,Shane Watson,3,0,35,1,11.66,4,3,2,1,0,T20I # 6
South Africa Vs Australia,Australia,Brad Hogg,2,0,38,0,19.00,0,3,3,1,0,T20I # 6
South Africa Vs Australia,South Africa,Makhaya Ntini,3,0,44,0,14.66,3,5,2,1,0,T20I # 6
South Africa Vs Australia,South Africa,Andrew Hall,4,0,22,3,5.50,13,2,0,1,0,T20I # 6
South Africa Vs Australia,South Africa,Roger Telemachus,4,0,40,1,10.00,7,3,1,3,0,T20I # 6
South Africa Vs Australia,South Africa,Johan van der Wath,4,0,40,1,10.00,7,5,1,0,0,T20I # 6
South Africa Vs Australia,South Africa,Graeme Smith,2,0,21,0,10.50,3,0,2,0,0,T20I # 6
South Africa Vs Australia,South Africa,Robin Peterson,3,0,29,2,9.66,5,0,3,0,0,T20I # 6
Sri Lanka Vs England,England,Tim Bresnan,2,0,20,0,10.00,6,2,1,3,0,T20I # 7
Sri Lanka Vs England,England,Steve Harmison,4,0,29,0,7.25,10,2,0,2,0,T20I # 7
Sri Lanka Vs England,England,Sajid Mahmood,4,0,34,1,8.50,12,2,2,0,2,T20I # 7
Sri Lanka Vs England,England,Liam Plunkett,4,0,37,1,9.25,7,2,1,0,0,T20I # 7
Sri Lanka Vs England,England,Paul Collingwood,4,0,22,4,5.50,10,1,0,1,0,T20I # 7
Sri Lanka Vs England,England,Jamie Dalrymple,2,0,17,1,8.50,4,3,0,0,0,T20I # 7
Sri Lanka Vs England,Sri Lanka,Ruchira Perera,3,0,28,0,9.33,10,5,0,2,0,T20I # 7
Sri Lanka Vs England,Sri Lanka,Lasith Malinga,3,0,25,0,8.33,10,5,0,1,0,T20I # 7
Sri Lanka Vs England,Sri Lanka,Dilhara Fernando,4,0,22,1,5.50,7,1,0,0,0,T20I # 7
Sri Lanka Vs England,Sri Lanka,Farveez Maharoof,4,0,30,0,7.50,5,2,0,1,1,T20I # 7
Sri Lanka Vs England,Sri Lanka,Sanath Jayasuriya,4,0,32,2,8.00,8,3,0,0,0,T20I # 7
Sri Lanka Vs England,Sri Lanka,Tillakaratne Dilshan,2,0,18,1,9.00,2,1,1,0,0,T20I # 7
England Vs Pakistan,Pakistan,Shoaib Akhtar,4,0,31,1,7.75,11,6,0,0,0,T20I # 8
England Vs Pakistan,Pakistan,Mohammad Asif,4,1,21,2,5.25,15,4,0,0,0,T20I # 8
England Vs Pakistan,Pakistan,Naved-ul-Hasan,4,0,26,1,6.50,9,2,0,0,1,T20I # 8
England Vs Pakistan,Pakistan,Shahid Afridi,4,0,28,0,7.00,8,3,0,2,0,T20I # 8
England Vs Pakistan,Pakistan,Abdul Razzaq,4,0,30,3,7.50,6,2,1,0,0,T20I # 8
England Vs Pakistan,England,Darren Gough,3.5,0,33,0,8.60,13,3,1,1,0,T20I # 8
England Vs Pakistan,England,Stuart Broad,4,0,35,2,8.75,12,5,1,0,0,T20I # 8
England Vs Pakistan,England,Sajid Mahmood,3,0,29,0,9.66,10,5,0,3,1,T20I # 8
England Vs Pakistan,England,Jamie Dalrymple,2,0,10,1,5.00,8,1,0,2,0,T20I # 8
England Vs Pakistan,England,Michael Yardy,3,0,20,1,6.66,7,1,1,1,0,T20I # 8
England Vs Pakistan,England,Paul Collingwood,2,0,19,0,9.50,3,3,0,0,0,T20I # 8
Bangladesh Vs Zimbabwe,Zimbabwe,Gary Brent,4,0,40,2,10.00,-,-,-,0,0,T20I # 9
Bangladesh Vs Zimbabwe,Zimbabwe,Anthony Ireland,3,0,33,1,11.00,-,-,-,1,1,T20I # 9
Bangladesh Vs Zimbabwe,Zimbabwe,Elton Chigumbura,2,0,22,1,11.00,-,-,-,3,0,T20I # 9
Bangladesh Vs Zimbabwe,Zimbabwe,Prosper Utseya,4,0,25,3,6.25,-,-,-,0,1,T20I # 9
Bangladesh Vs Zimbabwe,Zimbabwe,Sean Williams,4,0,28,1,7.00,-,-,-,0,0,T20I # 9
Bangladesh Vs Zimbabwe,Zimbabwe,Keith Dabengwa,1,0,1,1,1.00,-,-,-,1,0,T20I # 9
Bangladesh Vs Zimbabwe,Zimbabwe,Chamu Chibhabha,1.5,0,14,1,7.63,-,-,-,2,0,T20I # 9
Bangladesh Vs Zimbabwe,Bangladesh,Mashrafe Mortaza,4,0,29,1,7.25,-,-,-,0,0,T20I # 9
Bangladesh Vs Zimbabwe,Bangladesh,Shahadat Hossain,4,0,22,2,5.50,-,-,-,0,0,T20I # 9
Bangladesh Vs Zimbabwe,Bangladesh,Mohammad Rafique,4,0,22,1,5.50,-,-,-,0,0,T20I # 9
