match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Australia Vs New Zealand,New Zealand,Daryl Tuffey,4,0,50,1,12.50,9,2,5,1,0,T20I # 1
Australia Vs New Zealand,New Zealand,Kyle Mills,4,0,44,3,11.00,7,5,2,2,0,T20I # 1
Australia Vs New Zealand,New Zealand,Chris Cairns,4,0,28,1,7.00,4,2,0,0,0,T20I # 1
Australia Vs New Zealand,New Zealand,Jeff Wilson,4,0,43,0,10.75,6,4,2,0,0,T20I # 1
Australia Vs New Zealand,New Zealand,Andre Adams,4,0,40,0,10.00,6,2,3,0,0,T20I # 1
Australia Vs New Zealand,Australia,Brett Lee,4,0,26,1,6.50,13,4,0,1,0,T20I # 1
Australia Vs New Zealand,Australia,Glenn McGrath,4,0,48,2,12.00,5,5,2,0,0,T20I # 1
Australia Vs New Zealand,Australia,Michael Kasprowicz,4,0,29,4,7.25,10,2,1,1,0,T20I # 1
Australia Vs New Zealand,Australia,James Hopes,3,0,23,1,7.66,6,1,1,0,0,T20I # 1
Australia Vs New Zealand,Australia,Andrew Symonds,3,0,33,1,11.00,4,4,1,0,0,T20I # 1
Australia Vs New Zealand,Australia,Michael Clarke,2,0,11,0,5.50,4,1,0,0,0,T20I # 1
England Vs Australia,Australia,Brett Lee,3,0,31,0,10.33,6,4,0,1,2,T20I # 2
England Vs Australia,Australia,Glenn McGrath,4,0,31,3,7.75,10,4,0,1,0,T20I # 2
England Vs Australia,Australia,Michael Kasprowicz,3,0,28,1,9.33,2,3,0,0,0,T20I # 2
England Vs Australia,Australia,Jason Gillespie,4,0,49,1,12.25,5,6,2,1,0,T20I # 2
England Vs Australia,Australia,Michael Clarke,3,0,25,1,8.33,4,1,1,0,0,T20I # 2
England Vs Australia,Australia,Andrew Symonds,3,0,14,2,4.66,7,1,0,0,0,T20I # 2
England Vs Australia,England,Darren Gough,3,0,16,3,5.33,13,3,0,0,1,T20I # 2
England Vs Australia,England,Jon Lewis,4,0,24,4,6.00,14,3,0,0,0,T20I # 2
England Vs Australia,England,Steve Harmison,2.3,0,13,1,5.20,9,2,0,0,1,T20I # 2
England Vs Australia,England,Andrew Flintoff,3,0,15,0,5.00,10,2,0,1,0,T20I # 2
England Vs Australia,England,Paul Collingwood,2,0,8,2,4.00,6,0,0,0,0,T20I # 2
South Africa Vs New Zealand,New Zealand,Shane Bond,3.3,0,25,2,7.14,0,0,4,0,38,T20I # 3
South Africa Vs New Zealand,New Zealand,Kyle Mills,9.50,1,1,0,4,0,27,6.75,0,0,T20I # 3
South Africa Vs New Zealand,New Zealand,Andre Adams,4,0,20,1,5.00,0,0,4,0,20,T20I # 3
South Africa Vs New Zealand,New Zealand,Nathan Astle,5.00,0,1,3,31,25,30,6,0,124.00,T20I # 3
South Africa Vs New Zealand,New Zealand,Jeetan Patel,10,10,23,3,1,0,100.00,3,3,4,T20I # 3
South Africa Vs New Zealand,South Africa,Shaun Pollock,4.75,0,0,0,2,0,14,7.00,2,0,T20I # 3
South Africa Vs New Zealand,South Africa,Makhaya Ntini,4,0,27,0,6.75,0,0,2,0,13,T20I # 3
South Africa Vs New Zealand,South Africa,Andre Nel,6.50,0,0,2,1,0,20,20.00,0,2,T20I # 3
South Africa Vs New Zealand,South Africa,Charl Langeveldt,,,,,,,,,,,T20I # 3
