match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs South Africa,Australia,1,Shaun Marsh,9,9,1,0,100.00,out,T20I # 80
Australia Vs South Africa,Australia,2,David Warner,89,43,7,6,206.97,out,T20I # 80
Australia Vs South Africa,Australia,3,Ricky Ponting,21,19,1,0,110.52,out,T20I # 80
Australia Vs South Africa,Australia,4,David Hussey,19,12,1,1,158.33,out,T20I # 80
Australia Vs South Africa,Australia,5,Cameron White,7,5,0,1,140.00,out,T20I # 80
Australia Vs South Africa,Australia,6,Michael Hussey,7,8,0,0,87.50,out,T20I # 80
Australia Vs South Africa,Australia,7,Luke Ronchi,11,5,2,0,220.00,out,T20I # 80
Australia Vs South Africa,Australia,8,James Hopes,13,14,0,0,92.85,out,T20I # 80
Australia Vs South Africa,Australia,9,Nathan Bracken,1,3,0,0,33.33,out,T20I # 80
Australia Vs South Africa,Australia,10,Ben Hilfenhaus,0,1,0,0,0.00,not_out,T20I # 80
Australia Vs South Africa,Australia,11,Shaun Tait,1,1,0,0,100.00,not_out,T20I # 80
Australia Vs South Africa,South Africa,1,Herschelle Gibbs,0,3,0,0,0.00,out,T20I # 80
Australia Vs South Africa,South Africa,2,Jacques Kallis,4,6,1,0,66.66,out,T20I # 80
Australia Vs South Africa,South Africa,3,AB de Villiers,0,4,0,0,0.00,out,T20I # 80
Australia Vs South Africa,South Africa,4,Jean-Paul Duminy,78,48,9,1,162.50,out,T20I # 80
Australia Vs South Africa,South Africa,5,Vaughn van Jaarsveld,12,15,0,0,80.00,out,T20I # 80
Australia Vs South Africa,South Africa,6,Mark Boucher,5,7,0,0,71.42,out,T20I # 80
Australia Vs South Africa,South Africa,7,Albie Morkel,12,8,1,0,150.00,out,T20I # 80
Australia Vs South Africa,South Africa,8,Johan Botha,5,7,0,0,71.42,not_out,T20I # 80
Australia Vs South Africa,South Africa,9,Dale Steyn,1,2,0,0,50.00,out,T20I # 80
Australia Vs South Africa,South Africa,10,Makhaya Ntini,0,1,0,0,0.00,out,T20I # 80
Australia Vs South Africa,South Africa,11,Lonwabo Tsotsobe,1,7,0,0,14.28,out,T20I # 80
South Africa Vs Australia,South Africa,1,Hashim Amla,26,26,1,1,100.00,out,T20I # 81
South Africa Vs Australia,South Africa,2,Herschelle Gibbs,6,12,0,0,50.00,out,T20I # 81
South Africa Vs Australia,South Africa,3,Jean-Paul Duminy,69,41,7,2,168.29,not_out,T20I # 81
South Africa Vs Australia,South Africa,4,Vaughn van Jaarsveld,0,1,0,0,0.00,out,T20I # 81
South Africa Vs Australia,South Africa,5,Mark Boucher,19,19,1,0,100.00,out,T20I # 81
South Africa Vs Australia,South Africa,6,Albie Morkel,19,13,1,1,146.15,out,T20I # 81
South Africa Vs Australia,South Africa,7,Neil McKenzie,7,8,0,0,87.50,not_out,T20I # 81
South Africa Vs Australia,Australia,1,Shaun Marsh,15,17,1,1,88.23,out,T20I # 81
South Africa Vs Australia,Australia,2,David Warner,7,12,0,0,58.33,out,T20I # 81
South Africa Vs Australia,Australia,3,Ricky Ponting,38,31,3,1,122.58,out,T20I # 81
South Africa Vs Australia,Australia,4,Michael Hussey,53,33,5,1,160.60,not_out,T20I # 81
South Africa Vs Australia,Australia,5,David Hussey,2,2,0,0,100.00,out,T20I # 81
South Africa Vs Australia,Australia,6,Cameron White,40,18,5,1,222.22,not_out,T20I # 81
Sri Lanka Vs India,Sri Lanka,1,Tillakaratne Dilshan,61,47,7,1,129.78,out,T20I # 82
Sri Lanka Vs India,Sri Lanka,2,Sanath Jayasuriya,33,17,3,2,194.11,out,T20I # 82
Sri Lanka Vs India,Sri Lanka,3,Jehan Mubarak,13,19,1,0,68.42,out,T20I # 82
Sri Lanka Vs India,Sri Lanka,4,Chamara Kapugedera,16,9,3,0,177.77,out,T20I # 82
Sri Lanka Vs India,Sri Lanka,5,Chamara Silva,21,18,2,1,116.66,not_out,T20I # 82
Sri Lanka Vs India,Sri Lanka,6,Kaushalya Weeraratne,10,10,1,0,100.00,not_out,T20I # 82
Sri Lanka Vs India,India,1,Gautam Gambhir,13,6,3,0,216.66,out,T20I # 82
Sri Lanka Vs India,India,2,Virender Sehwag,1,1,0,0,100.00,out,T20I # 82
Sri Lanka Vs India,India,3,Suresh Raina,35,27,5,1,129.62,out,T20I # 82
Sri Lanka Vs India,India,4,Yuvraj Singh,32,21,3,2,152.38,out,T20I # 82
Sri Lanka Vs India,India,5,MS Dhoni,13,17,1,0,76.47,out,T20I # 82
Sri Lanka Vs India,India,6,Rohit Sharma,4,11,0,0,36.36,out,T20I # 82
Sri Lanka Vs India,India,7,Ravindra Jadeja,5,7,0,0,71.42,out,T20I # 82
Sri Lanka Vs India,India,8,Yusuf Pathan,22,10,1,2,220.00,not_out,T20I # 82
Sri Lanka Vs India,India,9,Irfan Pathan,33,16,2,2,206.25,not_out,T20I # 82
Australia Vs New Zealand,Australia,1,David Warner,23,15,4,0,153.33,out,T20I # 83
Australia Vs New Zealand,Australia,2,Brad Haddin,15,10,2,0,150.00,out,T20I # 83
Australia Vs New Zealand,Australia,3,Callum Ferguson,8,9,1,0,88.88,out,T20I # 83
Australia Vs New Zealand,Australia,4,David Hussey,41,39,1,1,105.12,out,T20I # 83
Australia Vs New Zealand,Australia,5,Adam Voges,26,24,2,0,108.33,out,T20I # 83
Australia Vs New Zealand,Australia,6,Cameron White,16,11,0,1,145.45,out,T20I # 83
Australia Vs New Zealand,Australia,7,James Hopes,16,10,1,0,160.00,not_out,T20I # 83
Australia Vs New Zealand,Australia,8,Moises Henriques,1,2,0,0,50.00,out,T20I # 83
Australia Vs New Zealand,Australia,9,Peter Siddle,1,1,0,0,100.00,not_out,T20I # 83
Australia Vs New Zealand,New Zealand,1,Brendon McCullum,61,47,5,2,129.78,out,T20I # 83
Australia Vs New Zealand,New Zealand,2,Martin Guptill,0,2,0,0,0.00,out,T20I # 83
Australia Vs New Zealand,New Zealand,3,Peter Fulton,1,8,0,0,12.50,out,T20I # 83
Australia Vs New Zealand,New Zealand,4,Neil Broom,36,26,6,0,138.46,out,T20I # 83
Australia Vs New Zealand,New Zealand,5,Grant Elliott,23,30,1,0,76.66,not_out,T20I # 83
Australia Vs New Zealand,New Zealand,6,James Franklin,3,3,0,0,100.00,out,T20I # 83
Australia Vs New Zealand,New Zealand,7,Nathan McCullum,10,4,1,1,250.00,not_out,T20I # 83
India Vs New Zealand,India,1,Gautam Gambhir,6,7,1,0,85.71,out,T20I # 84
India Vs New Zealand,India,2,Virender Sehwag,26,10,0,4,260.00,out,T20I # 84
India Vs New Zealand,India,3,Suresh Raina,61,43,2,5,141.86,not_out,T20I # 84
India Vs New Zealand,India,4,Rohit Sharma,7,7,0,1,100.00,out,T20I # 84
India Vs New Zealand,India,5,Yuvraj Singh,1,3,0,0,33.33,out,T20I # 84
India Vs New Zealand,India,6,MS Dhoni,2,6,0,0,33.33,out,T20I # 84
India Vs New Zealand,India,7,Yusuf Pathan,20,8,0,3,250.00,out,T20I # 84
India Vs New Zealand,India,8,Irfan Pathan,12,14,1,0,85.71,out,T20I # 84
India Vs New Zealand,India,9,Harbhajan Singh,21,22,2,0,95.45,out,T20I # 84
India Vs New Zealand,New Zealand,1,Jesse Ryder,1,4,0,0,25.00,out,T20I # 84
India Vs New Zealand,New Zealand,2,Brendon McCullum,56,49,2,3,114.28,not_out,T20I # 84
India Vs New Zealand,New Zealand,3,Martin Guptill,41,28,4,3,146.42,out,T20I # 84
India Vs New Zealand,New Zealand,4,Ross Taylor,31,20,1,3,155.00,out,T20I # 84
India Vs New Zealand,New Zealand,5,Jacob Oram,29,15,3,2,193.33,not_out,T20I # 84
India Vs New Zealand,India,1,Gautam Gambhir,10,13,0,1,76.92,out,T20I # 85
India Vs New Zealand,India,2,Virender Sehwag,24,11,5,0,218.18,out,T20I # 85
India Vs New Zealand,India,3,Suresh Raina,0,4,0,0,0.00,out,T20I # 85
India Vs New Zealand,India,4,Yuvraj Singh,50,34,3,4,147.05,out,T20I # 85
India Vs New Zealand,India,5,MS Dhoni,28,30,2,0,93.33,not_out,T20I # 85
India Vs New Zealand,India,6,Yusuf Pathan,0,2,0,0,0.00,out,T20I # 85
India Vs New Zealand,India,7,Ravindra Jadeja,19,16,1,1,118.75,out,T20I # 85
India Vs New Zealand,India,8,Irfan Pathan,15,10,0,1,150.00,not_out,T20I # 85
India Vs New Zealand,New Zealand,1,Jesse Ryder,26,15,3,2,173.33,out,T20I # 85
India Vs New Zealand,New Zealand,2,Brendon McCullum,69,55,8,1,125.45,not_out,T20I # 85
India Vs New Zealand,New Zealand,3,Martin Guptill,10,19,1,0,52.63,out,T20I # 85
India Vs New Zealand,New Zealand,4,Ross Taylor,27,25,2,0,108.00,out,T20I # 85
India Vs New Zealand,New Zealand,5,Jacob Oram,0,1,0,0,0.00,out,T20I # 85
India Vs New Zealand,New Zealand,6,Neil Broom,5,3,1,0,166.66,out,T20I # 85
India Vs New Zealand,New Zealand,7,Nathan McCullum,1,2,0,0,50.00,not_out,T20I # 85
England Vs West Indies,England,1,Ravi Bopara,13,11,2,0,118.18,out,T20I # 86
England Vs West Indies,England,2,Steven Davies,27,21,5,0,128.57,out,T20I # 86
England Vs West Indies,England,3,Kevin Pietersen,12,16,0,0,75.00,out,T20I # 86
England Vs West Indies,England,4,Owais Shah,6,12,0,0,50.00,out,T20I # 86
England Vs West Indies,England,5,Paul Collingwood,14,11,2,0,127.27,out,T20I # 86
England Vs West Indies,England,6,Andrew Strauss,22,25,2,0,88.00,out,T20I # 86
England Vs West Indies,England,7,Dimitri Mascarenhas,0,3,0,0,0.00,out,T20I # 86
England Vs West Indies,England,8,Gareth Batty,4,7,0,0,57.14,out,T20I # 86
England Vs West Indies,England,9,Stuart Broad,2,5,0,0,40.00,out,T20I # 86
England Vs West Indies,England,10,Amjad Khan,2,4,0,0,50.00,out,T20I # 86
England Vs West Indies,England,11,James Anderson,0,0,0,0,-,not_out,T20I # 86
England Vs West Indies,West Indies,1,Ramnaresh Sarwan,59,46,4,2,128.26,out,T20I # 86
England Vs West Indies,West Indies,2,Andre Fletcher,6,5,1,0,120.00,out,T20I # 86
England Vs West Indies,West Indies,3,Shivnarine Chanderpaul,12,13,3,0,92.30,out,T20I # 86
England Vs West Indies,West Indies,4,Lendl Simmons,23,32,1,0,71.87,not_out,T20I # 86
England Vs West Indies,West Indies,5,Dwayne Bravo,8,11,1,0,72.72,out,T20I # 86
England Vs West Indies,West Indies,6,Kieron Pollard,4,1,1,0,400.00,not_out,T20I # 86
Australia Vs South Africa,Australia,1,David Warner,38,29,4,1,131.03,out,T20I # 87
Australia Vs South Africa,Australia,2,Michael Clarke,2,6,0,0,33.33,out,T20I # 87
Australia Vs South Africa,Australia,3,Ricky Ponting,1,5,0,0,20.00,out,T20I # 87
Australia Vs South Africa,Australia,4,David Hussey,88,44,5,6,200.00,not_out,T20I # 87
Australia Vs South Africa,Australia,5,Michael Hussey,0,1,0,0,0.00,out,T20I # 87
Australia Vs South Africa,Australia,6,Brad Haddin,0,3,0,0,0.00,out,T20I # 87
Australia Vs South Africa,Australia,7,Cameron White,16,20,0,1,80.00,out,T20I # 87
Australia Vs South Africa,Australia,8,Mitchell Johnson,10,10,1,0,100.00,out,T20I # 87
Australia Vs South Africa,Australia,9,James Hopes,5,2,1,0,250.00,not_out,T20I # 87
Australia Vs South Africa,South Africa,1,Hashim Amla,26,24,3,0,108.33,out,T20I # 87
Australia Vs South Africa,South Africa,2,Herschelle Gibbs,19,12,2,1,158.33,out,T20I # 87
Australia Vs South Africa,South Africa,3,AB de Villiers,7,7,1,0,100.00,out,T20I # 87
