Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
Australia,South Africa,Australia,52 runs,Melbourne,"Jan 11, 2009",T20I # 80
Australia,South Africa,Australia,6 wickets,Brisbane,"Jan 13, 2009",T20I # 81
Sri Lanka,India,India,3 wickets,Colombo (RPS),"Feb 10, 2009",T20I # 82
Australia,New Zealand,Australia,1 runs,Sydney,"Feb 15, 2009",T20I # 83
New Zealand,India,New Zealand,7 wickets,Christchurch,"Feb 25, 2009",T20I # 84
New Zealand,India,New Zealand,5 wickets,Wellington,"Feb 27, 2009",T20I # 85
West Indies,England,West Indies,6 wickets,Port of Spain,"Mar 15, 2009",T20I # 86
South Africa,Australia,South Africa,4 wickets,Johannesburg,"Mar 27, 2009",T20I # 87
South Africa,Australia,South Africa,17 runs,Centurion,"Mar 29, 2009",T20I # 88
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),"May 7, 2009",T20I # 89
England,Netherlands,Netherlands,4 wickets,Lord's,"Jun 5, 2009",T20I # 90
New Zealand,Scotland,New Zealand,7 wickets,The Oval,"Jun 6, 2009",T20I # 91
Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 6, 2009",T20I # 92
Bangladesh,India,India,25 runs,Nottingham,"Jun 6, 2009",T20I # 93
Scotland,South Africa,South Africa,130 runs,The Oval,"Jun 7, 2009",T20I # 94
England,Pakistan,England,48 runs,The Oval,"Jun 7, 2009",T20I # 95
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,"Jun 8, 2009",T20I # 96
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,"Jun 8, 2009",T20I # 97
Netherlands,Pakistan,Pakistan,82 runs,Lord's,"Jun 9, 2009",T20I # 98
New Zealand,South Africa,South Africa,1 runs,Lord's,"Jun 9, 2009",T20I # 99
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,"Jun 10, 2009",T20I # 100
India,Ireland,India,8 wickets,Nottingham,"Jun 10, 2009",T20I # 101
Ireland,New Zealand,New Zealand,83 runs,Nottingham,"Jun 11, 2009",T20I # 102
England,South Africa,South Africa,7 wickets,Nottingham,"Jun 11, 2009",T20I # 103
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,"Jun 12, 2009",T20I # 104
India,West Indies,West Indies,7 wickets,Lord's,"Jun 12, 2009",T20I # 105
South Africa,West Indies,South Africa,20 runs,The Oval,"Jun 13, 2009",T20I # 106
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,"Jun 13, 2009",T20I # 107
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,"Jun 14, 2009",T20I # 108
England,India,England,3 runs,Lord's,"Jun 14, 2009",T20I # 109
Ireland,Pakistan,Pakistan,39 runs,The Oval,"Jun 15, 2009",T20I # 110
England,West Indies,West Indies,5 wickets,The Oval,"Jun 15, 2009",T20I # 111
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,"Jun 16, 2009",T20I # 112
India,South Africa,South Africa,12 runs,Nottingham,"Jun 16, 2009",T20I # 113
Pakistan,South Africa,Pakistan,7 runs,Nottingham,"Jun 18, 2009",T20I # 114
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,"Jun 19, 2009",T20I # 115
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,"Jun 21, 2009",T20I # 116
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,"Aug 2, 2009",T20I # 117
Sri Lanka,Pakistan,Pakistan,52 runs,Colombo (RPS),"Aug 12, 2009",T20I # 118
England,Australia,no result,-,Manchester,"Aug 30, 2009",T20I # 119
Sri Lanka,New Zealand,New Zealand,3 runs,Colombo (RPS),"Sep 2, 2009",T20I # 120
Sri Lanka,New Zealand,New Zealand,22 runs,Colombo (RPS),"Sep 4, 2009",T20I # 121
New Zealand,Pakistan,Pakistan,49 runs,Dubai (DSC),"Nov 12, 2009",T20I # 122
New Zealand,Pakistan,Pakistan,7 runs,Dubai (DSC),"Nov 13, 2009",T20I # 123
South Africa,England,England,1 runs,Johannesburg,"Nov 13, 2009",T20I # 124
South Africa,England,South Africa,84 runs,Centurion,"Nov 15, 2009",T20I # 125
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,"Dec 9, 2009",T20I # 126
India,Sri Lanka,India,6 wickets,Mohali,"Dec 12, 2009",T20I # 127
