match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
West Indies Vs South Africa,South Africa,Shaun Pollock,4,0,19,1,4.75,15,3,0,0,0,T20I # 51
West Indies Vs South Africa,South Africa,Makhaya Ntini,4,0,22,2,5.50,16,2,1,2,0,T20I # 51
West Indies Vs South Africa,South Africa,Albie Morkel,3,0,11,0,3.66,14,2,0,0,0,T20I # 51
West Indies Vs South Africa,South Africa,Morne Morkel,4,0,22,1,5.50,15,0,2,1,0,T20I # 51
West Indies Vs South Africa,South Africa,Johan Botha,3,0,8,1,2.66,10,0,0,0,0,T20I # 51
West Indies Vs South Africa,South Africa,Justin Ontong,2,0,25,1,12.50,2,1,2,1,0,T20I # 51
West Indies Vs South Africa,West Indies,Jerome Taylor,4,0,29,2,7.25,12,4,0,3,0,T20I # 51
West Indies Vs South Africa,West Indies,Fidel Edwards,3.2,0,22,0,6.60,10,2,1,1,0,T20I # 51
West Indies Vs South Africa,West Indies,Daren Sammy,4,0,21,3,5.25,12,1,0,0,0,T20I # 51
West Indies Vs South Africa,West Indies,Ravi Rampaul,4,0,25,0,6.25,11,1,1,0,0,T20I # 51
West Indies Vs South Africa,West Indies,Rawl Lewis,1,0,9,0,9.00,2,1,0,0,0,T20I # 51
West Indies Vs South Africa,West Indies,Marlon Samuels,3,0,24,1,8.00,8,1,2,0,0,T20I # 51
India Vs Australia,Australia,Brett Lee,3,0,13,1,4.33,13,1,0,2,0,T20I # 52
India Vs Australia,Australia,Nathan Bracken,2.3,1,11,3,4.40,8,1,0,0,0,T20I # 52
India Vs Australia,Australia,Ashley Noffke,4,0,23,1,5.75,7,1,0,0,0,T20I # 52
India Vs Australia,Australia,James Hopes,3,0,10,1,3.33,10,0,0,0,0,T20I # 52
India Vs Australia,Australia,David Hussey,3,0,12,1,4.00,10,0,0,1,0,T20I # 52
India Vs Australia,Australia,Adam Voges,2,0,5,2,2.50,7,0,0,0,0,T20I # 52
India Vs Australia,India,Irfan Pathan,3,0,18,0,6.00,8,2,0,0,0,T20I # 52
India Vs Australia,India,Sreesanth,3,0,25,0,8.33,8,1,1,0,0,T20I # 52
India Vs Australia,India,Praveen Kumar,2,0,15,1,7.50,7,0,1,0,0,T20I # 52
India Vs Australia,India,Ishant Sharma,1.2,0,8,0,6.00,4,0,0,1,0,T20I # 52
India Vs Australia,India,Harbhajan Singh,2,0,7,0,3.50,6,0,0,0,0,T20I # 52
England Vs New Zealand,New Zealand,Kyle Mills,4,0,43,2,10.75,5,6,1,0,0,T20I # 53
England Vs New Zealand,New Zealand,Chris Martin,4,0,34,2,8.50,12,5,1,0,0,T20I # 53
England Vs New Zealand,New Zealand,Jacob Oram,4,0,24,1,6.00,9,2,0,1,0,T20I # 53
England Vs New Zealand,New Zealand,Jeetan Patel,3,0,42,1,14.00,2,0,5,0,0,T20I # 53
England Vs New Zealand,New Zealand,Tim Southee,4,0,38,1,9.50,7,5,1,0,0,T20I # 53
England Vs New Zealand,New Zealand,Jesse Ryder,1,0,2,1,2.00,4,0,0,0,0,T20I # 53
England Vs New Zealand,England,Ryan Sidebottom,3.2,0,16,3,4.80,13,2,0,2,0,T20I # 53
England Vs New Zealand,England,James Anderson,4,0,31,1,7.75,10,3,1,3,0,T20I # 53
England Vs New Zealand,England,Stuart Broad,4,0,25,1,6.25,13,3,1,0,0,T20I # 53
England Vs New Zealand,England,Dimitri Mascarenhas,4,0,19,2,4.75,12,2,0,0,0,T20I # 53
England Vs New Zealand,England,Graeme Swann,2,0,16,1,8.00,4,2,0,1,0,T20I # 53
England Vs New Zealand,England,Paul Collingwood,1,0,15,1,15.00,1,1,1,0,0,T20I # 53
England Vs New Zealand,England,Luke Wright,1,0,13,0,13.00,1,0,1,0,0,T20I # 53
England Vs New Zealand,New Zealand,Kyle Mills,4,0,35,1,8.75,10,3,2,1,0,T20I # 54
England Vs New Zealand,New Zealand,Chris Martin,4,0,45,1,11.25,5,6,1,1,0,T20I # 54
England Vs New Zealand,New Zealand,Paul Hitchcock,3,0,43,2,14.33,5,3,4,1,0,T20I # 54
England Vs New Zealand,New Zealand,Tim Southee,4,0,22,2,5.50,10,1,1,0,0,T20I # 54
England Vs New Zealand,New Zealand,Scott Styris,3,0,25,0,8.33,8,3,1,0,0,T20I # 54
England Vs New Zealand,New Zealand,Jesse Ryder,2,0,22,0,11.00,2,2,1,0,0,T20I # 54
England Vs New Zealand,England,James Anderson,4,0,36,1,9.00,9,5,1,0,0,T20I # 54
England Vs New Zealand,England,Ryan Sidebottom,4,0,19,2,4.75,9,1,0,0,0,T20I # 54
England Vs New Zealand,England,Stuart Broad,4,0,31,1,7.75,13,2,2,0,1,T20I # 54
England Vs New Zealand,England,Dimitri Mascarenhas,4,0,25,2,6.25,11,2,1,0,0,T20I # 54
England Vs New Zealand,England,Graeme Swann,4,0,30,2,7.50,5,1,1,0,0,T20I # 54
Pakistan Vs Bangladesh,Bangladesh,Mashrafe Mortaza,3.5,0,38,1,9.91,8,5,0,1,0,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,Shahadat Hossain,4,0,44,1,11.00,7,2,3,0,0,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,Abdur Razzak,4,0,46,1,11.50,5,4,2,2,0,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,Farhad Reza,4,0,41,0,10.25,5,3,2,0,0,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,33,1,8.25,4,0,2,0,0,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,Mahmudullah,0.1,0,1,0,6.00,0,0,0,0,0,T20I # 55
Pakistan Vs Bangladesh,Pakistan,Umar Gul,3,0,19,0,6.33,9,2,0,1,1,T20I # 55
Pakistan Vs Bangladesh,Pakistan,Sohail Tanvir,3,0,23,1,7.66,10,2,1,1,1,T20I # 55
Pakistan Vs Bangladesh,Pakistan,Shoaib Malik,3,0,27,1,9.00,4,0,2,2,0,T20I # 55
Pakistan Vs Bangladesh,Pakistan,Shahid Afridi,4,0,19,1,4.75,9,1,0,0,0,T20I # 55
Pakistan Vs Bangladesh,Pakistan,Wahab Riaz,2,0,7,1,3.50,7,0,0,0,2,T20I # 55
Pakistan Vs Bangladesh,Pakistan,Mansoor Amjad,1,0,3,3,3.00,4,0,0,0,1,T20I # 55
New Zealand Vs England,England,Stuart Broad,4,0,17,2,4.25,15,2,0,0,0,T20I # 56
New Zealand Vs England,England,James Anderson,4,1,25,2,6.25,14,3,1,1,0,T20I # 56
New Zealand Vs England,England,Luke Wright,4,0,32,1,8.00,12,3,2,0,0,T20I # 56
New Zealand Vs England,England,Paul Collingwood,2,0,17,1,8.50,3,1,0,0,0,T20I # 56
New Zealand Vs England,England,Graeme Swann,4,0,21,2,5.25,7,1,0,0,0,T20I # 56
New Zealand Vs England,England,Dimitri Mascarenhas,2,0,10,0,5.00,7,0,1,0,0,T20I # 56
New Zealand Vs England,New Zealand,Kyle Mills,3,0,30,0,10.00,6,6,0,0,0,T20I # 56
New Zealand Vs England,New Zealand,Mark Gillespie,4,1,25,0,6.25,12,4,0,0,0,T20I # 56
New Zealand Vs England,New Zealand,Michael Mason,3,0,18,1,6.00,10,3,0,0,0,T20I # 56
New Zealand Vs England,New Zealand,Daniel Vettori,4,0,27,0,6.75,12,3,1,0,0,T20I # 56
New Zealand Vs England,New Zealand,Scott Styris,2.3,0,20,0,8.00,3,2,0,1,0,T20I # 56
New Zealand Vs England,New Zealand,Daniel Flynn,1,0,7,0,7.00,2,1,0,0,0,T20I # 56
Australia Vs West Indies,West Indies,Jerome Taylor,2,0,23,0,11.50,7,2,2,1,0,T20I # 57
Australia Vs West Indies,West Indies,Sulieman Benn,2,0,19,0,9.50,3,3,0,1,0,T20I # 57
Australia Vs West Indies,West Indies,Fidel Edwards,2,0,12,0,6.00,4,1,0,0,0,T20I # 57
Australia Vs West Indies,West Indies,Kemar Roach,3,0,29,2,9.66,8,2,2,0,1,T20I # 57
Australia Vs West Indies,West Indies,Dwayne Bravo,2,0,12,1,6.00,5,1,0,0,0,T20I # 57
Australia Vs West Indies,Australia,Brett Lee,2,0,26,0,13.00,2,3,1,1,0,T20I # 57
Australia Vs West Indies,Australia,Mitchell Johnson,2,0,30,0,15.00,3,1,3,1,0,T20I # 57
Australia Vs West Indies,Australia,Shane Watson,2.1,0,17,1,7.84,4,1,1,0,0,T20I # 57
Australia Vs West Indies,Australia,James Hopes,2,0,13,0,6.50,5,2,0,0,0,T20I # 57
Australia Vs West Indies,Australia,Cameron White,1,0,8,0,8.00,5,0,1,2,0,T20I # 57
Netherlands Vs Kenya,Kenya,Thomas Odoyo,4,0,15,0,3.75,0,1,4,0,39,T20I # 58
Netherlands Vs Kenya,Kenya,Ragheb Aga,9.75,3,1,1,2,0,26,13.00,0,0,T20I # 58
Netherlands Vs Kenya,Kenya,Peter Ongondo,4,0,24,0,6.00,2,0,4,0,26,T20I # 58
Netherlands Vs Kenya,Kenya,Hiren Varaiya,6.50,0,0,2,2,0,15,7.50,1,0,T20I # 58
Netherlands Vs Kenya,Kenya,Jimmy Kamande,13,11,11,1,2,0,118.18,13,13,19,T20I # 58
Netherlands Vs Kenya,Kenya,Steve Tikolo,2,0,100.00,1,9,16,27,0,0,56.25,T20I # 58
Netherlands Vs Kenya,Netherlands,Edgar Schiferli,4,0,26,3,6.50,0,0,4,0,36,T20I # 58
Scotland Vs Ireland,Ireland,Peter Connell,4,1,12,1,3.00,1,0,4,0,29,T20I # 59
Scotland Vs Ireland,Ireland,Kevin O'Brien,7.25,0,0,2,4,0,21,5.25,1,0,T20I # 59
Scotland Vs Ireland,Ireland,Alex Cusack,2,0,15,4,7.50,1,0,4,0,18,T20I # 59
Scotland Vs Ireland,Ireland,Trent Johnston,4.50,1,0,0,2,0,15,7.50,0,0,T20I # 59
Scotland Vs Ireland,Ireland,Andre Botha,7,9,11,3,1,0,77.77,14,18,27,T20I # 59
Scotland Vs Ireland,Ireland,Kyle McCallan,1,1,77.77,0,22,37,44,1,0,59.45,T20I # 59
Scotland Vs Ireland,Scotland,John Blain,3.5,0,15,1,3.91,1,1,4,0,24,T20I # 59
Scotland Vs Ireland,Scotland,Dewald Nel,6.00,0,0,2,0.1,0,1,6.00,0,0,T20I # 59
Netherlands Vs Canada,Canada,Henry Osinde,4,0,21,2,5.25,2,2,3,0,15,T20I # 60
Netherlands Vs Canada,Canada,Sanjayan Thuraisingam,5.00,0,0,1,2,0,18,9.00,1,0,T20I # 60
Netherlands Vs Canada,Canada,Eion Katchay,4,0,19,1,4.75,0,0,4,0,13,T20I # 60
Netherlands Vs Canada,Canada,Harvir Baidwan,3.25,0,0,4,1.4,0,8,4.80,0,0,T20I # 60
Netherlands Vs Canada,Canada,John Davison,21,38,46,0,1,0,55.26,19,10,12,T20I # 60
Netherlands Vs Canada,Canada,Sunil Dhaniram,0,2,190.00,1,18,16,24,1,1,112.50,T20I # 60
Netherlands Vs Canada,Netherlands,Edgar Schiferli,4,1,13,1,3.25,0,0,1.3,0,12,T20I # 60
Netherlands Vs Canada,Netherlands,Mudassar Bukhari,8.00,0,0,0,4,0,19,4.75,0,0,T20I # 60
Bermuda Vs Scotland,Scotland,John Blain,4,0,15,0,3.75,0,0,4,2,12,T20I # 61
Bermuda Vs Scotland,Scotland,Dewald Nel,3.00,0,0,3,4,0,22,5.50,0,0,T20I # 61
Bermuda Vs Scotland,Scotland,Gordon Drummond,2,0,14,1,7.00,0,0,3,0,12,T20I # 61
Bermuda Vs Scotland,Scotland,Gregor Maiden,4.00,0,0,0,3,0,18,6.00,1,0,T20I # 61
Bermuda Vs Scotland,Scotland,Richie Berrington,7,11,11,1,1,0,63.63,0,1,1,T20I # 61
Bermuda Vs Scotland,Scotland,Ryan Watson,0,0,0.00,1,38,54,63,0,0,70.37,T20I # 61
Bermuda Vs Scotland,Bermuda,George O'Brien,4,0,24,2,6.00,0,0,2.4,0,19,T20I # 61
Bermuda Vs Scotland,Bermuda,Stefan Kelly,7.12,0,0,0,1,0,7,7.00,0,0,T20I # 61
Canada Vs Kenya,Kenya,Thomas Odoyo,4,0,14,1,3.50,0,0,3,0,18,T20I # 62
Canada Vs Kenya,Kenya,Peter Ongondo,6.00,0,0,2,3.4,0,13,3.54,1,1,T20I # 62
Canada Vs Kenya,Kenya,Ragheb Aga,4,0,23,0,5.75,2,0,3,0,11,T20I # 62
Canada Vs Kenya,Kenya,Tony Suji,3.66,0,0,2,2,0,6,3.00,0,0,T20I # 62
