match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
West Indies Vs South Africa,West Indies,1,Devon Smith,12,7,2,0,171.42,out,T20I # 51
West Indies Vs South Africa,West Indies,2,Denesh Ramdin,19,26,2,1,73.07,out,T20I # 51
West Indies Vs South Africa,West Indies,3,Marlon Samuels,4,7,1,0,57.14,out,T20I # 51
West Indies Vs South Africa,West Indies,4,Shivnarine Chanderpaul,10,20,0,0,50.00,out,T20I # 51
West Indies Vs South Africa,West Indies,5,Runako Morton,12,18,2,0,66.66,out,T20I # 51
West Indies Vs South Africa,West Indies,6,Dwayne Bravo,24,17,0,2,141.17,out,T20I # 51
West Indies Vs South Africa,West Indies,7,Rawl Lewis,0,4,0,0,0.00,out,T20I # 51
West Indies Vs South Africa,West Indies,8,Daren Sammy,14,16,1,1,87.50,not_out,T20I # 51
West Indies Vs South Africa,West Indies,9,Jerome Taylor,7,5,0,1,140.00,not_out,T20I # 51
West Indies Vs South Africa,South Africa,1,Herschelle Gibbs,0,3,0,0,0.00,out,T20I # 51
West Indies Vs South Africa,South Africa,2,Graeme Smith,4,4,0,0,100.00,out,T20I # 51
West Indies Vs South Africa,South Africa,3,AB de Villiers,25,22,4,0,113.63,out,T20I # 51
West Indies Vs South Africa,South Africa,4,Jean-Paul Duminy,13,13,2,0,100.00,out,T20I # 51
West Indies Vs South Africa,South Africa,5,Justin Ontong,14,16,0,0,87.50,out,T20I # 51
West Indies Vs South Africa,South Africa,6,Mark Boucher,6,17,0,0,35.29,out,T20I # 51
West Indies Vs South Africa,South Africa,7,Shaun Pollock,36,25,2,2,144.00,not_out,T20I # 51
West Indies Vs South Africa,South Africa,8,Albie Morkel,28,16,2,2,175.00,not_out,T20I # 51
India Vs Australia,India,1,Gautam Gambhir,9,6,1,0,150.00,out,T20I # 52
India Vs Australia,India,2,Virender Sehwag,0,3,0,0,0.00,out,T20I # 52
India Vs Australia,India,3,Dinesh Karthik,8,8,1,0,100.00,out,T20I # 52
India Vs Australia,India,4,Robin Uthappa,1,3,0,0,33.33,out,T20I # 52
India Vs Australia,India,5,Rohit Sharma,8,8,1,0,100.00,out,T20I # 52
India Vs Australia,India,6,MS Dhoni,9,27,0,0,33.33,out,T20I # 52
India Vs Australia,India,7,Irfan Pathan,26,30,0,0,86.66,out,T20I # 52
India Vs Australia,India,8,Praveen Kumar,6,10,0,0,60.00,out,T20I # 52
India Vs Australia,India,9,Harbhajan Singh,1,3,0,0,33.33,out,T20I # 52
India Vs Australia,India,10,Sreesanth,0,1,0,0,0.00,out,T20I # 52
India Vs Australia,India,11,Ishant Sharma,3,6,0,0,50.00,not_out,T20I # 52
India Vs Australia,Australia,1,Adam Gilchrist,25,22,2,1,113.63,out,T20I # 52
India Vs Australia,Australia,2,Michael Clarke,37,36,1,1,102.77,not_out,T20I # 52
India Vs Australia,Australia,3,Brad Hodge,10,10,0,0,100.00,not_out,T20I # 52
England Vs New Zealand,England,1,Phil Mustard,20,13,2,1,153.84,out,T20I # 53
England Vs New Zealand,England,2,Luke Wright,1,3,0,0,33.33,out,T20I # 53
England Vs New Zealand,England,3,Kevin Pietersen,43,23,6,1,186.95,out,T20I # 53
England Vs New Zealand,England,4,Ian Bell,12,10,2,0,120.00,out,T20I # 53
England Vs New Zealand,England,5,Paul Collingwood,26,22,1,1,118.18,out,T20I # 53
England Vs New Zealand,England,6,Owais Shah,23,17,2,1,135.29,out,T20I # 53
England Vs New Zealand,England,7,Dimitri Mascarenhas,31,14,1,4,221.42,out,T20I # 53
England Vs New Zealand,England,8,Graeme Swann,15,10,2,0,150.00,not_out,T20I # 53
England Vs New Zealand,England,9,Stuart Broad,6,4,1,0,150.00,out,T20I # 53
England Vs New Zealand,England,10,Ryan Sidebottom,5,4,1,0,125.00,not_out,T20I # 53
England Vs New Zealand,New Zealand,1,Jesse Ryder,22,21,4,0,104.76,out,T20I # 53
England Vs New Zealand,New Zealand,2,Brendon McCullum,9,7,0,1,128.57,out,T20I # 53
England Vs New Zealand,New Zealand,3,Ross Taylor,0,2,0,0,0.00,out,T20I # 53
England Vs New Zealand,New Zealand,4,Jamie How,6,8,1,0,75.00,out,T20I # 53
England Vs New Zealand,New Zealand,5,Scott Styris,1,8,0,0,12.50,out,T20I # 53
England Vs New Zealand,New Zealand,6,Peter Fulton,8,9,1,0,88.88,out,T20I # 53
England Vs New Zealand,New Zealand,7,Jacob Oram,61,40,7,2,152.50,out,T20I # 53
England Vs New Zealand,New Zealand,8,Kyle Mills,11,8,0,1,137.50,out,T20I # 53
England Vs New Zealand,New Zealand,9,Tim Southee,1,2,0,0,50.00,out,T20I # 53
England Vs New Zealand,New Zealand,10,Jeetan Patel,5,5,0,0,100.00,out,T20I # 53
England Vs New Zealand,New Zealand,11,Chris Martin,5,6,0,0,83.33,not_out,T20I # 53
England Vs New Zealand,England,1,Phil Mustard,40,24,3,3,166.66,out,T20I # 54
England Vs New Zealand,England,2,Luke Wright,30,19,5,1,157.89,out,T20I # 54
England Vs New Zealand,England,3,Kevin Pietersen,3,3,0,0,100.00,out,T20I # 54
England Vs New Zealand,England,4,Ian Bell,1,4,0,0,25.00,out,T20I # 54
England Vs New Zealand,England,5,Paul Collingwood,54,28,5,3,192.85,out,T20I # 54
England Vs New Zealand,England,6,Owais Shah,47,35,4,2,134.28,out,T20I # 54
England Vs New Zealand,England,7,Dimitri Mascarenhas,11,4,1,1,275.00,out,T20I # 54
England Vs New Zealand,England,8,Graeme Swann,3,2,0,0,150.00,not_out,T20I # 54
England Vs New Zealand,England,9,Stuart Broad,0,1,0,0,0.00,out,T20I # 54
England Vs New Zealand,New Zealand,1,Jesse Ryder,12,13,2,0,92.30,out,T20I # 54
England Vs New Zealand,New Zealand,2,Brendon McCullum,5,9,0,0,55.55,out,T20I # 54
England Vs New Zealand,New Zealand,3,Ross Taylor,21,10,1,2,210.00,out,T20I # 54
England Vs New Zealand,New Zealand,4,Jamie How,31,25,3,0,124.00,out,T20I # 54
England Vs New Zealand,New Zealand,5,Scott Styris,13,14,0,1,92.85,out,T20I # 54
England Vs New Zealand,New Zealand,6,Peter Fulton,2,5,0,0,40.00,out,T20I # 54
England Vs New Zealand,New Zealand,7,Daniel Flynn,1,2,0,0,50.00,out,T20I # 54
England Vs New Zealand,New Zealand,8,Kyle Mills,30,22,2,1,136.36,not_out,T20I # 54
England Vs New Zealand,New Zealand,9,Paul Hitchcock,13,11,1,1,118.18,out,T20I # 54
England Vs New Zealand,New Zealand,10,Tim Southee,12,10,2,0,120.00,not_out,T20I # 54
Pakistan Vs Bangladesh,Pakistan,1,Salman Butt,1,1,0,0,100.00,out,T20I # 55
Pakistan Vs Bangladesh,Pakistan,2,Kamran Akmal,0,5,0,0,0.00,out,T20I # 55
Pakistan Vs Bangladesh,Pakistan,3,Younis Khan,47,28,7,0,167.85,out,T20I # 55
Pakistan Vs Bangladesh,Pakistan,4,Misbah-ul-Haq,87,53,3,5,164.15,not_out,T20I # 55
Pakistan Vs Bangladesh,Pakistan,5,Shoaib Malik,35,18,2,3,194.44,out,T20I # 55
Pakistan Vs Bangladesh,Pakistan,6,Shahid Afridi,10,8,1,0,125.00,out,T20I # 55
Pakistan Vs Bangladesh,Pakistan,7,Fawad Alam,16,7,1,1,228.57,not_out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,1,Tamim Iqbal,23,17,4,0,135.29,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,2,Nazimuddin,42,48,0,3,87.50,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,3,Mohammad Ashraful,13,11,1,0,118.18,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,4,Aftab Ahmed,3,5,0,0,60.00,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,5,Shakib Al Hasan,0,1,0,0,0.00,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,6,Farhad Reza,2,4,0,0,50.00,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,7,Dhiman Ghosh,1,2,0,0,50.00,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,8,Mahmudullah,2,5,0,0,40.00,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,9,Mashrafe Mortaza,2,4,0,0,50.00,out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,10,Abdur Razzak,1,3,0,0,33.33,not_out,T20I # 55
Pakistan Vs Bangladesh,Bangladesh,11,Shahadat Hossain,0,1,0,0,0.00,out,T20I # 55
New Zealand Vs England,New Zealand,1,Jamie How,1,5,0,0,20.00,out,T20I # 56
New Zealand Vs England,New Zealand,2,Brendon McCullum,24,23,1,1,104.34,out,T20I # 56
New Zealand Vs England,New Zealand,3,James Marshall,13,11,2,0,118.18,out,T20I # 56
New Zealand Vs England,New Zealand,4,Ross Taylor,25,18,3,2,138.88,out,T20I # 56
New Zealand Vs England,New Zealand,5,Scott Styris,10,22,0,0,45.45,out,T20I # 56
New Zealand Vs England,New Zealand,6,Peter Fulton,0,2,0,0,0.00,out,T20I # 56
New Zealand Vs England,New Zealand,7,Daniel Flynn,23,19,1,1,121.05,out,T20I # 56
New Zealand Vs England,New Zealand,8,Daniel Vettori,11,11,1,0,100.00,not_out,T20I # 56
New Zealand Vs England,New Zealand,9,Kyle Mills,12,7,2,0,171.42,out,T20I # 56
New Zealand Vs England,New Zealand,10,Michael Mason,2,2,0,0,100.00,out,T20I # 56
New Zealand Vs England,England,1,Ian Bell,60,46,9,1,130.43,not_out,T20I # 56
New Zealand Vs England,England,2,Luke Wright,24,18,5,0,133.33,out,T20I # 56
New Zealand Vs England,England,3,Kevin Pietersen,42,41,5,0,102.43,not_out,T20I # 56
Australia Vs West Indies,Australia,1,Shaun Marsh,29,22,1,2,131.81,out,T20I # 57
Australia Vs West Indies,Australia,2,Luke Ronchi,36,22,6,1,163.63,out,T20I # 57
Australia Vs West Indies,Australia,3,Shane Watson,17,15,1,1,113.33,not_out,T20I # 57
Australia Vs West Indies,Australia,4,David Hussey,0,2,0,0,0.00,out,T20I # 57
Australia Vs West Indies,Australia,5,Cameron White,10,6,1,0,166.66,not_out,T20I # 57
Australia Vs West Indies,West Indies,1,Xavier Marshall,36,15,3,3,240.00,out,T20I # 57
Australia Vs West Indies,West Indies,2,William Perkins,9,11,1,0,81.81,out,T20I # 57
Australia Vs West Indies,West Indies,3,Denesh Ramdin,8,6,1,0,133.33,out,T20I # 57
Australia Vs West Indies,West Indies,4,Dwayne Bravo,28,15,1,3,186.66,not_out,T20I # 57
Australia Vs West Indies,West Indies,5,Andre Fletcher,6,8,1,0,75.00,not_out,T20I # 57
Netherlands Vs Kenya,Netherlands,1,Darron Reekers,29,24,6,0,120.83,out,T20I # 58
Netherlands Vs Kenya,Netherlands,2,Eric Szwarczynski,28,21,2,1,133.33,out,T20I # 58
Netherlands Vs Kenya,Netherlands,3,Ryan ten Doeschate,56,45,1,3,124.44,out,T20I # 58
Netherlands Vs Kenya,Netherlands,4,Daan van Bunge,12,13,0,0,92.30,out,T20I # 58
Netherlands Vs Kenya,Netherlands,5,Peter Borren,1,5,0,0,20.00,out,T20I # 58
Netherlands Vs Kenya,Netherlands,6,Tom de Grooth,10,14,0,0,71.42,not_out,T20I # 58
Netherlands Vs Kenya,Netherlands,7,Mudassar Bukhari,0,0,0,0,-,not_out,T20I # 58
Netherlands Vs Kenya,Kenya,1,Morris Ouma,37,33,3,1,112.12,out,T20I # 58
Netherlands Vs Kenya,Kenya,2,Kennedy Otieno,17,17,0,0,100.00,out,T20I # 58
Netherlands Vs Kenya,Kenya,3,Alex Obanda,12,13,0,1,92.30,out,T20I # 58
Netherlands Vs Kenya,Kenya,4,Steve Tikolo,16,6,0,1,266.66,out,T20I # 58
Netherlands Vs Kenya,Kenya,5,Thomas Odoyo,11,10,1,0,110.00,out,T20I # 58
Netherlands Vs Kenya,Kenya,6,Ragheb Aga,1,2,0,0,50.00,out,T20I # 58
Netherlands Vs Kenya,Kenya,7,Collins Obuya,0,0,0,0,-,out,T20I # 58
Netherlands Vs Kenya,Kenya,8,Jimmy Kamande,4,0,5.75,1,1,out,T20I # 58
Netherlands Vs Kenya,Kenya,9,Peter Ongondo,4,0,5.00,0,0,out,T20I # 58
Netherlands Vs Kenya,Kenya,10,Tony Suji,4,0,6.75,1,0,not_out,T20I # 58
Scotland Vs Ireland,Scotland,1,Gavin Hamilton,3,9,0,0,33.33,out,T20I # 59
Scotland Vs Ireland,Scotland,2,Ryan Watson,24,16,3,1,150.00,out,T20I # 59
Scotland Vs Ireland,Scotland,3,Kyle Coetzer,11,20,1,0,55.00,out,T20I # 59
Scotland Vs Ireland,Scotland,4,Colin Smith,1,2,0,0,50.00,out,T20I # 59
Scotland Vs Ireland,Scotland,5,Richie Berrington,17,23,1,0,73.91,out,T20I # 59
Scotland Vs Ireland,Scotland,6,Neil McCallum,27,25,3,0,108.00,out,T20I # 59
Scotland Vs Ireland,Scotland,7,Gregor Maiden,0,1,0,0,0.00,out,T20I # 59
Scotland Vs Ireland,Scotland,8,Gordon Drummond,11,12,0,0,91.66,out,T20I # 59
Scotland Vs Ireland,Scotland,9,John Blain,1,2,0,0,50.00,out,T20I # 59
Scotland Vs Ireland,Scotland,10,Glenn Rogers,6,5,0,0,120.00,not_out,T20I # 59
Scotland Vs Ireland,Scotland,11,Dewald Nel,5,5,0,0,100.00,out,T20I # 59
Scotland Vs Ireland,Ireland,1,William Porterfield,38,34,1,1,111.76,out,T20I # 59
Scotland Vs Ireland,Ireland,2,Gary Wilson,3,4,0,0,75.00,out,T20I # 59
Scotland Vs Ireland,Ireland,3,Niall O'Brien,5,6,0,0,83.33,out,T20I # 59
Scotland Vs Ireland,Ireland,4,Andre Botha,11,9,1,0,122.22,out,T20I # 59
Scotland Vs Ireland,Ireland,5,Kevin O'Brien,5,4,0,0,125.00,out,T20I # 59
