match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
New Zealand Vs West Indies,West Indies,Sheldon Cottrell,2,0,21,1,10.50,4,0,2,1,0,T20I # 637
New Zealand Vs West Indies,West Indies,Samuel Badree,3,0,23,1,7.66,9,4,0,0,0,T20I # 637
New Zealand Vs West Indies,West Indies,Carlos Brathwaite,1,0,21,0,21.00,0,3,1,1,0,T20I # 637
New Zealand Vs West Indies,West Indies,Kesrick Williams,1,0,24,1,24.00,1,4,1,0,1,T20I # 637
New Zealand Vs West Indies,West Indies,Ashley Nurse,2,0,13,1,6.50,4,1,0,0,0,T20I # 637
New Zealand Vs West Indies,West Indies,Jerome Taylor,4,0,53,1,13.25,6,4,4,0,1,T20I # 638
New Zealand Vs West Indies,West Indies,Samuel Badree,4,0,51,0,12.75,6,5,3,1,0,T20I # 638
New Zealand Vs West Indies,West Indies,Ashley Nurse,4,0,43,0,10.75,4,2,3,0,0,T20I # 638
New Zealand Vs West Indies,West Indies,Carlos Brathwaite,4,0,50,2,12.50,4,1,3,2,0,T20I # 638
New Zealand Vs West Indies,West Indies,Rayad Emrit,4,0,42,1,10.50,5,0,4,0,0,T20I # 638
New Zealand Vs West Indies,New Zealand,Tim Southee,2.3,0,21,3,8.40,8,3,1,0,0,T20I # 638
New Zealand Vs West Indies,New Zealand,Trent Boult,4,0,29,2,7.25,12,3,0,3,2,T20I # 638
New Zealand Vs West Indies,New Zealand,Anaru Kitchen,4,0,33,1,8.25,12,3,2,1,0,T20I # 638
New Zealand Vs West Indies,New Zealand,Mitchell Santner,2,0,16,0,8.00,4,1,1,0,0,T20I # 638
New Zealand Vs West Indies,New Zealand,Ish Sodhi,4,0,25,2,6.25,14,0,3,0,0,T20I # 638
Pakistan Vs New Zealand,New Zealand,Seth Rance,4,0,26,3,6.50,14,1,2,1,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Tim Southee,4,0,13,3,3.25,15,0,0,1,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Colin de Grandhomme,2,0,11,0,5.50,5,1,0,0,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Anaru Kitchen,1,0,3,1,3.00,3,0,0,0,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Ish Sodhi,4,0,25,0,6.25,10,1,1,1,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Mitchell Santner,4,0,15,2,3.75,10,0,0,0,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Colin Munro,0.4,0,12,1,18.00,1,1,1,0,0,T20I # 639
Pakistan Vs New Zealand,Pakistan,Mohammad Amir,3,0,13,0,4.33,8,0,0,1,0,T20I # 639
Pakistan Vs New Zealand,Pakistan,Rumman Raees,4,0,24,2,6.00,12,2,1,1,0,T20I # 639
Pakistan Vs New Zealand,Pakistan,Shadab Khan,4,0,18,1,4.50,15,1,1,0,0,T20I # 639
Pakistan Vs New Zealand,Pakistan,Hasan Ali,2.5,0,28,0,9.88,6,5,0,1,0,T20I # 639
Pakistan Vs New Zealand,Pakistan,Faheem Ashraf,1,0,8,0,8.00,0,0,0,0,0,T20I # 639
Pakistan Vs New Zealand,Pakistan,Mohammad Nawaz,1,0,14,0,14.00,0,1,1,0,0,T20I # 639
Pakistan Vs New Zealand,New Zealand,Trent Boult,4,0,37,0,9.25,8,5,1,1,0,T20I # 640
Pakistan Vs New Zealand,New Zealand,Seth Rance,4,0,47,1,11.75,7,5,2,3,0,T20I # 640
Pakistan Vs New Zealand,New Zealand,Ben Wheeler,4,0,36,2,9.00,10,5,1,1,0,T20I # 640
Pakistan Vs New Zealand,New Zealand,Ish Sodhi,4,0,32,0,8.00,6,2,1,1,0,T20I # 640
Pakistan Vs New Zealand,New Zealand,Mitchell Santner,2,0,30,0,15.00,0,0,3,2,0,T20I # 640
Pakistan Vs New Zealand,New Zealand,Colin de Grandhomme,2,0,18,1,9.00,2,2,0,1,0,T20I # 640
Pakistan Vs New Zealand,Pakistan,Mohammad Amir,4,0,28,2,7.00,12,1,2,0,0,T20I # 640
Pakistan Vs New Zealand,Pakistan,Rumman Raees,3,0,27,1,9.00,5,3,0,1,1,T20I # 640
Pakistan Vs New Zealand,Pakistan,Faheem Ashraf,3.3,0,22,3,6.28,13,2,1,1,0,T20I # 640
Pakistan Vs New Zealand,Pakistan,Hasan Ali,4,0,27,1,6.75,9,2,1,0,0,T20I # 640
Pakistan Vs New Zealand,Pakistan,Shadab Khan,4,0,37,2,9.25,7,2,2,2,0,T20I # 640
Pakistan Vs New Zealand,New Zealand,Tim Southee,0,4,0,0,33,8.25,9,4,0,1,T20I # 641
Pakistan Vs New Zealand,New Zealand,Trent Boult,0,4,0,1,36,9.00,10,5,1,1,T20I # 641
Pakistan Vs New Zealand,New Zealand,Colin de Grandhomme,0,4,0,1,47,11.75,5,2,3,0,T20I # 641
Pakistan Vs New Zealand,New Zealand,Ish Sodhi,1,4,0,2,24,6.00,9,2,0,0,T20I # 641
Pakistan Vs New Zealand,New Zealand,Mitchell Santner,0,59,43,2,2,4,137.20,9,14,1,T20I # 641
Pakistan Vs New Zealand,Pakistan,Aamer Yamin,1,0,4,1,0,23,5.75,11,1,1,T20I # 641
Pakistan Vs New Zealand,Pakistan,Rumman Raees,1,0,4,1,0,55,13.75,7,4,4,T20I # 641
