Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
New Zealand,West Indies,no result,-,Mount Maunganui,"Jan 1, 2018",T20I # 637
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,"Jan 3, 2018",T20I # 638
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 22, 2018",T20I # 639
New Zealand,Pakistan,Pakistan,48 runs,Auckland,"Jan 25, 2018",T20I # 640
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,"Jan 28, 2018",T20I # 641
Australia,New Zealand,Australia,7 wickets,Sydney,"Feb 3, 2018",T20I # 642
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,"Feb 5, 2018",T20I # 643
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,"Feb 6, 2018",T20I # 644
Australia,England,Australia,5 wickets,Hobart,"Feb 7, 2018",T20I # 645
Australia,England,Australia,7 wickets,Melbourne,"Feb 10, 2018",T20I # 646
New Zealand,England,New Zealand,12 runs,Wellington,"Feb 13, 2018",T20I # 647
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Feb 15, 2018",T20I # 648
New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 16, 2018",T20I # 649
New Zealand,England,England,2 runs,Hamilton,"Feb 18, 2018",T20I # 650
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,"Feb 18, 2018",T20I # 651
South Africa,India,India,28 runs,Johannesburg,"Feb 18, 2018",T20I # 652
New Zealand,Australia,Australia,19 runs,Auckland,"Feb 21, 2018",T20I # 653
South Africa,India,South Africa,6 wickets,Centurion,"Feb 21, 2018",T20I # 654
South Africa,India,India,7 runs,Cape Town,"Feb 24, 2018",T20I # 655
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),"Mar 6, 2018",T20I # 656
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018",T20I # 657
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),"Mar 10, 2018",T20I # 658
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Mar 12, 2018",T20I # 659
Bangladesh,India,India,17 runs,Colombo (RPS),"Mar 14, 2018",T20I # 660
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),"Mar 16, 2018",T20I # 661
Bangladesh,India,India,4 wickets,Colombo (RPS),"Mar 18, 2018",T20I # 662
Pakistan,West Indies,Pakistan,143 runs,Karachi,"Apr 1, 2018",T20I # 663
Pakistan,West Indies,Pakistan,82 runs,Karachi,"Apr 2, 2018",T20I # 664
Pakistan,West Indies,Pakistan,8 wickets,Karachi,"Apr 3, 2018",T20I # 665
