match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
New Zealand Vs West Indies,New Zealand,1,Martin Guptill,2,4,0,0,50.00,out,T20I # 637
New Zealand Vs West Indies,New Zealand,2,Colin Munro,66,23,11,3,286.95,out,T20I # 637
New Zealand Vs West Indies,New Zealand,3,Kane Williamson,17,15,1,0,113.33,not_out,T20I # 637
New Zealand Vs West Indies,New Zealand,4,Glenn Phillips,10,5,0,1,200.00,out,T20I # 637
New Zealand Vs West Indies,New Zealand,5,Tom Bruce,3,7,0,0,42.85,out,T20I # 637
New Zealand Vs West Indies,New Zealand,6,Anaru Kitchen,1,1,0,0,100.00,not_out,T20I # 637
New Zealand Vs West Indies,New Zealand,1,Martin Guptill,63,38,5,2,165.78,out,T20I # 638
New Zealand Vs West Indies,New Zealand,2,Colin Munro,104,53,3,10,196.22,out,T20I # 638
New Zealand Vs West Indies,New Zealand,3,Tom Bruce,23,14,2,1,164.28,out,T20I # 638
New Zealand Vs West Indies,New Zealand,4,Anaru Kitchen,9,3,0,1,300.00,out,T20I # 638
New Zealand Vs West Indies,New Zealand,5,Kane Williamson,19,8,2,1,237.50,out,T20I # 638
New Zealand Vs West Indies,New Zealand,6,Glenn Phillips,7,4,0,1,175.00,not_out,T20I # 638
New Zealand Vs West Indies,New Zealand,7,Mitchell Santner,6,1,0,1,600.00,not_out,T20I # 638
New Zealand Vs West Indies,West Indies,1,Chadwick Walton,0,1,0,0,0.00,out,T20I # 638
New Zealand Vs West Indies,West Indies,2,Chris Gayle,0,2,0,0,0.00,out,T20I # 638
New Zealand Vs West Indies,West Indies,3,Andre Fletcher,46,32,4,3,143.75,out,T20I # 638
New Zealand Vs West Indies,West Indies,4,Rovman Powell,16,8,4,0,200.00,out,T20I # 638
New Zealand Vs West Indies,West Indies,5,Shimron Hetmyer,7,3,0,1,233.33,out,T20I # 638
