match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
New Zealand Vs Sri Lanka,Sri Lanka,Lasith Malinga,4,0,24,2,6.00,11,1,1,1,0,T20I # 718
New Zealand Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,44,3,11.00,9,2,4,1,0,T20I # 718
New Zealand Vs Sri Lanka,Sri Lanka,Thisara Perera,4,0,42,1,10.50,7,3,3,1,0,T20I # 718
New Zealand Vs Sri Lanka,Sri Lanka,Lahiru Kumara,4,0,24,0,6.00,12,0,1,1,1,T20I # 718
New Zealand Vs Sri Lanka,Sri Lanka,Lakshan Sandakan,4,0,41,1,10.25,7,1,3,5,0,T20I # 718
New Zealand Vs Sri Lanka,New Zealand,Lockie Ferguson,3,0,21,3,7.00,10,2,1,1,0,T20I # 718
New Zealand Vs Sri Lanka,New Zealand,Tim Southee,2,0,21,1,10.50,4,2,1,1,0,T20I # 718
New Zealand Vs Sri Lanka,New Zealand,Scott Kuggeleijn,3,0,26,1,8.66,7,2,0,1,0,T20I # 718
New Zealand Vs Sri Lanka,New Zealand,Doug Bracewell,2,0,19,1,9.50,2,0,1,0,0,T20I # 718
New Zealand Vs Sri Lanka,New Zealand,Mitchell Santner,3,0,27,1,9.00,3,2,1,1,0,T20I # 718
New Zealand Vs Sri Lanka,New Zealand,Ish Sodhi,3.5,0,30,3,7.82,10,3,1,2,0,T20I # 718
Bahrain Vs Saudi Arabia,Saudi Arabia,Ibrarul Haq,-,5,0,1,4,0,35,8.75,-,-,T20I # 719
Bahrain Vs Saudi Arabia,Saudi Arabia,Abdul Wahid,-,4,0,1,4,0,42,10.50,-,-,T20I # 719
Bahrain Vs Saudi Arabia,Saudi Arabia,Mohammad Adnan,-,5,0,0,4,0,24,6.00,-,-,T20I # 719
Bahrain Vs Saudi Arabia,Saudi Arabia,Usman Ali,-,0,0,1,4,0,29,7.25,-,-,T20I # 719
Bahrain Vs Saudi Arabia,Saudi Arabia,Shoaib Ali,-,1,0,0,1,0,13,13.00,-,-,T20I # 719
Bahrain Vs Saudi Arabia,Saudi Arabia,Muhammad Naeem,-,0,0,0,8,7,1,0,114.28,22,T20I # 719
Bahrain Vs Saudi Arabia,Bahrain,Imran Anwar,0,3,0,1,20,6.66,-,-,-,1,T20I # 719
Bahrain Vs Saudi Arabia,Bahrain,Qasim Zia,0,4,0,1,20,5.00,-,-,-,0,T20I # 719
Bahrain Vs Saudi Arabia,Bahrain,Anasim Khan,0,3,0,0,31,10.33,-,-,-,0,T20I # 719
Bahrain Vs Saudi Arabia,Bahrain,Sarfaraz Ali,0,3,0,2,18,6.00,-,-,-,0,T20I # 719
Maldives Vs Kuwait,Kuwait,Imran Ali,17,8.50,-,3,-,-,0,0,3,1,T20I # 720
Maldives Vs Kuwait,Kuwait,Fiaz Ahmad,7,2.33,-,0,-,-,0,0,4,0,T20I # 720
Maldives Vs Kuwait,Kuwait,Arjun Makesh,26,6.50,-,0,-,-,3,0,4,1,T20I # 720
Maldives Vs Kuwait,Kuwait,Wasantha Kumaranayaka,13,3.25,-,2,-,-,1,0,2.4,0,T20I # 720
Maldives Vs Kuwait,Kuwait,Muhammad Kashif,13,4.87,-,1,-,-,0,0,68,36,T20I # 720
Maldives Vs Kuwait,Kuwait,Morshed Mostafa Sarwar,6,4,188.88,2,8,4,1,0,200.00,22,T20I # 720
Maldives Vs Kuwait,Maldives,Ibrahim Hassan,-,0,0,1,2,0,27,13.50,-,-,T20I # 720
Maldives Vs Kuwait,Maldives,Shafee Saeed,-,0,0,0,3,0,11,3.66,-,-,T20I # 720
Maldives Vs Kuwait,Maldives,Mohamed Mahfooz,-,0,0,0,1.3,0,26,17.33,-,-,T20I # 720
Maldives Vs Bahrain,Bahrain,Imran Anwar,-,0,1,2,3,0,25,8.33,-,-,T20I # 721
Maldives Vs Bahrain,Bahrain,Qasim Zia,-,1,0,0,4,0,23,5.75,-,-,T20I # 721
Maldives Vs Bahrain,Bahrain,Anasim Khan,-,0,0,0,4,0,21,5.25,-,-,T20I # 721
Maldives Vs Bahrain,Bahrain,Tahir Dar,-,0,0,1,3,0,28,9.33,-,-,T20I # 721
Maldives Vs Bahrain,Bahrain,Sarfaraz Ali,-,0,0,0,2,0,19,9.50,-,-,T20I # 721
Maldives Vs Bahrain,Bahrain,Babar Ali,-,0,0,1,0,2,0,0,0.00,59,T20I # 721
Maldives Vs Bahrain,Maldives,Ibrahim Hassan,1,0,4,5,0,29,7.25,-,-,-,T20I # 721
Maldives Vs Bahrain,Maldives,Shafee Saeed,3,0,4,0,0,24,6.00,-,-,-,T20I # 721
Maldives Vs Bahrain,Maldives,Ameel Mauroof,0,0,3,2,0,31,10.33,-,-,-,T20I # 721
Maldives Vs Bahrain,Maldives,Mohamed Mahfooz,0,0,2,1,0,13,6.50,-,-,-,T20I # 721
Saudi Arabia Vs Qatar,Qatar,Awais Malik,16,8.00,-,0,-,-,0,0,4,1,T20I # 722
Saudi Arabia Vs Qatar,Qatar,Nouman Sarwar,11,2.75,-,2,-,-,0,0,4,1,T20I # 722
Saudi Arabia Vs Qatar,Qatar,Tamoor Sajjad,13,3.25,-,3,-,-,0,0,4,0,T20I # 722
Saudi Arabia Vs Qatar,Qatar,Inam-ul-Haq,43,10.75,-,1,-,-,1,0,4,0,T20I # 722
Saudi Arabia Vs Qatar,Qatar,Mohammed Nadeem,26,6.50,-,1,-,-,0,0,6,3,T20I # 722
Saudi Arabia Vs Qatar,Qatar,Iqbal Hussain,1,0,200.00,3,43,26,8,0,165.38,21,T20I # 722
Saudi Arabia Vs Qatar,Saudi Arabia,Ibrarul Haq,0,21,7.00,1,-,-,-,0,0,3.3,T20I # 722
Saudi Arabia Vs Qatar,Saudi Arabia,Abdul Wahid,0,31,8.85,0,-,-,-,0,0,3,T20I # 722
Saudi Arabia Vs Qatar,Saudi Arabia,Usman Ali,0,16,5.33,1,-,-,-,0,0,1,T20I # 722
Saudi Arabia Vs Qatar,Saudi Arabia,Shoaib Ali,0,7,7.00,0,-,-,-,1,0,2,T20I # 722
Qatar Vs Kuwait,Kuwait,Wasantha Kumaranayaka,0,2,0,1,26,13.00,-,-,-,2,T20I # 723
