Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
India,South Africa,India,1 runs,Colombo (RPS),"Oct 2, 2012",T20I # 286
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),"Oct 4, 2012",T20I # 287
Australia,West Indies,West Indies,74 runs,Colombo (RPS),"Oct 5, 2012",T20I # 288
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),"Oct 7, 2012",T20I # 289
Sri Lanka,New Zealand,no result,-,Pallekele,"Oct 30, 2012",T20I # 290
Bangladesh,West Indies,West Indies,18 runs,Mirpur,"Dec 10, 2012",T20I # 291
India,England,India,5 wickets,Pune,"Dec 20, 2012",T20I # 292
South Africa,New Zealand,South Africa,8 wickets,Durban,"Dec 21, 2012",T20I # 293
India,England,England,6 wickets,Wankhede,"Dec 22, 2012",T20I # 294
South Africa,New Zealand,New Zealand,8 wickets,East London,"Dec 23, 2012",T20I # 295
India,Pakistan,Pakistan,5 wickets,Bengaluru,"Dec 25, 2012",T20I # 296
South Africa,New Zealand,South Africa,33 runs,Gqeberha,"Dec 26, 2012",T20I # 297
India,Pakistan,India,11 runs,Ahmedabad,"Dec 28, 2012",T20I # 298
