match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Afghanistan Vs Ireland,Afghanistan,1,Karim Sadiq,3,6,0,0,50.00,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,2,Shafiqullah,23,16,3,1,143.75,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,3,Mohammad Shahzad,10,8,2,0,125.00,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,4,Nawroz Mangal,27,25,5,0,108.00,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,5,Asghar Afghan,1,5,0,0,20.00,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,6,Raees Ahmadzai,33,36,2,0,91.66,not_out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,7,Mohammad Nabi,2,5,0,0,40.00,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,8,Samiullah Shinwari,14,11,0,1,127.27,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,9,Hamid Hassan,2,3,0,0,66.66,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,10,Shapoor Zadran,0,2,0,0,0.00,out,T20I # 128
Afghanistan Vs Ireland,Afghanistan,11,Dawlat Ahmadzai,2,3,0,0,66.66,not_out,T20I # 128
Afghanistan Vs Ireland,Ireland,1,William Porterfield,46,30,9,0,153.33,out,T20I # 128
Afghanistan Vs Ireland,Ireland,2,Niall O'Brien,18,13,3,0,138.46,out,T20I # 128
Afghanistan Vs Ireland,Ireland,3,Paul Stirling,17,29,1,0,58.62,out,T20I # 128
Afghanistan Vs Ireland,Ireland,4,Andre Botha,5,10,0,0,50.00,out,T20I # 128
Afghanistan Vs Ireland,Ireland,5,Kevin O'Brien,1,2,0,0,50.00,out,T20I # 128
Afghanistan Vs Ireland,Ireland,6,John Mooney,8,9,1,0,88.88,not_out,T20I # 128
Afghanistan Vs Ireland,Ireland,7,Gary Wilson,16,16,2,0,100.00,not_out,T20I # 128
Scotland Vs Kenya,Scotland,1,Fraser Watts,16,17,2,94.11,13,out,T20I # 129
Scotland Vs Kenya,Scotland,2,Ryan Watson,10,3,130.00,6,6,out,T20I # 129
Scotland Vs Kenya,Scotland,3,Kyle Coetzer,1,0,0,1,0,out,T20I # 129
Scotland Vs Kenya,Scotland,4,Jan Stander,0,0.00,13,0,0,out,T20I # 129
Scotland Vs Kenya,Scotland,5,Gavin Hamilton,61.53,6,0,0,60.00,out,T20I # 129
Scotland Vs Kenya,Scotland,6,Richie Berrington,9,20,0,45.00,4,out,T20I # 129
Scotland Vs Kenya,Scotland,7,Simon Smith,15,0,26.66,21,20,out,T20I # 129
Scotland Vs Kenya,Scotland,8,Ross Lyons,1,1,4,3,1,out,T20I # 129
Scotland Vs Kenya,Scotland,9,Majid Haq,0,133.33,5,1,0,not_out,T20I # 129
Scotland Vs Kenya,Scotland,10,Gordon Goudie,140.00,2,13,6.50,7,out,T20I # 129
Scotland Vs Kenya,Scotland,11,Dewald Nel,1,1,0,2,0,not_out,T20I # 129
Scotland Vs Kenya,Kenya,1,David Obuya,0,25,8,4,0,not_out,T20I # 129
Scotland Vs Kenya,Kenya,2,Steve Tikolo,1,1,0,20,20.00,not_out,T20I # 129
Canada Vs Ireland,Canada,1,Hiral Patel,88,61,9,2,144.26,not_out,T20I # 130
Canada Vs Ireland,Canada,2,Rizwan Cheema,34,30,5,1,113.33,out,T20I # 130
Canada Vs Ireland,Canada,3,Ashish Bagai,42,27,5,0,155.55,out,T20I # 130
Canada Vs Ireland,Canada,4,Umar Bhatti,6,2,0,1,300.00,out,T20I # 130
Canada Vs Ireland,Canada,5,Khurram Chohan,0,0,0,0,-,not_out,T20I # 130
Canada Vs Ireland,Ireland,1,William Porterfield,19,13,3,0,146.15,out,T20I # 130
Canada Vs Ireland,Ireland,2,Niall O'Brien,50,34,5,1,147.05,out,T20I # 130
Canada Vs Ireland,Ireland,3,Paul Stirling,22,17,2,1,129.41,out,T20I # 130
Canada Vs Ireland,Ireland,4,Kevin O'Brien,5,2,1,0,250.00,out,T20I # 130
Canada Vs Ireland,Ireland,5,Gary Wilson,26,22,4,0,118.18,out,T20I # 130
Canada Vs Ireland,Ireland,6,Andre Botha,11,11,1,0,100.00,out,T20I # 130
Canada Vs Ireland,Ireland,7,Trent Johnston,2,3,0,0,66.66,out,T20I # 130
Canada Vs Ireland,Ireland,8,John Mooney,9,5,1,0,180.00,out,T20I # 130
Canada Vs Ireland,Ireland,9,Andrew White,18,13,3,0,138.46,not_out,T20I # 130
Canada Vs Ireland,Ireland,10,Gary Kidd,1,1,0,0,100.00,not_out,T20I # 130
Bangladesh Vs New Zealand,Bangladesh,1,Tamim Iqbal,14,9,3,0,155.55,out,T20I # 131
Bangladesh Vs New Zealand,Bangladesh,2,Mohammad Ashraful,11,14,1,0,78.57,out,T20I # 131
Bangladesh Vs New Zealand,Bangladesh,3,Aftab Ahmed,12,14,1,1,85.71,out,T20I # 131
Bangladesh Vs New Zealand,Bangladesh,4,Shakib Al Hasan,3,5,0,0,60.00,out,T20I # 131
Bangladesh Vs New Zealand,Bangladesh,5,Mushfiqur Rahim,0,1,0,0,0.00,out,T20I # 131
