Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),"Feb 1, 2010",T20I # 128
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 1, 2010",T20I # 129
Canada,Ireland,Canada,4 runs,Colombo (SSC),"Feb 3, 2010",T20I # 130
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,"Feb 3, 2010",T20I # 131
Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),"Feb 4, 2010",T20I # 132
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 4, 2010",T20I # 133
Australia,Pakistan,Australia,2 runs,Melbourne,"Feb 5, 2010",T20I # 134
Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DSC),"Feb 9, 2010",T20I # 135
Canada,Netherlands,Netherlands,6 wickets,Dubai (DSC),"Feb 9, 2010",T20I # 136
Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,"Feb 10, 2010",T20I # 137
Canada,Kenya,Kenya,9 wickets,Dubai (DSC),"Feb 10, 2010",T20I # 138
Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,"Feb 11, 2010",T20I # 139
Ireland,Scotland,Ireland,37 runs,Dubai (DSC),"Feb 11, 2010",T20I # 140
Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DSC),"Feb 12, 2010",T20I # 141
Ireland,Netherlands,Ireland,65 runs,Dubai (DSC),"Feb 13, 2010",T20I # 142
Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DSC),"Feb 13, 2010",T20I # 143
England,Pakistan,England,7 wickets,Dubai (DSC),"Feb 19, 2010",T20I # 144
England,Pakistan,Pakistan,4 wickets,Dubai (DSC),"Feb 20, 2010",T20I # 145
Australia,West Indies,Australia,38 runs,Hobart,"Feb 21, 2010",T20I # 146
Australia,West Indies,Australia,8 wickets,Sydney,"Feb 23, 2010",T20I # 147
New Zealand,Australia,Australia,6 wickets,Wellington,"Feb 26, 2010",T20I # 148
New Zealand,Australia,tied,-,Christchurch,"Feb 28, 2010",T20I # 149
West Indies,Zimbabwe,Zimbabwe,26 runs,Port of Spain,"Feb 28, 2010",T20I # 150
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,"Apr 30, 2010",T20I # 151
West Indies,Ireland,West Indies,70 runs,Providence,"Apr 30, 2010",T20I # 152
Afghanistan,India,India,7 wickets,Gros Islet,"May 1, 2010",T20I # 153
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,"May 1, 2010",T20I # 154
India,South Africa,India,14 runs,Gros Islet,"May 2, 2010",T20I # 155
Australia,Pakistan,Australia,34 runs,Gros Islet,"May 2, 2010",T20I # 156
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,"May 3, 2010",T20I # 157
West Indies,England,West Indies,8 wickets,Providence,"May 3, 2010",T20I # 158
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,"May 4, 2010",T20I # 159
England,Ireland,no result,-,Providence,"May 4, 2010",T20I # 160
Australia,Bangladesh,Australia,27 runs,Bridgetown,"May 5, 2010",T20I # 161
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,"May 5, 2010",T20I # 162
England,Pakistan,England,6 wickets,Bridgetown,"May 6, 2010",T20I # 163
